#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0006950	Response to stress	10	3358	0.69	0.00065	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000360141,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000498215	APC,BRIP1,TP53,FANCD2,ERCC4,ERCC6,GNAS,CDKN2A,BRCA1,FANCB
GO Process	GO:0010212	Response to ionizing radiation	4	143	1.66	0.00088	9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000348089,9606.ENSP00000418960	TP53,FANCD2,ERCC6,BRCA1
GO Process	GO:0048523	Negative regulation of cellular process	11	4736	0.58	0.00088	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000358918,9606.ENSP00000398880,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000498215	APC,BRIP1,TP53,FANCD2,ERCC4,ERCC6,SUFU,CDK12,CDKN2A,BRCA1,FANCB
GO Process	GO:0051053	Negative regulation of DNA metabolic process	4	149	1.64	0.00096	9606.ENSP00000269305,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000498215	TP53,ERCC4,ERCC6,FANCB
GO Process	GO:0036297	Interstrand cross-link repair	3	41	2.08	0.0012	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000498215	FANCD2,ERCC4,FANCB
GO Process	GO:0007049	Cell cycle	7	1246	0.96	0.0013	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000418915,9606.ENSP00000418960	APC,BRIP1,TP53,FANCD2,ERCC4,CDKN2A,BRCA1
GO Process	GO:0019222	Regulation of metabolic process	12	6784	0.46	0.0013	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000358918,9606.ENSP00000360141,9606.ENSP00000398880,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000498215	APC,BRIP1,TP53,FANCD2,ERCC4,ERCC6,SUFU,GNAS,CDK12,CDKN2A,BRCA1,FANCB
GO Process	GO:2001022	Positive regulation of response to DNA damage stimulus	4	168	1.59	0.0013	9606.ENSP00000348089,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000498215	ERCC6,CDKN2A,BRCA1,FANCB
GO Process	GO:0010605	Negative regulation of macromolecule metabolic process	9	2760	0.73	0.0014	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000358918,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000498215	APC,BRIP1,TP53,ERCC4,ERCC6,SUFU,CDKN2A,BRCA1,FANCB
GO Process	GO:0009314	Response to radiation	5	444	1.27	0.0019	9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000418960	TP53,FANCD2,ERCC4,ERCC6,BRCA1
GO Process	GO:0022402	Cell cycle process	6	835	1.07	0.0019	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000418960	APC,BRIP1,TP53,FANCD2,ERCC4,BRCA1
GO Process	GO:0048583	Regulation of response to stimulus	10	3931	0.62	0.0019	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000358918,9606.ENSP00000360141,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000498215	APC,TP53,FANCD2,ERCC4,ERCC6,SUFU,GNAS,CDKN2A,BRCA1,FANCB
GO Process	GO:0080134	Regulation of response to stress	7	1373	0.92	0.0019	9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000498215	TP53,FANCD2,ERCC4,ERCC6,CDKN2A,BRCA1,FANCB
GO Process	GO:0010332	Response to gamma radiation	3	55	1.95	0.0020	9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000348089	TP53,FANCD2,ERCC6
GO Process	GO:0007131	Reciprocal meiotic recombination	3	56	1.94	0.0021	9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000310520	BRIP1,FANCD2,ERCC4
GO Process	GO:0019219	Regulation of nucleobase-containing compound metabolic process	10	4074	0.61	0.0022	9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000358918,9606.ENSP00000398880,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000498215	BRIP1,TP53,FANCD2,ERCC4,ERCC6,SUFU,CDK12,CDKN2A,BRCA1,FANCB
GO Process	GO:0007346	Regulation of mitotic cell cycle	5	493	1.22	0.0023	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000418915,9606.ENSP00000418960	APC,TP53,FANCD2,CDKN2A,BRCA1
GO Process	GO:0065009	Regulation of molecular function	9	3085	0.68	0.0026	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000358918,9606.ENSP00000360141,9606.ENSP00000398880,9606.ENSP00000418915	APC,TP53,FANCD2,ERCC4,ERCC6,SUFU,GNAS,CDK12,CDKN2A
GO Process	GO:0035556	Intracellular signal transduction	7	1518	0.88	0.0029	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000348089,9606.ENSP00000418915,9606.ENSP00000418960	APC,BRIP1,TP53,FANCD2,ERCC6,CDKN2A,BRCA1
GO Process	GO:1990918	Double-strand break repair involved in meiotic recombination	2	6	2.74	0.0030	9606.ENSP00000259008,9606.ENSP00000287647	BRIP1,FANCD2
GO Process	GO:0031323	Regulation of cellular metabolic process	11	5681	0.5	0.0031	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000358918,9606.ENSP00000398880,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000498215	APC,BRIP1,TP53,FANCD2,ERCC4,ERCC6,SUFU,CDK12,CDKN2A,BRCA1,FANCB
GO Process	GO:0031324	Negative regulation of cellular metabolic process	8	2265	0.76	0.0031	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000358918,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000498215	APC,TP53,ERCC4,ERCC6,SUFU,CDKN2A,BRCA1,FANCB
GO Process	GO:0051276	Chromosome organization	6	968	1.01	0.0031	9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000418960	BRIP1,TP53,FANCD2,ERCC4,ERCC6,BRCA1
GO Process	GO:0045934	Negative regulation of nucleobase-containing compound metabolic process	7	1562	0.87	0.0032	9606.ENSP00000269305,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000358918,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000498215	TP53,ERCC4,ERCC6,SUFU,CDKN2A,BRCA1,FANCB
GO Process	GO:0051171	Regulation of nitrogen compound metabolic process	11	5734	0.5	0.0032	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000358918,9606.ENSP00000398880,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000498215	APC,BRIP1,TP53,FANCD2,ERCC4,ERCC6,SUFU,CDK12,CDKN2A,BRCA1,FANCB
GO Process	GO:0008630	Intrinsic apoptotic signaling pathway in response to DNA damage	3	75	1.82	0.0035	9606.ENSP00000269305,9606.ENSP00000348089,9606.ENSP00000418960	TP53,ERCC6,BRCA1
GO Process	GO:0048585	Negative regulation of response to stimulus	7	1612	0.85	0.0037	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000358918,9606.ENSP00000418960,9606.ENSP00000498215	APC,TP53,ERCC4,ERCC6,SUFU,BRCA1,FANCB
GO Process	GO:0071417	Cellular response to organonitrogen compound	5	574	1.16	0.0038	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000360141,9606.ENSP00000418960	APC,BRIP1,TP53,GNAS,BRCA1
GO Process	GO:0044773	Mitotic DNA damage checkpoint signaling	3	81	1.78	0.0040	9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000418960	TP53,FANCD2,BRCA1
GO Process	GO:0051172	Negative regulation of nitrogen compound metabolic process	8	2403	0.74	0.0040	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000358918,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000498215	APC,TP53,ERCC4,ERCC6,SUFU,CDKN2A,BRCA1,FANCB
GO Process	GO:0080090	Regulation of primary metabolic process	11	5899	0.49	0.0040	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000358918,9606.ENSP00000398880,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000498215	APC,BRIP1,TP53,FANCD2,ERCC4,ERCC6,SUFU,CDK12,CDKN2A,BRCA1,FANCB
GO Process	GO:2001021	Negative regulation of response to DNA damage stimulus	3	83	1.77	0.0043	9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000498215	ERCC4,ERCC6,FANCB
GO Process	GO:0007059	Chromosome segregation	4	286	1.36	0.0049	9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000418960	BRIP1,FANCD2,ERCC4,BRCA1
GO Process	GO:0050793	Regulation of developmental process	8	2492	0.72	0.0049	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000358918,9606.ENSP00000360141,9606.ENSP00000398880,9606.ENSP00000418915,9606.ENSP00000418960	APC,TP53,FANCD2,SUFU,GNAS,CDK12,CDKN2A,BRCA1
GO Process	GO:0009628	Response to abiotic stimulus	6	1107	0.95	0.0050	9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000418960	BRIP1,TP53,FANCD2,ERCC4,ERCC6,BRCA1
GO Process	GO:0044260	Cellular macromolecule metabolic process	8	2512	0.72	0.0050	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000418960,9606.ENSP00000498215	APC,BRIP1,TP53,FANCD2,ERCC4,ERCC6,BRCA1,FANCB
GO Process	GO:0045132	Meiotic chromosome segregation	3	98	1.7	0.0061	9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000310520	BRIP1,FANCD2,ERCC4
GO Process	GO:0060255	Regulation of macromolecule metabolic process	11	6249	0.46	0.0061	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000358918,9606.ENSP00000398880,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000498215	APC,BRIP1,TP53,FANCD2,ERCC4,ERCC6,SUFU,CDK12,CDKN2A,BRCA1,FANCB
GO Process	GO:0051716	Cellular response to stimulus	11	6357	0.45	0.0072	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000358918,9606.ENSP00000360141,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000498215	APC,BRIP1,TP53,FANCD2,ERCC4,ERCC6,SUFU,GNAS,CDKN2A,BRCA1,FANCB
GO Process	GO:1901990	Regulation of mitotic cell cycle phase transition	4	332	1.3	0.0078	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000418915,9606.ENSP00000418960	APC,TP53,CDKN2A,BRCA1
GO Process	GO:0031058	Positive regulation of histone modification	3	111	1.65	0.0083	9606.ENSP00000269305,9606.ENSP00000348089,9606.ENSP00000418960	TP53,ERCC6,BRCA1
GO Process	GO:1902749	Regulation of cell cycle G2/M phase transition	3	111	1.65	0.0083	9606.ENSP00000269305,9606.ENSP00000418915,9606.ENSP00000418960	TP53,CDKN2A,BRCA1
GO Process	GO:0000724	Double-strand break repair via homologous recombination	3	114	1.64	0.0088	9606.ENSP00000310520,9606.ENSP00000418960,9606.ENSP00000498215	ERCC4,BRCA1,FANCB
GO Process	GO:0010639	Negative regulation of organelle organization	4	351	1.27	0.0092	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000310520,9606.ENSP00000418960	APC,TP53,ERCC4,BRCA1
GO Process	GO:0090399	Replicative senescence	2	16	2.31	0.0101	9606.ENSP00000269305,9606.ENSP00000418915	TP53,CDKN2A
GO Process	GO:0045739	Positive regulation of DNA repair	3	129	1.58	0.0117	9606.ENSP00000348089,9606.ENSP00000418960,9606.ENSP00000498215	ERCC6,BRCA1,FANCB
GO Process	GO:0009411	Response to UV	3	150	1.52	0.0179	9606.ENSP00000269305,9606.ENSP00000310520,9606.ENSP00000348089	TP53,ERCC4,ERCC6
GO Process	GO:0010661	Positive regulation of muscle cell apoptotic process	2	25	2.12	0.0218	9606.ENSP00000269305,9606.ENSP00000418915	TP53,CDKN2A
GO Process	GO:2000045	Regulation of G1/S transition of mitotic cell cycle	3	164	1.48	0.0227	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000418915	APC,TP53,CDKN2A
GO Process	GO:0051338	Regulation of transferase activity	5	912	0.95	0.0232	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000348089,9606.ENSP00000398880,9606.ENSP00000418915	APC,TP53,ERCC6,CDK12,CDKN2A
GO Process	GO:1901991	Negative regulation of mitotic cell cycle phase transition	3	167	1.47	0.0232	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000418960	APC,TP53,BRCA1
GO Process	GO:0051093	Negative regulation of developmental process	5	933	0.94	0.0249	9606.ENSP00000269305,9606.ENSP00000358918,9606.ENSP00000360141,9606.ENSP00000398880,9606.ENSP00000418915	TP53,SUFU,GNAS,CDK12,CDKN2A
GO Process	GO:1901700	Response to oxygen-containing compound	6	1547	0.8	0.0249	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000348089,9606.ENSP00000360141,9606.ENSP00000418960	APC,BRIP1,TP53,ERCC6,GNAS,BRCA1
GO Process	GO:0031399	Regulation of protein modification process	6	1560	0.8	0.0255	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000348089,9606.ENSP00000398880,9606.ENSP00000418915,9606.ENSP00000418960	APC,TP53,ERCC6,CDK12,CDKN2A,BRCA1
GO Process	GO:0045595	Regulation of cell differentiation	6	1582	0.79	0.0273	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000358918,9606.ENSP00000398880,9606.ENSP00000418915	APC,TP53,FANCD2,SUFU,CDK12,CDKN2A
GO Process	GO:0043170	Macromolecule metabolic process	10	5781	0.45	0.0275	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000398880,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000498215	APC,BRIP1,TP53,FANCD2,ERCC4,ERCC6,CDK12,CDKN2A,BRCA1,FANCB
GO Process	GO:0045736	Negative regulation of cyclin-dependent protein serine/threonine kinase activity	2	30	2.04	0.0275	9606.ENSP00000257430,9606.ENSP00000418915	APC,CDKN2A
GO Process	GO:0071478	Cellular response to radiation	3	183	1.43	0.0275	9606.ENSP00000269305,9606.ENSP00000310520,9606.ENSP00000418960	TP53,ERCC4,BRCA1
GO Process	GO:0010165	Response to X-ray	2	31	2.02	0.0278	9606.ENSP00000269305,9606.ENSP00000348089	TP53,ERCC6
GO Process	GO:2000108	Positive regulation of leukocyte apoptotic process	2	31	2.02	0.0278	9606.ENSP00000269305,9606.ENSP00000418915	TP53,CDKN2A
GO Process	GO:0009894	Regulation of catabolic process	5	988	0.92	0.0285	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000310520,9606.ENSP00000358918,9606.ENSP00000418915	APC,TP53,ERCC4,SUFU,CDKN2A
GO Process	GO:2000780	Negative regulation of double-strand break repair	2	33	2.0	0.0296	9606.ENSP00000348089,9606.ENSP00000498215	ERCC6,FANCB
GO Process	GO:0006355	Regulation of transcription, DNA-templated	8	3460	0.58	0.0333	9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000348089,9606.ENSP00000358918,9606.ENSP00000398880,9606.ENSP00000418915,9606.ENSP00000418960	BRIP1,TP53,FANCD2,ERCC6,SUFU,CDK12,CDKN2A,BRCA1
GO Process	GO:0051248	Negative regulation of protein metabolic process	5	1038	0.9	0.0333	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000358918,9606.ENSP00000418915,9606.ENSP00000418960	APC,TP53,SUFU,CDKN2A,BRCA1
GO Process	GO:1901701	Cellular response to oxygen-containing compound	5	1057	0.89	0.0360	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000360141,9606.ENSP00000418960	APC,BRIP1,TP53,GNAS,BRCA1
GO Process	GO:0007165	Signal transduction	9	4714	0.5	0.0372	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000348089,9606.ENSP00000358918,9606.ENSP00000360141,9606.ENSP00000418915,9606.ENSP00000418960	APC,BRIP1,TP53,FANCD2,ERCC6,SUFU,GNAS,CDKN2A,BRCA1
GO Process	GO:0043516	Regulation of DNA damage response, signal transduction by p53 class mediator	2	39	1.93	0.0372	9606.ENSP00000269305,9606.ENSP00000418915	TP53,CDKN2A
GO Process	GO:1905168	Positive regulation of double-strand break repair via homologous recombination	2	39	1.93	0.0372	9606.ENSP00000348089,9606.ENSP00000498215	ERCC6,FANCB
GO Process	GO:0006354	DNA-templated transcription, elongation	2	40	1.91	0.0380	9606.ENSP00000348089,9606.ENSP00000398880	ERCC6,CDK12
GO Process	GO:0006357	Regulation of transcription by RNA polymerase II	7	2586	0.65	0.0382	9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000348089,9606.ENSP00000358918,9606.ENSP00000398880,9606.ENSP00000418915,9606.ENSP00000418960	BRIP1,TP53,ERCC6,SUFU,CDK12,CDKN2A,BRCA1
GO Process	GO:0035066	Positive regulation of histone acetylation	2	41	1.9	0.0391	9606.ENSP00000348089,9606.ENSP00000418960	ERCC6,BRCA1
GO Process	GO:0051246	Regulation of protein metabolic process	7	2622	0.64	0.0403	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000348089,9606.ENSP00000358918,9606.ENSP00000398880,9606.ENSP00000418915,9606.ENSP00000418960	APC,TP53,ERCC6,SUFU,CDK12,CDKN2A,BRCA1
GO Process	GO:0001932	Regulation of protein phosphorylation	5	1108	0.87	0.0405	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000348089,9606.ENSP00000398880,9606.ENSP00000418915	APC,TP53,ERCC6,CDK12,CDKN2A
GO Process	GO:0006303	Double-strand break repair via nonhomologous end joining	2	43	1.88	0.0409	9606.ENSP00000310520,9606.ENSP00000348089	ERCC4,ERCC6
GO Process	GO:2000378	Negative regulation of reactive oxygen species metabolic process	2	44	1.87	0.0424	9606.ENSP00000269305,9606.ENSP00000418960	TP53,BRCA1
GO Process	GO:0044092	Negative regulation of molecular function	5	1143	0.86	0.0453	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000310520,9606.ENSP00000358918,9606.ENSP00000418915	APC,TP53,ERCC4,SUFU,CDKN2A
GO Process	GO:0031330	Negative regulation of cellular catabolic process	3	243	1.31	0.0469	9606.ENSP00000269305,9606.ENSP00000358918,9606.ENSP00000418915	TP53,SUFU,CDKN2A
GO Process	GO:0045926	Negative regulation of growth	3	247	1.3	0.0484	9606.ENSP00000269305,9606.ENSP00000360141,9606.ENSP00000418915	TP53,GNAS,CDKN2A
GO Process	GO:0031668	Cellular response to extracellular stimulus	3	248	1.3	0.0486	9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000348089	BRIP1,TP53,ERCC6
GO Process	GO:0045165	Cell fate commitment	3	250	1.29	0.0490	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000358918	APC,TP53,SUFU
GO Function	GO:0019899	Enzyme binding	8	2084	0.8	0.0262	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000348089,9606.ENSP00000358918,9606.ENSP00000398880,9606.ENSP00000418915,9606.ENSP00000418960	APC,TP53,FANCD2,ERCC6,SUFU,CDK12,CDKN2A,BRCA1
GO Component	GO:0005654	Nucleoplasm	11	4169	0.64	0.00047	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000358918,9606.ENSP00000398880,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000498215	APC,BRIP1,TP53,FANCD2,ERCC4,ERCC6,SUFU,CDK12,CDKN2A,BRCA1,FANCB
GO Component	GO:0032991	Protein-containing complex	12	5506	0.55	0.00047	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000358918,9606.ENSP00000360141,9606.ENSP00000398880,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000498215	APC,BRIP1,TP53,FANCD2,ERCC4,ERCC6,SUFU,GNAS,CDK12,CDKN2A,BRCA1,FANCB
