# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
DDR2	ENSG00000162733	ENST00000367922	protein_coding	0	0	0	1	0	1	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000415555	protein_coding	0	0	0	1	1	0	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000446985	protein_coding	0	0	0	1	0	1	0	0	0	0	0
DICER1	ENSG00000100697	ENST00000343455	protein_coding	0	0	0	1	0	1	0	0	0	0	0
DICER1	ENSG00000100697	ENST00000393063	protein_coding	0	0	0	1	0	1	0	0	0	0	0
DICER1	ENSG00000100697	ENST00000526495	protein_coding	0	0	0	1	0	1	0	0	0	0	0
DICER1	ENSG00000100697	ENST00000527414	protein_coding	0	0	0	1	0	1	0	0	0	0	0
DICER1	ENSG00000100697	ENST00000532939	protein_coding	0	0	0	1	0	1	0	0	0	0	0
DICER1	ENSG00000100697	ENST00000541352	protein_coding	0	0	0	1	0	1	0	0	0	0	0
ENSG00000282218	ENSG00000282218	ENST00000467125	protein_coding	0	0	0	3	0	3	0	0	0	0	0
ENSG00000282278	ENSG00000282278	ENST00000507166	protein_coding	0	0	0	1	0	1	0	0	0	0	0
ERCC5	ENSG00000134899	ENST00000652225	protein_coding	0	0	1	0	0	0	1	0	0	0	0
ERCC5	ENSG00000134899	ENST00000652613	protein_coding	0	0	1	0	0	0	1	0	0	0	0
FANCL	ENSG00000115392	ENST00000233741	protein_coding	0	0	1	0	0	0	1	0	1	0	0
FANCL	ENSG00000115392	ENST00000402135	protein_coding	0	0	1	0	0	0	1	0	1	0	0
FANCL	ENSG00000115392	ENST00000403295	protein_coding	0	0	1	0	0	0	1	0	1	0	0
FANCL	ENSG00000115392	ENST00000403676	protein_coding	0	0	1	0	0	0	1	0	1	0	0
FANCL	ENSG00000115392	ENST00000417361	protein_coding	0	0	1	0	0	0	1	0	1	0	0
FANCL	ENSG00000115392	ENST00000427708	protein_coding	0	0	1	0	0	0	1	0	1	0	0
FANCL	ENSG00000115392	ENST00000446381	protein_coding	0	0	1	0	0	0	1	0	1	0	0
FANCL	ENSG00000115392	ENST00000449070	protein_coding	0	0	1	0	0	0	1	0	1	0	0
HDAC1	ENSG00000116478	ENST00000373548	protein_coding	0	0	0	1	0	1	0	0	0	0	0
HDAC1	ENSG00000116478	ENST00000428704	protein_coding	0	0	0	1	0	1	0	0	0	0	0
KDR	ENSG00000128052	ENST00000263923	protein_coding	0	0	0	1	0	1	0	0	0	0	0
KHDC4	ENSG00000132680	ENST00000368320	protein_coding	0	0	0	1	1	0	0	0	0	0	0
KHDC4	ENSG00000132680	ENST00000368321	protein_coding	0	0	0	1	1	0	0	0	0	0	0
MAP4K2	ENSG00000168067	ENST00000294066	protein_coding	0	0	0	1	0	0	0	0	0	0	1
MAP4K2	ENSG00000168067	ENST00000377350	protein_coding	0	0	0	1	0	0	0	0	0	0	1
MAP4K2	ENSG00000168067	ENST00000439069	protein_coding	0	0	0	1	0	0	0	0	0	0	1
MEN1	ENSG00000133895	ENST00000312049	protein_coding	0	0	0	1	0	1	0	0	0	0	0
MEN1	ENSG00000133895	ENST00000315422	protein_coding	0	0	0	1	0	1	0	0	0	0	0
MEN1	ENSG00000133895	ENST00000377313	protein_coding	0	0	0	1	0	1	0	0	0	0	0
MEN1	ENSG00000133895	ENST00000377316	protein_coding	0	0	0	1	0	1	0	0	0	0	0
MEN1	ENSG00000133895	ENST00000377321	protein_coding	0	0	0	1	0	1	0	0	0	0	0
MEN1	ENSG00000133895	ENST00000377326	protein_coding	0	0	0	1	0	1	0	0	0	0	0
MEN1	ENSG00000133895	ENST00000394376	protein_coding	0	0	0	1	0	0	0	0	0	0	1
MEN1	ENSG00000133895	ENST00000413626	protein_coding	0	0	0	1	0	1	0	0	0	0	0
MEN1	ENSG00000133895	ENST00000424912	protein_coding	0	0	0	1	1	0	0	0	0	0	0
MEN1	ENSG00000133895	ENST00000429702	protein_coding	0	0	0	1	1	0	0	0	0	0	0
MEN1	ENSG00000133895	ENST00000440873	protein_coding	0	0	0	1	0	1	0	0	0	0	0
MEN1	ENSG00000133895	ENST00000450708	protein_coding	0	0	0	1	0	1	0	0	0	0	0
MEN1	ENSG00000133895	ENST00000672304	protein_coding	0	0	0	1	0	1	0	0	0	0	0
MTOR	ENSG00000198793	ENST00000361445	protein_coding	0	1	0	1	0	1	0	0	0	1	0
MTOR	ENSG00000198793	ENST00000376838	protein_coding	0	1	0	1	0	1	0	0	0	1	0
NRG1	ENSG00000157168	ENST00000287842	protein_coding	0	0	0	1	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000356819	protein_coding	0	0	0	1	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000405005	protein_coding	0	0	0	1	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000518206	protein_coding	0	0	0	1	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000519301	protein_coding	0	0	0	1	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000520407	protein_coding	0	0	0	1	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000521670	protein_coding	0	0	0	1	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000522569	protein_coding	0	0	0	1	0	0	0	0	0	0	1
NRG1	ENSG00000157168	ENST00000523079	protein_coding	0	0	0	1	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000523534	protein_coding	0	0	0	1	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000650866	protein_coding	0	0	0	1	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000650919	protein_coding	0	0	0	1	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000650967	protein_coding	0	0	0	1	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000650980	protein_coding	0	0	0	1	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000651149	protein_coding	0	0	0	1	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000651335	protein_coding	0	0	0	1	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000652588	protein_coding	0	0	0	1	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000652698	protein_coding	0	0	0	1	0	1	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000317501	protein_coding	0	0	0	2	0	2	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000355254	protein_coding	0	0	0	3	0	3	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000357724	protein_coding	0	0	0	3	0	3	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000360948	protein_coding	0	0	0	3	0	3	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000394480	protein_coding	0	0	0	3	0	3	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000540489	protein_coding	0	0	0	2	0	2	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000542733	protein_coding	0	0	0	3	0	3	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000557856	protein_coding	0	0	0	3	0	3	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000558676	protein_coding	0	0	0	3	0	3	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000560017	protein_coding	0	0	0	2	1	1	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000626019	protein_coding	0	0	0	3	0	3	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000629765	protein_coding	0	0	0	3	0	3	0	0	0	0	0
PARP1	ENSG00000143799	ENST00000366794	protein_coding	0	0	0	1	0	1	0	0	0	0	0
PARP1	ENSG00000143799	ENST00000677203	protein_coding	0	0	0	1	0	1	0	0	0	0	0
PBRM1	ENSG00000163939	ENST00000296302	protein_coding	0	0	0	1	0	1	0	0	0	0	0
PBRM1	ENSG00000163939	ENST00000337303	protein_coding	0	0	0	1	0	1	0	0	0	0	0
PBRM1	ENSG00000163939	ENST00000356770	protein_coding	0	0	0	1	0	1	0	0	0	0	0
PBRM1	ENSG00000163939	ENST00000394830	protein_coding	0	0	0	1	0	1	0	0	0	0	0
PBRM1	ENSG00000163939	ENST00000409057	protein_coding	0	0	0	1	0	1	0	0	0	0	0
PBRM1	ENSG00000163939	ENST00000409114	protein_coding	0	0	0	1	0	1	0	0	0	0	0
PBRM1	ENSG00000163939	ENST00000409767	protein_coding	0	0	0	1	0	1	0	0	0	0	0
PBRM1	ENSG00000163939	ENST00000410007	protein_coding	0	0	0	1	0	1	0	0	0	0	0
PBRM1	ENSG00000163939	ENST00000423351	protein_coding	0	0	0	1	0	1	0	0	0	0	0
PBRM1	ENSG00000163939	ENST00000446103	protein_coding	0	0	0	1	0	1	0	0	0	0	0
PDGFRA	ENSG00000134853	ENST00000257290	protein_coding	0	0	0	1	0	1	0	0	0	0	0
PDGFRB	ENSG00000113721	ENST00000261799	protein_coding	0	0	0	1	0	1	0	0	0	0	0
PIK3CA	ENSG00000121879	ENST00000263967	protein_coding	0	0	0	1	0	1	0	0	0	0	0
PIK3CA	ENSG00000121879	ENST00000643187	protein_coding	0	0	0	1	0	1	0	0	0	0	0
PKD1	ENSG00000008710	ENST00000262304	protein_coding	0	0	0	1	1	0	0	0	0	0	0
PKD1	ENSG00000008710	ENST00000423118	protein_coding	0	0	0	1	1	0	0	0	0	0	0
RIT1	ENSG00000143622	ENST00000368322	protein_coding	0	1	0	0	0	0	0	0	0	1	0
RIT1	ENSG00000143622	ENST00000368323	protein_coding	0	1	0	0	0	0	0	0	0	1	0
RIT1	ENSG00000143622	ENST00000539040	protein_coding	0	0	0	1	0	1	0	0	0	0	0
RIT1	ENSG00000143622	ENST00000609492	protein_coding	0	1	0	0	0	0	0	0	0	1	0
RIT1	ENSG00000143622	ENST00000651833	protein_coding	0	1	0	0	0	0	0	0	0	1	0
RIT1	ENSG00000143622	ENST00000651853	protein_coding	0	1	0	0	0	0	0	0	0	1	0
RNF43	ENSG00000108375	ENST00000407977	protein_coding	0	0	0	1	0	1	0	0	0	0	0
RNF43	ENSG00000108375	ENST00000577625	protein_coding	0	0	0	1	0	1	0	0	0	0	0
RNF43	ENSG00000108375	ENST00000577716	protein_coding	0	0	0	1	0	1	0	0	0	0	0
RNF43	ENSG00000108375	ENST00000581868	protein_coding	0	0	0	1	0	1	0	0	0	0	0
RNF43	ENSG00000108375	ENST00000583753	protein_coding	0	0	0	1	0	1	0	0	0	0	0
RNF43	ENSG00000108375	ENST00000584437	protein_coding	0	0	0	1	0	1	0	0	0	0	0
ROS1	ENSG00000047936	ENST00000368507	protein_coding	0	0	0	3	0	3	0	0	0	0	0
ROS1	ENSG00000047936	ENST00000368508	protein_coding	0	0	0	3	0	3	0	0	0	0	0
ROS1	ENSG00000047936	ENST00000403284	protein_coding	0	0	0	3	3	0	0	0	0	0	0
SDC4	ENSG00000124145	ENST00000372733	protein_coding	0	0	0	1	0	1	0	0	0	0	0
SETD2	ENSG00000181555	ENST00000409792	protein_coding	0	0	1	0	0	0	1	0	0	0	0
SETD2	ENSG00000181555	ENST00000412450	protein_coding	0	0	1	0	0	0	1	0	0	0	0
SETD2	ENSG00000181555	ENST00000638947	protein_coding	0	0	1	0	0	0	1	0	0	0	0
SETD2	ENSG00000181555	ENST00000685005	protein_coding	0	0	1	0	0	0	1	0	0	0	0
SETD2	ENSG00000181555	ENST00000685399	protein_coding	0	0	1	0	0	0	1	0	0	0	0
SETD2	ENSG00000181555	ENST00000686876	protein_coding	0	0	1	0	0	0	1	0	0	0	0
SETD2	ENSG00000181555	ENST00000690157	protein_coding	0	0	1	0	0	0	1	0	0	0	0
SETD2	ENSG00000181555	ENST00000691544	protein_coding	0	0	0	1	0	1	0	0	0	0	0
SETD2	ENSG00000181555	ENST00000691902	protein_coding	0	0	1	0	0	0	1	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000332149	protein_coding	0	0	0	1	0	1	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000398585	protein_coding	0	0	0	1	0	1	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000424093	protein_coding	0	0	0	1	0	1	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000454499	protein_coding	0	0	0	1	0	1	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000455813	protein_coding	0	0	0	1	0	1	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000458356	protein_coding	0	0	0	1	0	1	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000676973	protein_coding	0	0	0	1	0	1	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000678171	protein_coding	0	0	0	1	0	1	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000678348	protein_coding	0	0	0	1	0	1	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000678743	protein_coding	0	0	0	1	0	1	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000679016	protein_coding	0	0	0	1	0	1	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000679054	protein_coding	0	0	0	1	0	1	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000679263	protein_coding	0	0	0	1	0	1	0	0	0	0	0
TP53	ENSG00000141510	ENST00000269305	protein_coding	1	0	0	0	0	1	0	1	0	0	0
TP53	ENSG00000141510	ENST00000359597	protein_coding	1	0	0	0	0	1	0	1	0	0	0
TP53	ENSG00000141510	ENST00000413465	protein_coding	1	0	0	0	0	1	0	1	0	0	0
TP53	ENSG00000141510	ENST00000420246	protein_coding	1	0	0	0	0	1	0	1	0	0	0
TP53	ENSG00000141510	ENST00000445888	protein_coding	1	0	0	0	0	1	0	1	0	0	0
TP53	ENSG00000141510	ENST00000455263	protein_coding	1	0	0	0	0	1	0	1	0	0	0
TP53	ENSG00000141510	ENST00000503591	protein_coding	0	0	0	1	1	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000504290	protein_coding	1	0	0	0	0	1	0	1	0	0	0
TP53	ENSG00000141510	ENST00000504937	protein_coding	1	0	0	0	0	1	0	1	0	0	0
TP53	ENSG00000141510	ENST00000508793	protein_coding	0	0	0	1	1	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000509690	protein_coding	1	0	0	0	0	1	0	1	0	0	0
TP53	ENSG00000141510	ENST00000510385	protein_coding	1	0	0	0	0	1	0	1	0	0	0
TP53	ENSG00000141510	ENST00000514944	protein_coding	1	0	0	0	0	1	0	1	0	0	0
TP53	ENSG00000141510	ENST00000576024	protein_coding	0	0	0	1	0	0	0	0	0	0	1
TP53	ENSG00000141510	ENST00000604348	protein_coding	0	0	0	1	1	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000610292	protein_coding	1	0	0	0	0	1	0	1	0	0	0
TP53	ENSG00000141510	ENST00000610538	protein_coding	1	0	0	0	0	1	0	1	0	0	0
TP53	ENSG00000141510	ENST00000610623	protein_coding	1	0	0	0	0	1	0	1	0	0	0
TP53	ENSG00000141510	ENST00000618944	protein_coding	1	0	0	0	0	1	0	1	0	0	0
TP53	ENSG00000141510	ENST00000619186	protein_coding	1	0	0	0	0	1	0	1	0	0	0
TP53	ENSG00000141510	ENST00000619485	protein_coding	1	0	0	0	0	1	0	1	0	0	0
TP53	ENSG00000141510	ENST00000620739	protein_coding	1	0	0	0	0	1	0	1	0	0	0
TP53	ENSG00000141510	ENST00000622645	protein_coding	1	0	0	0	0	1	0	1	0	0	0
TSC2	ENSG00000103197	ENST00000219476	protein_coding	0	0	0	1	0	1	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000350773	protein_coding	0	0	0	1	0	1	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000382538	protein_coding	0	0	0	1	0	1	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000401874	protein_coding	0	0	0	1	0	1	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000439673	protein_coding	0	0	0	1	0	1	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000568454	protein_coding	0	0	0	1	0	1	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000642365	protein_coding	0	0	0	1	0	1	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000642561	protein_coding	0	0	0	1	0	1	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000642797	protein_coding	0	0	0	1	0	1	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000642936	protein_coding	0	0	0	1	0	1	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000643088	protein_coding	0	0	0	1	0	1	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000643946	protein_coding	0	0	0	1	0	1	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000644043	protein_coding	0	0	0	1	0	1	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000644329	protein_coding	0	0	0	1	0	1	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000644335	protein_coding	0	0	0	1	0	1	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000644399	protein_coding	0	0	0	1	0	1	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000645186	protein_coding	0	0	0	1	1	0	0	0	0	0	0
TSC2	ENSG00000103197	ENST00000646388	protein_coding	0	0	0	1	0	1	0	0	0	0	0
