# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
FGFR2	ENSG00000066468	ENST00000683211	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000684153	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
LETM2	ENSG00000165046	ENST00000379957	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
MET	ENSG00000105976	ENST00000318493	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
MET	ENSG00000105976	ENST00000397752	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
MET	ENSG00000105976	ENST00000436117	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
MET	ENSG00000105976	ENST00000456159	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
MITF	ENSG00000187098	ENST00000352241	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0
MITF	ENSG00000187098	ENST00000642352	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0
MITF	ENSG00000187098	ENST00000687384	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0
MITF	ENSG00000187098	ENST00000693031	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0
MSH2	ENSG00000095002	ENST00000233146	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
MSH2	ENSG00000095002	ENST00000406134	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
MSH2	ENSG00000095002	ENST00000543555	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
MSH2	ENSG00000095002	ENST00000645506	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
NOTCH4	ENSG00000204301	ENST00000375023	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
NRG1	ENSG00000157168	ENST00000287842	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000356819	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000405005	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000518206	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000519301	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000520407	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000520502	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000521670	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000522569	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000523041	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000523079	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000523534	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000650819	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000650866	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000650919	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000650967	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000650980	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000651149	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000651333	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000651335	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000652588	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000652592	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000652698	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000277120	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000304053	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000323115	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000359847	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000376208	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000376213	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000395882	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000685387	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000685720	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000686259	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000686322	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000686324	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000686443	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000686496	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000686542	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000687148	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000687386	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000687596	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000687636	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000688013	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000689301	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000689685	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000689815	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000690281	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000691415	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000691788	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000692181	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000692389	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000692473	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000692506	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000692762	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000692804	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000693109	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000693127	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000693384	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK2	ENSG00000148053	ENST00000693539	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
NTRK3	ENSG00000140538	ENST00000317501	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000355254	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000357724	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000360948	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000394480	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000540489	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000542733	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000557856	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000558676	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000560017	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000626019	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000629765	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0
RB1	ENSG00000139687	ENST00000267163	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0
RB1	ENSG00000139687	ENST00000643064	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
RB1	ENSG00000139687	ENST00000650461	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0
RSPO2	ENSG00000147655	ENST00000276659	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
RSPO2	ENSG00000147655	ENST00000517781	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
RSPO2	ENSG00000147655	ENST00000517939	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
TFE3	ENSG00000068323	ENST00000315869	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000332149	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000398585	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000424093	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000454499	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000455813	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000458356	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000676973	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000678171	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000678348	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000678743	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000679016	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000679054	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000679263	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
TSC1	ENSG00000165699	ENST00000298552	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
TSC1	ENSG00000165699	ENST00000440111	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
TSC1	ENSG00000165699	ENST00000545250	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
TSC1	ENSG00000165699	ENST00000642617	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
TSC1	ENSG00000165699	ENST00000642627	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
TSC1	ENSG00000165699	ENST00000643072	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
TSC1	ENSG00000165699	ENST00000643583	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
TSC1	ENSG00000165699	ENST00000643875	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
TSC1	ENSG00000165699	ENST00000644097	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
TSC1	ENSG00000165699	ENST00000644184	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
TSC1	ENSG00000165699	ENST00000646625	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
WRN	ENSG00000165392	ENST00000298139	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
