#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BRIP1	ERCC3	9606.ENSP00000259008	9606.ENSP00000285398	0	0	0	0	0.069	0.576	0	0	0.588
BRIP1	SLX4	9606.ENSP00000259008	9606.ENSP00000294008	0.069	0	0	0	0.109	0	0.500	0	0.549
BRIP1	ATM	9606.ENSP00000259008	9606.ENSP00000278616	0	0	0	0	0.042	0	0.800	0	0.800
BRIP1	FANCD2	9606.ENSP00000259008	9606.ENSP00000287647	0	0	0	0	0.209	0.515	0	0	0.600
BRIP1	BRCA1	9606.ENSP00000259008	9606.ENSP00000418960	0	0	0	0	0.380	0.999	0.900	0	0.999
BRIP1	BARD1	9606.ENSP00000259008	9606.ENSP00000260947	0	0	0	0	0.112	0.994	0.540	0	0.997
CDK12	TP53	9606.ENSP00000398880	9606.ENSP00000269305	0	0	0	0	0.044	0	0.500	0	0.501
CDK12	ATM	9606.ENSP00000398880	9606.ENSP00000278616	0	0	0	0	0.088	0	0.500	0	0.524
CDK12	ERCC3	9606.ENSP00000398880	9606.ENSP00000285398	0	0	0	0	0.074	0	0.540	0	0.556
CDK12	FANCD2	9606.ENSP00000398880	9606.ENSP00000287647	0	0	0	0	0.049	0	0.500	0	0.504
CDK12	ERCC6	9606.ENSP00000398880	9606.ENSP00000348089	0	0	0	0	0.093	0.091	0.540	0	0.587
CDK12	SETD2	9606.ENSP00000398880	9606.ENSP00000386759	0	0	0	0	0.298	0.296	0	0	0.485
CDK12	BRCA1	9606.ENSP00000398880	9606.ENSP00000418960	0	0	0	0	0.049	0	0.500	0	0.504
CDKN1A	TP53	9606.ENSP00000384849	9606.ENSP00000269305	0	0	0	0	0	0.925	0.900	0	0.992
CDKN1A	PARP1	9606.ENSP00000384849	9606.ENSP00000355759	0	0	0	0	0	0.625	0	0	0.625
CDKN1A	HDAC1	9606.ENSP00000384849	9606.ENSP00000362649	0	0	0	0	0	0.775	0	0	0.775
CDKN1A	CDKN2A	9606.ENSP00000384849	9606.ENSP00000418915	0	0	0	0	0.060	0.049	0.500	0	0.513
CDKN1A	MYC	9606.ENSP00000384849	9606.ENSP00000478887	0	0	0	0	0.105	0.320	0.500	0	0.669
CDKN2A	TP53	9606.ENSP00000418915	9606.ENSP00000269305	0	0	0	0	0	0.874	0.900	0	0.986
CDKN2A	CDKN1A	9606.ENSP00000418915	9606.ENSP00000384849	0	0	0	0	0.060	0.049	0.500	0	0.513
CDKN2A	MYC	9606.ENSP00000418915	9606.ENSP00000478887	0	0	0	0	0.055	0.783	0.900	0	0.977
ERCC3	MSH2	9606.ENSP00000285398	9606.ENSP00000233146	0	0	0	0	0.128	0.095	0.540	0	0.605
ERCC3	BRIP1	9606.ENSP00000285398	9606.ENSP00000259008	0	0	0	0	0.069	0.576	0	0	0.588
ERCC3	TP53	9606.ENSP00000285398	9606.ENSP00000269305	0	0	0	0	0	0.681	0	0	0.681
ERCC3	ATM	9606.ENSP00000285398	9606.ENSP00000278616	0	0	0	0	0.106	0	0.540	0	0.571
ERCC3	FANCD2	9606.ENSP00000285398	9606.ENSP00000287647	0	0	0	0	0.044	0	0.540	0	0.541
ERCC3	BRCA1	9606.ENSP00000285398	9606.ENSP00000418960	0	0	0	0	0.049	0	0.540	0	0.543
ERCC3	MLH3	9606.ENSP00000285398	9606.ENSP00000348020	0.111	0	0	0	0.075	0	0.540	0	0.589
ERCC3	CDK12	9606.ENSP00000285398	9606.ENSP00000398880	0	0	0	0	0.074	0	0.540	0	0.556
ERCC3	PARP1	9606.ENSP00000285398	9606.ENSP00000355759	0	0	0	0	0.092	0	0.500	0	0.526
ERCC3	MYC	9606.ENSP00000285398	9606.ENSP00000478887	0	0	0	0	0.083	0.402	0	0	0.428
ERCC3	ERCC6	9606.ENSP00000285398	9606.ENSP00000348089	0.057	0	0	0	0.049	0.166	0.500	0	0.576
ERCC3	ERCC4	9606.ENSP00000285398	9606.ENSP00000310520	0.041	0	0	0	0.161	0.107	0.540	0	0.625
ERCC4	MSH2	9606.ENSP00000310520	9606.ENSP00000233146	0	0	0	0	0.082	0.590	0.900	0	0.959
ERCC4	BRIP1	9606.ENSP00000310520	9606.ENSP00000259008	0	0	0	0	0.123	0	0.400	0	0.451
ERCC4	BARD1	9606.ENSP00000310520	9606.ENSP00000260947	0	0	0	0	0.084	0.051	0.400	0	0.433
ERCC4	ATM	9606.ENSP00000310520	9606.ENSP00000278616	0	0	0	0	0.060	0	0.900	0	0.901
ERCC4	ERCC3	9606.ENSP00000310520	9606.ENSP00000285398	0.041	0	0	0	0.161	0.107	0.540	0	0.625
ERCC4	FANCD2	9606.ENSP00000310520	9606.ENSP00000287647	0	0	0	0	0.101	0.301	0.540	0	0.685
ERCC4	SLX4	9606.ENSP00000310520	9606.ENSP00000294008	0	0	0	0	0.105	0.943	0.500	0	0.972
ERCC4	PARP1	9606.ENSP00000310520	9606.ENSP00000355759	0	0	0	0	0.054	0.140	0.500	0	0.557
ERCC4	MLH3	9606.ENSP00000310520	9606.ENSP00000348020	0	0	0	0	0.062	0.092	0.540	0	0.574
ERCC4	FANCB	9606.ENSP00000310520	9606.ENSP00000498215	0	0	0	0	0.047	0	0.500	0	0.503
ERCC4	BRCA1	9606.ENSP00000310520	9606.ENSP00000418960	0	0	0	0	0.102	0.439	0.540	0	0.748
ERCC4	ERCC6	9606.ENSP00000310520	9606.ENSP00000348089	0	0	0	0	0.105	0.362	0	0	0.404
ERCC6	TP53	9606.ENSP00000348089	9606.ENSP00000269305	0	0	0	0	0	0.625	0	0	0.625
ERCC6	ERCC3	9606.ENSP00000348089	9606.ENSP00000285398	0.057	0	0	0	0.049	0.166	0.500	0	0.576
ERCC6	ERCC4	9606.ENSP00000348089	9606.ENSP00000310520	0	0	0	0	0.105	0.362	0	0	0.404
ERCC6	HDAC1	9606.ENSP00000348089	9606.ENSP00000362649	0	0	0	0	0	0.217	0.500	0	0.591
ERCC6	CDK12	9606.ENSP00000348089	9606.ENSP00000398880	0	0	0	0	0.093	0.091	0.540	0	0.587
ERCC6	BRCA1	9606.ENSP00000348089	9606.ENSP00000418960	0	0	0	0	0.049	0.510	0	0	0.514
ERG	AR	9606.ENSP00000414150	9606.ENSP00000363822	0	0	0	0	0.043	0.625	0	0	0.625
FANCB	FANCD2	9606.ENSP00000498215	9606.ENSP00000287647	0	0	0	0	0.269	0.800	0.900	0	0.984
FANCB	SLX4	9606.ENSP00000498215	9606.ENSP00000294008	0	0	0	0	0.049	0	0.500	0	0.504
FANCB	ERCC4	9606.ENSP00000498215	9606.ENSP00000310520	0	0	0	0	0.047	0	0.500	0	0.503
FANCB	BRCA1	9606.ENSP00000498215	9606.ENSP00000418960	0	0	0	0	0.133	0.439	0	0	0.492
FANCD2	MSH2	9606.ENSP00000287647	9606.ENSP00000233146	0	0	0	0	0.178	0.467	0.540	0	0.781
FANCD2	BRIP1	9606.ENSP00000287647	9606.ENSP00000259008	0	0	0	0	0.209	0.515	0	0	0.600
FANCD2	ATM	9606.ENSP00000287647	9606.ENSP00000278616	0	0	0	0	0.044	0.321	0.540	0	0.675
FANCD2	ERCC3	9606.ENSP00000287647	9606.ENSP00000285398	0	0	0	0	0.044	0	0.540	0	0.541
FANCD2	MLH3	9606.ENSP00000287647	9606.ENSP00000348020	0	0	0	0	0.060	0	0.540	0	0.549
FANCD2	CDK12	9606.ENSP00000287647	9606.ENSP00000398880	0	0	0	0	0.049	0	0.500	0	0.504
FANCD2	ERCC4	9606.ENSP00000287647	9606.ENSP00000310520	0	0	0	0	0.101	0.301	0.540	0	0.685
FANCD2	SLX4	9606.ENSP00000287647	9606.ENSP00000294008	0	0	0	0	0.098	0.510	0.500	0	0.759
FANCD2	FANCB	9606.ENSP00000287647	9606.ENSP00000498215	0	0	0	0	0.269	0.800	0.900	0	0.984
FANCD2	BRCA1	9606.ENSP00000287647	9606.ENSP00000418960	0	0	0	0	0.472	0.779	0.540	0	0.941
HDAC1	MSH2	9606.ENSP00000362649	9606.ENSP00000233146	0.056	0	0	0	0.427	0.126	0	0	0.486
HDAC1	APC	9606.ENSP00000362649	9606.ENSP00000257430	0	0	0	0	0.057	0.068	0.500	0	0.522
HDAC1	TP53	9606.ENSP00000362649	9606.ENSP00000269305	0	0	0	0	0.109	0.924	0.500	0	0.963
HDAC1	ERCC6	9606.ENSP00000362649	9606.ENSP00000348089	0	0	0	0	0	0.217	0.500	0	0.591
HDAC1	PARP1	9606.ENSP00000362649	9606.ENSP00000355759	0	0	0	0	0.124	0.647	0	0	0.678
HDAC1	CDKN1A	9606.ENSP00000362649	9606.ENSP00000384849	0	0	0	0	0	0.775	0	0	0.775
HDAC1	BRCA1	9606.ENSP00000362649	9606.ENSP00000418960	0	0	0	0	0.055	0.510	0	0	0.517
HDAC1	AR	9606.ENSP00000362649	9606.ENSP00000363822	0	0	0	0	0	0.789	0	0	0.789
HDAC1	MYC	9606.ENSP00000362649	9606.ENSP00000478887	0	0	0	0	0.076	0.821	0	0	0.827
MLH3	MSH2	9606.ENSP00000348020	9606.ENSP00000233146	0.061	0	0	0	0.333	0.417	0.540	0	0.809
MLH3	ATM	9606.ENSP00000348020	9606.ENSP00000278616	0	0	0	0	0.086	0	0.540	0	0.561
MLH3	ERCC3	9606.ENSP00000348020	9606.ENSP00000285398	0.111	0	0	0	0.075	0	0.540	0	0.589
MLH3	FANCD2	9606.ENSP00000348020	9606.ENSP00000287647	0	0	0	0	0.060	0	0.540	0	0.549
MLH3	ERCC4	9606.ENSP00000348020	9606.ENSP00000310520	0	0	0	0	0.062	0.092	0.540	0	0.574
MLH3	BRCA1	9606.ENSP00000348020	9606.ENSP00000418960	0	0	0	0	0	0	0.540	0	0.540
MSH2	HDAC1	9606.ENSP00000233146	9606.ENSP00000362649	0.056	0	0	0	0.427	0.126	0	0	0.486
MSH2	ERCC3	9606.ENSP00000233146	9606.ENSP00000285398	0	0	0	0	0.128	0.095	0.540	0	0.605
MSH2	MYC	9606.ENSP00000233146	9606.ENSP00000478887	0	0	0	0	0.062	0.613	0	0	0.621
MSH2	MUTYH	9606.ENSP00000233146	9606.ENSP00000500891	0.046	0	0	0	0.060	0.510	0	0	0.522
MSH2	POLE	9606.ENSP00000233146	9606.ENSP00000322570	0	0	0	0	0.122	0.620	0	0	0.652
MSH2	FANCD2	9606.ENSP00000233146	9606.ENSP00000287647	0	0	0	0	0.178	0.467	0.540	0	0.781
MSH2	SLX4	9606.ENSP00000233146	9606.ENSP00000294008	0	0	0	0	0.055	0.735	0	0	0.738
MSH2	TP53	9606.ENSP00000233146	9606.ENSP00000269305	0	0	0	0	0.061	0.599	0.500	0	0.795
MSH2	ERCC4	9606.ENSP00000233146	9606.ENSP00000310520	0	0	0	0	0.082	0.590	0.900	0	0.959
MSH2	BRCA1	9606.ENSP00000233146	9606.ENSP00000418960	0	0	0	0	0.227	0.725	0.540	0	0.893
MSH2	ATM	9606.ENSP00000233146	9606.ENSP00000278616	0	0	0	0	0.066	0.324	0.900	0	0.931
MSH2	MLH3	9606.ENSP00000233146	9606.ENSP00000348020	0.061	0	0	0	0.333	0.417	0.540	0	0.809
MUTYH	MSH2	9606.ENSP00000500891	9606.ENSP00000233146	0.046	0	0	0	0.060	0.510	0	0	0.522
MYC	MSH2	9606.ENSP00000478887	9606.ENSP00000233146	0	0	0	0	0.062	0.613	0	0	0.621
MYC	ERCC3	9606.ENSP00000478887	9606.ENSP00000285398	0	0	0	0	0.083	0.402	0	0	0.428
MYC	HDAC1	9606.ENSP00000478887	9606.ENSP00000362649	0	0	0	0	0.076	0.821	0	0	0.827
MYC	CDKN1A	9606.ENSP00000478887	9606.ENSP00000384849	0	0	0	0	0.105	0.320	0.500	0	0.669
MYC	CDKN2A	9606.ENSP00000478887	9606.ENSP00000418915	0	0	0	0	0.055	0.783	0.900	0	0.977
MYC	BRCA1	9606.ENSP00000478887	9606.ENSP00000418960	0	0	0	0	0.049	0.825	0	0	0.826
PARP1	TP53	9606.ENSP00000355759	9606.ENSP00000269305	0	0	0	0	0.067	0.794	0	0	0.799
PARP1	ERCC3	9606.ENSP00000355759	9606.ENSP00000285398	0	0	0	0	0.092	0	0.500	0	0.526
PARP1	ERCC4	9606.ENSP00000355759	9606.ENSP00000310520	0	0	0	0	0.054	0.140	0.500	0	0.557
PARP1	CDKN1A	9606.ENSP00000355759	9606.ENSP00000384849	0	0	0	0	0	0.625	0	0	0.625
PARP1	HDAC1	9606.ENSP00000355759	9606.ENSP00000362649	0	0	0	0	0.124	0.647	0	0	0.678
PARP1	BRCA1	9606.ENSP00000355759	9606.ENSP00000418960	0	0	0	0	0.085	0.596	0	0	0.615
PGR	PIK3R2	9606.ENSP00000325120	9606.ENSP00000222254	0	0	0	0	0	0.065	0.900	0	0.902
PGR	AR	9606.ENSP00000325120	9606.ENSP00000363822	0	0	0	0.806	0.124	0	0.500	0	0.543
PGR	BRCA1	9606.ENSP00000325120	9606.ENSP00000418960	0	0	0	0	0	0.512	0	0	0.512
PIK3R2	PGR	9606.ENSP00000222254	9606.ENSP00000325120	0	0	0	0	0	0.065	0.900	0	0.902
POLE	MSH2	9606.ENSP00000322570	9606.ENSP00000233146	0	0	0	0	0.122	0.620	0	0	0.652
POLE	BRIP1	9606.ENSP00000322570	9606.ENSP00000259008	0.042	0	0	0	0.148	0.071	0.400	0	0.484
POLE	BARD1	9606.ENSP00000322570	9606.ENSP00000260947	0	0	0	0	0.238	0	0.400	0	0.523
POLE	ATM	9606.ENSP00000322570	9606.ENSP00000278616	0	0	0	0	0.093	0	0.400	0	0.432
POLE	BRCA1	9606.ENSP00000322570	9606.ENSP00000418960	0	0	0	0	0.370	0.439	0.400	0	0.769
SETD2	CDK12	9606.ENSP00000386759	9606.ENSP00000398880	0	0	0	0	0.298	0.296	0	0	0.485
SLX4	MSH2	9606.ENSP00000294008	9606.ENSP00000233146	0	0	0	0	0.055	0.735	0	0	0.738
SLX4	BRIP1	9606.ENSP00000294008	9606.ENSP00000259008	0.069	0	0	0	0.109	0	0.500	0	0.549
SLX4	BARD1	9606.ENSP00000294008	9606.ENSP00000260947	0	0	0	0	0.061	0.047	0.500	0	0.513
SLX4	ATM	9606.ENSP00000294008	9606.ENSP00000278616	0	0	0	0	0	0	0.500	0	0.499
SLX4	FANCD2	9606.ENSP00000294008	9606.ENSP00000287647	0	0	0	0	0.098	0.510	0.500	0	0.759
SLX4	FANCB	9606.ENSP00000294008	9606.ENSP00000498215	0	0	0	0	0.049	0	0.500	0	0.504
SLX4	BRCA1	9606.ENSP00000294008	9606.ENSP00000418960	0	0	0	0	0.067	0.439	0.500	0	0.715
SLX4	ERCC4	9606.ENSP00000294008	9606.ENSP00000310520	0	0	0	0	0.105	0.943	0.500	0	0.972
TP53	MSH2	9606.ENSP00000269305	9606.ENSP00000233146	0	0	0	0	0.061	0.599	0.500	0	0.795
TP53	BRIP1	9606.ENSP00000269305	9606.ENSP00000259008	0	0	0	0	0.067	0	0.400	0	0.416
TP53	BARD1	9606.ENSP00000269305	9606.ENSP00000260947	0	0	0	0	0	0.745	0.500	0	0.867
TP53	ERCC6	9606.ENSP00000269305	9606.ENSP00000348089	0	0	0	0	0	0.625	0	0	0.625
TP53	CDK12	9606.ENSP00000269305	9606.ENSP00000398880	0	0	0	0	0.044	0	0.500	0	0.501
TP53	AR	9606.ENSP00000269305	9606.ENSP00000363822	0	0	0	0	0	0.439	0	0	0.439
TP53	ERCC3	9606.ENSP00000269305	9606.ENSP00000285398	0	0	0	0	0	0.681	0	0	0.681
TP53	PARP1	9606.ENSP00000269305	9606.ENSP00000355759	0	0	0	0	0.067	0.794	0	0	0.799
TP53	HDAC1	9606.ENSP00000269305	9606.ENSP00000362649	0	0	0	0	0.109	0.924	0.500	0	0.963
TP53	ATM	9606.ENSP00000269305	9606.ENSP00000278616	0	0	0	0	0.103	0.928	0.900	0	0.993
TP53	BRCA1	9606.ENSP00000269305	9606.ENSP00000418960	0	0	0	0	0.067	0.895	0.500	0	0.946
TP53	CDKN1A	9606.ENSP00000269305	9606.ENSP00000384849	0	0	0	0	0	0.925	0.900	0	0.992
TP53	CDKN2A	9606.ENSP00000269305	9606.ENSP00000418915	0	0	0	0	0	0.874	0.900	0	0.986
