#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0051052	Regulation of DNA metabolic process	5	541	1.36	0.00080	9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	WRN,ATR,ATRX,BRCA2,BRCA1
GO Process	GO:0010332	Response to gamma radiation	3	55	2.13	0.0012	9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000369497	WRN,ATR,BRCA2
GO Process	GO:0031324	Negative regulation of cellular metabolic process	7	2265	0.88	0.0015	9606.ENSP00000267163,9606.ENSP00000277120,9606.ENSP00000342924,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	RB1,NTRK2,MCPH1,ATR,ATRX,BRCA2,BRCA1
GO Process	GO:0033044	Regulation of chromosome organization	4	253	1.59	0.0015	9606.ENSP00000267163,9606.ENSP00000342924,9606.ENSP00000343741,9606.ENSP00000362441	RB1,MCPH1,ATR,ATRX
GO Process	GO:0010948	Negative regulation of cell cycle process	4	272	1.56	0.0018	9606.ENSP00000267163,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000418960	RB1,ATR,ATRX,BRCA1
GO Process	GO:0051172	Negative regulation of nitrogen compound metabolic process	7	2403	0.86	0.0020	9606.ENSP00000267163,9606.ENSP00000277120,9606.ENSP00000342924,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	RB1,NTRK2,MCPH1,ATR,ATRX,BRCA2,BRCA1
GO Process	GO:0051054	Positive regulation of DNA metabolic process	4	304	1.51	0.0025	9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000418960	WRN,ATR,ATRX,BRCA1
GO Process	GO:0007420	Brain development	5	775	1.2	0.0029	9606.ENSP00000277120,9606.ENSP00000298139,9606.ENSP00000342924,9606.ENSP00000362441,9606.ENSP00000369497	NTRK2,WRN,MCPH1,ATRX,BRCA2
GO Process	GO:0045934	Negative regulation of nucleobase-containing compound metabolic process	6	1562	0.98	0.0032	9606.ENSP00000267163,9606.ENSP00000342924,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	RB1,MCPH1,ATR,ATRX,BRCA2,BRCA1
GO Process	GO:0000723	Telomere maintenance	3	97	1.88	0.0034	9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000369497	WRN,ATR,BRCA2
GO Process	GO:0010605	Negative regulation of macromolecule metabolic process	7	2760	0.8	0.0036	9606.ENSP00000267163,9606.ENSP00000277120,9606.ENSP00000342924,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	RB1,NTRK2,MCPH1,ATR,ATRX,BRCA2,BRCA1
GO Process	GO:0000724	Double-strand break repair via homologous recombination	3	114	1.81	0.0050	9606.ENSP00000298139,9606.ENSP00000369497,9606.ENSP00000418960	WRN,BRCA2,BRCA1
GO Process	GO:1901987	Regulation of cell cycle phase transition	4	431	1.36	0.0063	9606.ENSP00000267163,9606.ENSP00000343741,9606.ENSP00000369497,9606.ENSP00000418960	RB1,ATR,BRCA2,BRCA1
GO Process	GO:0031325	Positive regulation of cellular metabolic process	7	3114	0.74	0.0067	9606.ENSP00000267163,9606.ENSP00000277120,9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	RB1,NTRK2,WRN,ATR,ATRX,BRCA2,BRCA1
GO Process	GO:0006275	Regulation of DNA replication	3	136	1.73	0.0070	9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497	ATR,ATRX,BRCA2
GO Process	GO:0010225	Response to UV-C	2	15	2.52	0.0070	9606.ENSP00000298139,9606.ENSP00000369497	WRN,BRCA2
GO Process	GO:0051173	Positive regulation of nitrogen compound metabolic process	7	3166	0.74	0.0070	9606.ENSP00000267163,9606.ENSP00000277120,9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	RB1,NTRK2,WRN,ATR,ATRX,BRCA2,BRCA1
GO Process	GO:0090399	Replicative senescence	2	16	2.49	0.0074	9606.ENSP00000298139,9606.ENSP00000343741	WRN,ATR
GO Process	GO:0009411	Response to UV	3	150	1.69	0.0080	9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000369497	WRN,ATR,BRCA2
GO Process	GO:0045935	Positive regulation of nucleobase-containing compound metabolic process	6	2056	0.86	0.0095	9606.ENSP00000267163,9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	RB1,WRN,ATR,ATRX,BRCA2,BRCA1
GO Process	GO:0000226	Microtubule cytoskeleton organization	4	542	1.26	0.0110	9606.ENSP00000342924,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	MCPH1,ATRX,BRCA2,BRCA1
GO Process	GO:0006996	Organelle organization	7	3470	0.7	0.0110	9606.ENSP00000267163,9606.ENSP00000298139,9606.ENSP00000342924,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	RB1,WRN,MCPH1,ATR,ATRX,BRCA2,BRCA1
GO Process	GO:0007063	Regulation of sister chromatid cohesion	2	21	2.37	0.0110	9606.ENSP00000267163,9606.ENSP00000362441	RB1,ATRX
GO Process	GO:1903047	Mitotic cell cycle process	4	537	1.26	0.0110	9606.ENSP00000267163,9606.ENSP00000342924,9606.ENSP00000369497,9606.ENSP00000418960	RB1,MCPH1,BRCA2,BRCA1
GO Process	GO:0033043	Regulation of organelle organization	5	1190	1.01	0.0111	9606.ENSP00000267163,9606.ENSP00000342924,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000418960	RB1,MCPH1,ATR,ATRX,BRCA1
GO Process	GO:0010604	Positive regulation of macromolecule metabolic process	7	3533	0.69	0.0113	9606.ENSP00000267163,9606.ENSP00000277120,9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	RB1,NTRK2,WRN,ATR,ATRX,BRCA2,BRCA1
GO Process	GO:0007399	Nervous system development	6	2188	0.83	0.0118	9606.ENSP00000267163,9606.ENSP00000277120,9606.ENSP00000298139,9606.ENSP00000342924,9606.ENSP00000362441,9606.ENSP00000369497	RB1,NTRK2,WRN,MCPH1,ATRX,BRCA2
GO Process	GO:0035518	Histone H2A monoubiquitination	2	23	2.33	0.0118	9606.ENSP00000369497,9606.ENSP00000418960	BRCA2,BRCA1
GO Process	GO:0090304	Nucleic acid metabolic process	6	2203	0.83	0.0120	9606.ENSP00000267163,9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	RB1,WRN,ATR,ATRX,BRCA2,BRCA1
GO Process	GO:0033260	Nuclear DNA replication	2	24	2.31	0.0122	9606.ENSP00000298139,9606.ENSP00000369497	WRN,BRCA2
GO Process	GO:0031323	Regulation of cellular metabolic process	8	5681	0.54	0.0124	9606.ENSP00000267163,9606.ENSP00000277120,9606.ENSP00000298139,9606.ENSP00000342924,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	RB1,NTRK2,WRN,MCPH1,ATR,ATRX,BRCA2,BRCA1
GO Process	GO:0051171	Regulation of nitrogen compound metabolic process	8	5734	0.54	0.0129	9606.ENSP00000267163,9606.ENSP00000277120,9606.ENSP00000298139,9606.ENSP00000342924,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	RB1,NTRK2,WRN,MCPH1,ATR,ATRX,BRCA2,BRCA1
GO Process	GO:0051570	Regulation of histone H3-K9 methylation	2	27	2.26	0.0143	9606.ENSP00000362441,9606.ENSP00000418960	ATRX,BRCA1
GO Process	GO:2000001	Regulation of DNA damage checkpoint	2	27	2.26	0.0143	9606.ENSP00000369497,9606.ENSP00000418960	BRCA2,BRCA1
GO Process	GO:0080090	Regulation of primary metabolic process	8	5899	0.52	0.0150	9606.ENSP00000267163,9606.ENSP00000277120,9606.ENSP00000298139,9606.ENSP00000342924,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	RB1,NTRK2,WRN,MCPH1,ATR,ATRX,BRCA2,BRCA1
GO Process	GO:0051128	Regulation of cellular component organization	6	2365	0.8	0.0151	9606.ENSP00000267163,9606.ENSP00000277120,9606.ENSP00000342924,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000418960	RB1,NTRK2,MCPH1,ATR,ATRX,BRCA1
GO Process	GO:0071480	Cellular response to gamma radiation	2	29	2.23	0.0151	9606.ENSP00000298139,9606.ENSP00000343741	WRN,ATR
GO Process	GO:1901699	Cellular response to nitrogen compound	4	637	1.19	0.0151	9606.ENSP00000267163,9606.ENSP00000277120,9606.ENSP00000362441,9606.ENSP00000418960	RB1,NTRK2,ATRX,BRCA1
GO Process	GO:0080134	Regulation of response to stress	5	1373	0.95	0.0163	9606.ENSP00000267163,9606.ENSP00000342924,9606.ENSP00000343741,9606.ENSP00000369497,9606.ENSP00000418960	RB1,MCPH1,ATR,BRCA2,BRCA1
GO Process	GO:0008156	Negative regulation of DNA replication	2	32	2.19	0.0166	9606.ENSP00000343741,9606.ENSP00000369497	ATR,BRCA2
GO Process	GO:1901988	Negative regulation of cell cycle phase transition	3	225	1.52	0.0167	9606.ENSP00000267163,9606.ENSP00000343741,9606.ENSP00000418960	RB1,ATR,BRCA1
GO Process	GO:0060255	Regulation of macromolecule metabolic process	8	6249	0.5	0.0202	9606.ENSP00000267163,9606.ENSP00000277120,9606.ENSP00000298139,9606.ENSP00000342924,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	RB1,NTRK2,WRN,MCPH1,ATR,ATRX,BRCA2,BRCA1
GO Process	GO:0019219	Regulation of nucleobase-containing compound metabolic process	7	4074	0.63	0.0206	9606.ENSP00000267163,9606.ENSP00000298139,9606.ENSP00000342924,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	RB1,WRN,MCPH1,ATR,ATRX,BRCA2,BRCA1
GO Process	GO:0035556	Intracellular signal transduction	5	1518	0.91	0.0241	9606.ENSP00000267163,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	RB1,ATR,ATRX,BRCA2,BRCA1
GO Process	GO:0007275	Multicellular organism development	7	4209	0.61	0.0251	9606.ENSP00000267163,9606.ENSP00000277120,9606.ENSP00000298139,9606.ENSP00000342924,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	RB1,NTRK2,WRN,MCPH1,ATRX,BRCA2,BRCA1
GO Process	GO:0030330	DNA damage response, signal transduction by p53 class mediator	2	44	2.05	0.0273	9606.ENSP00000362441,9606.ENSP00000369497	ATRX,BRCA2
GO Process	GO:0051179	Localization	7	4512	0.58	0.0362	9606.ENSP00000267163,9606.ENSP00000277120,9606.ENSP00000298139,9606.ENSP00000342924,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497	RB1,NTRK2,WRN,MCPH1,ATR,ATRX,BRCA2
GO Process	GO:2001020	Regulation of response to DNA damage stimulus	3	316	1.37	0.0366	9606.ENSP00000343741,9606.ENSP00000369497,9606.ENSP00000418960	ATR,BRCA2,BRCA1
GO Process	GO:0046605	Regulation of centrosome cycle	2	56	1.94	0.0384	9606.ENSP00000342924,9606.ENSP00000418960	MCPH1,BRCA1
GO Process	GO:0090329	Regulation of DNA-templated DNA replication	2	57	1.94	0.0390	9606.ENSP00000362441,9606.ENSP00000369497	ATRX,BRCA2
GO Process	GO:0090398	Cellular senescence	2	60	1.91	0.0427	9606.ENSP00000298139,9606.ENSP00000369497	WRN,BRCA2
GO Process	GO:0045787	Positive regulation of cell cycle	3	349	1.33	0.0462	9606.ENSP00000267163,9606.ENSP00000362441,9606.ENSP00000369497	RB1,ATRX,BRCA2
GO Function	GO:0032405	MutLalpha complex binding	2	4	3.09	0.0107	9606.ENSP00000298139,9606.ENSP00000343741	WRN,ATR
GO Component	GO:0000781	Chromosome, telomeric region	3	143	1.71	0.0142	9606.ENSP00000298139,9606.ENSP00000362441,9606.ENSP00000369497	WRN,ATRX,BRCA2
GO Component	GO:0000800	Lateral element	2	14	2.55	0.0142	9606.ENSP00000369497,9606.ENSP00000418960	BRCA2,BRCA1
GO Component	GO:0005694	Chromosome	6	1850	0.9	0.0142	9606.ENSP00000267163,9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	RB1,WRN,ATR,ATRX,BRCA2,BRCA1
GO Component	GO:0016604	Nuclear body	5	833	1.17	0.0142	9606.ENSP00000267163,9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000418960	RB1,WRN,ATR,ATRX,BRCA1
GO Component	GO:0016605	PML body	3	103	1.86	0.0142	9606.ENSP00000267163,9606.ENSP00000343741,9606.ENSP00000362441	RB1,ATR,ATRX
GO Component	GO:0015630	Microtubule cytoskeleton	5	1355	0.96	0.0249	9606.ENSP00000267163,9606.ENSP00000298139,9606.ENSP00000342924,9606.ENSP00000369497,9606.ENSP00000418960	RB1,WRN,MCPH1,BRCA2,BRCA1
GO Component	GO:0000228	Nuclear chromosome	3	244	1.48	0.0304	9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	ATRX,BRCA2,BRCA1
GO Component	GO:0000152	Nuclear ubiquitin ligase complex	2	46	2.03	0.0315	9606.ENSP00000369497,9606.ENSP00000418960	BRCA2,BRCA1
GO Component	GO:0000793	Condensed chromosome	3	275	1.43	0.0315	9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	ATRX,BRCA2,BRCA1
GO Component	GO:0005654	Nucleoplasm	7	4169	0.62	0.0315	9606.ENSP00000267163,9606.ENSP00000298139,9606.ENSP00000342924,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	RB1,WRN,MCPH1,ATR,ATRX,BRCA2,BRCA1
GO Component	GO:0005815	Microtubule organizing center	4	825	1.08	0.0315	9606.ENSP00000298139,9606.ENSP00000342924,9606.ENSP00000369497,9606.ENSP00000418960	WRN,MCPH1,BRCA2,BRCA1
GO Component	GO:1990391	DNA repair complex	2	43	2.06	0.0315	9606.ENSP00000369497,9606.ENSP00000418960	BRCA2,BRCA1
STRING clusters	CL:6149	Homologous DNA Pairing and Strand Exchange, and Response to intra-S DNA damage checkpoint signaling	4	48	2.31	1.37e-05	9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000369497,9606.ENSP00000418960	WRN,ATR,BRCA2,BRCA1
STRING clusters	CL:6150	Resolution of D-loop Structures through Holliday Junction Intermediates, and RIDDLE syndrome	3	35	2.32	0.00021	9606.ENSP00000298139,9606.ENSP00000369497,9606.ENSP00000418960	WRN,BRCA2,BRCA1
STRING clusters	CL:6151	Resolution of D-loop Structures through Holliday Junction Intermediates, and DNA translocase activity	2	22	2.35	0.0201	9606.ENSP00000298139,9606.ENSP00000369497	WRN,BRCA2
KEGG	hsa03460	Fanconi anemia pathway	3	51	2.16	0.00036	9606.ENSP00000343741,9606.ENSP00000369497,9606.ENSP00000418960	ATR,BRCA2,BRCA1
KEGG	hsa05224	Breast cancer	3	146	1.7	0.0039	9606.ENSP00000267163,9606.ENSP00000369497,9606.ENSP00000418960	RB1,BRCA2,BRCA1
KEGG	hsa03440	Homologous recombination	2	38	2.11	0.0125	9606.ENSP00000369497,9606.ENSP00000418960	BRCA2,BRCA1
KEGG	hsa05212	Pancreatic cancer	2	71	1.84	0.0314	9606.ENSP00000267163,9606.ENSP00000369497	RB1,BRCA2
Reactome	HSA-1640170	Cell Cycle	7	658	1.42	8.57e-07	9606.ENSP00000267163,9606.ENSP00000298139,9606.ENSP00000342924,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	RB1,WRN,MCPH1,ATR,ATRX,BRCA2,BRCA1
Reactome	HSA-9709570	Impaired BRCA2 binding to RAD51	4	34	2.46	9.34e-07	9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000369497,9606.ENSP00000418960	WRN,ATR,BRCA2,BRCA1
Reactome	HSA-5693616	Presynaptic phase of homologous DNA pairing and strand exchange	4	39	2.4	1.04e-06	9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000369497,9606.ENSP00000418960	WRN,ATR,BRCA2,BRCA1
Reactome	HSA-5693554	Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)	3	26	2.45	2.65e-05	9606.ENSP00000298139,9606.ENSP00000369497,9606.ENSP00000418960	WRN,BRCA2,BRCA1
Reactome	HSA-9701192	Defective homologous recombination repair (HRR) due to BRCA1 loss of function	3	24	2.49	2.65e-05	9606.ENSP00000298139,9606.ENSP00000369497,9606.ENSP00000418960	WRN,BRCA2,BRCA1
Reactome	HSA-9704331	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function	3	24	2.49	2.65e-05	9606.ENSP00000298139,9606.ENSP00000369497,9606.ENSP00000418960	WRN,BRCA2,BRCA1
Reactome	HSA-9704646	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function	3	24	2.49	2.65e-05	9606.ENSP00000298139,9606.ENSP00000369497,9606.ENSP00000418960	WRN,BRCA2,BRCA1
Reactome	HSA-9709603	Impaired BRCA2 binding to PALB2	3	24	2.49	2.65e-05	9606.ENSP00000298139,9606.ENSP00000369497,9606.ENSP00000418960	WRN,BRCA2,BRCA1
Reactome	HSA-5693568	Resolution of D-loop Structures through Holliday Junction Intermediates	3	32	2.36	3.62e-05	9606.ENSP00000298139,9606.ENSP00000369497,9606.ENSP00000418960	WRN,BRCA2,BRCA1
Reactome	HSA-5685938	HDR through Single Strand Annealing (SSA)	3	37	2.3	4.92e-05	9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000418960	WRN,ATR,BRCA1
Reactome	HSA-69473	G2/M DNA damage checkpoint	3	77	1.98	0.00039	9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000418960	WRN,ATR,BRCA1
Reactome	HSA-5693607	Processing of DNA double-strand break ends	3	80	1.97	0.00041	9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000418960	WRN,ATR,BRCA1
Reactome	HSA-1500620	Meiosis	3	88	1.92	0.00050	9606.ENSP00000343741,9606.ENSP00000369497,9606.ENSP00000418960	ATR,BRCA2,BRCA1
Reactome	HSA-6804756	Regulation of TP53 Activity through Phosphorylation	3	92	1.9	0.00055	9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000418960	WRN,ATR,BRCA1
Reactome	HSA-1643685	Disease	6	1702	0.94	0.00089	9606.ENSP00000267163,9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	RB1,WRN,ATR,ATRX,BRCA2,BRCA1
Reactome	HSA-9675126	Diseases of mitotic cell cycle	2	38	2.11	0.0085	9606.ENSP00000267163,9606.ENSP00000362441	RB1,ATRX
Reactome	HSA-2299718	Condensation of Prophase Chromosomes	2	43	2.06	0.0104	9606.ENSP00000267163,9606.ENSP00000342924	RB1,MCPH1
Reactome	HSA-912446	Meiotic recombination	2	56	1.94	0.0163	9606.ENSP00000369497,9606.ENSP00000418960	BRCA2,BRCA1
Reactome	HSA-1221632	Meiotic synapsis	2	60	1.91	0.0181	9606.ENSP00000343741,9606.ENSP00000418960	ATR,BRCA1
Reactome	HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	2	62	1.9	0.0187	9606.ENSP00000343741,9606.ENSP00000418960	ATR,BRCA1
Reactome	HSA-3108214	SUMOylation of DNA damage response and repair proteins	2	75	1.82	0.0256	9606.ENSP00000298139,9606.ENSP00000418960	WRN,BRCA1
Reactome	HSA-157579	Telomere Maintenance	2	93	1.72	0.0380	9606.ENSP00000298139,9606.ENSP00000362441	WRN,ATRX
Reactome	HSA-212436	Generic Transcription Pathway	4	1215	0.91	0.0488	9606.ENSP00000267163,9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000418960	RB1,WRN,ATR,BRCA1
WikiPathways	WP4016	DNA IR-damage and cellular response via ATR	5	81	2.18	6.09e-08	9606.ENSP00000298139,9606.ENSP00000342924,9606.ENSP00000343741,9606.ENSP00000369497,9606.ENSP00000418960	WRN,MCPH1,ATR,BRCA2,BRCA1
WikiPathways	WP3959	DNA IR-double strand breaks and cellular response via ATM	4	55	2.25	1.96e-06	9606.ENSP00000342924,9606.ENSP00000343741,9606.ENSP00000369497,9606.ENSP00000418960	MCPH1,ATR,BRCA2,BRCA1
WikiPathways	WP4946	DNA repair pathways, full network	4	120	1.91	2.67e-05	9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000369497,9606.ENSP00000418960	WRN,ATR,BRCA2,BRCA1
WikiPathways	WP4262	Breast cancer pathway	4	154	1.81	5.30e-05	9606.ENSP00000267163,9606.ENSP00000343741,9606.ENSP00000369497,9606.ENSP00000418960	RB1,ATR,BRCA2,BRCA1
WikiPathways	WP1971	Integrated cancer pathway	3	44	2.23	0.00011	9606.ENSP00000267163,9606.ENSP00000343741,9606.ENSP00000418960	RB1,ATR,BRCA1
WikiPathways	WP1530	miRNA regulation of DNA damage response	3	71	2.02	0.00034	9606.ENSP00000267163,9606.ENSP00000343741,9606.ENSP00000418960	RB1,ATR,BRCA1
WikiPathways	WP707	DNA damage response	3	69	2.03	0.00034	9606.ENSP00000267163,9606.ENSP00000343741,9606.ENSP00000418960	RB1,ATR,BRCA1
WikiPathways	WP2261	Glioblastoma signaling pathways	3	82	1.95	0.00042	9606.ENSP00000267163,9606.ENSP00000369497,9606.ENSP00000418960	RB1,BRCA2,BRCA1
WikiPathways	WP2263	Androgen receptor network in prostate cancer	3	109	1.83	0.00085	9606.ENSP00000267163,9606.ENSP00000343741,9606.ENSP00000418960	RB1,ATR,BRCA1
WikiPathways	WP5316	Primary ovarian insufficiency	3	171	1.64	0.0029	9606.ENSP00000298139,9606.ENSP00000369497,9606.ENSP00000418960	WRN,BRCA2,BRCA1
WikiPathways	WP3651	Pathways affected in adenoid cystic carcinoma	2	65	1.88	0.0223	9606.ENSP00000362441,9606.ENSP00000418960	ATRX,BRCA1
WikiPathways	WP4263	Pancreatic adenocarcinoma pathway	2	86	1.76	0.0353	9606.ENSP00000267163,9606.ENSP00000369497	RB1,BRCA2
WikiPathways	WP138	Androgen receptor signaling pathway	2	90	1.74	0.0356	9606.ENSP00000267163,9606.ENSP00000418960	RB1,BRCA1
Monarch	HP:0000002	Abnormality of body height	7	1253	1.14	5.72e-05	9606.ENSP00000277120,9606.ENSP00000298139,9606.ENSP00000342924,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	NTRK2,WRN,MCPH1,ATR,ATRX,BRCA2,BRCA1
Monarch	HP:0000163	Abnormal oral cavity morphology	8	1901	1.02	5.72e-05	9606.ENSP00000267163,9606.ENSP00000277120,9606.ENSP00000298139,9606.ENSP00000342924,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	RB1,NTRK2,WRN,MCPH1,ATR,ATRX,BRCA2,BRCA1
Monarch	HP:0001507	Growth abnormality	8	2182	0.96	5.72e-05	9606.ENSP00000267163,9606.ENSP00000277120,9606.ENSP00000298139,9606.ENSP00000342924,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	RB1,NTRK2,WRN,MCPH1,ATR,ATRX,BRCA2,BRCA1
Monarch	HP:0003002	Breast carcinoma	4	54	2.26	5.72e-05	9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000369497,9606.ENSP00000418960	WRN,ATR,BRCA2,BRCA1
Monarch	HP:0004322	Short stature	7	1152	1.17	5.72e-05	9606.ENSP00000277120,9606.ENSP00000298139,9606.ENSP00000342924,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	NTRK2,WRN,MCPH1,ATR,ATRX,BRCA2,BRCA1
Monarch	HP:0004325	Decreased body weight	7	1274	1.13	5.72e-05	9606.ENSP00000267163,9606.ENSP00000277120,9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	RB1,NTRK2,WRN,ATR,ATRX,BRCA2,BRCA1
Monarch	HP:0012443	Abnormality of brain morphology	8	2254	0.94	5.72e-05	9606.ENSP00000267163,9606.ENSP00000277120,9606.ENSP00000298139,9606.ENSP00000342924,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	RB1,NTRK2,WRN,MCPH1,ATR,ATRX,BRCA2,BRCA1
