#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0000712	Resolution of meiotic recombination intermediates	2	18	2.19	0.0255	9606.ENSP00000294008,9606.ENSP00000310520	SLX4,ERCC4
GO Process	GO:0010639	Negative regulation of organelle organization	4	351	1.21	0.0255	9606.ENSP00000257430,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000418960	APC,SLX4,ERCC4,BRCA1
GO Process	GO:0006807	Nitrogen compound metabolic process	12	6643	0.41	0.0259	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000277120,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000363822,9606.ENSP00000364649,9606.ENSP00000382423,9606.ENSP00000418960,9606.ENSP00000500891	PDGFRA,APC,BRIP1,NTRK2,FANCD2,SLX4,ERCC4,AR,SDHB,MAP3K1,BRCA1,MUTYH
GO Process	GO:0007093	Mitotic cell cycle checkpoint signaling	3	127	1.52	0.0262	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000418960	APC,FANCD2,BRCA1
GO Process	GO:0050793	Regulation of developmental process	8	2492	0.65	0.0262	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000277120,9606.ENSP00000287647,9606.ENSP00000358918,9606.ENSP00000360141,9606.ENSP00000363822,9606.ENSP00000418960	PDGFRA,APC,NTRK2,FANCD2,SUFU,GNAS,AR,BRCA1
GO Process	GO:0006950	Response to stress	9	3358	0.58	0.0275	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000360141,9606.ENSP00000418960,9606.ENSP00000500891	PDGFRA,APC,BRIP1,FANCD2,SLX4,ERCC4,GNAS,BRCA1,MUTYH
GO Process	GO:0009725	Response to hormone	5	762	0.97	0.0312	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000360141,9606.ENSP00000363822,9606.ENSP00000418960	APC,BRIP1,GNAS,AR,BRCA1
GO Process	GO:0070887	Cellular response to chemical stimulus	8	2609	0.63	0.0318	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000277120,9606.ENSP00000287647,9606.ENSP00000360141,9606.ENSP00000363822,9606.ENSP00000418960	PDGFRA,APC,BRIP1,NTRK2,FANCD2,GNAS,AR,BRCA1
GO Process	GO:0008584	Male gonad development	3	145	1.46	0.0328	9606.ENSP00000257290,9606.ENSP00000259008,9606.ENSP00000363822	PDGFRA,BRIP1,AR
GO Process	GO:0030539	Male genitalia development	2	24	2.07	0.0338	9606.ENSP00000257290,9606.ENSP00000363822	PDGFRA,AR
GO Process	GO:0006139	Nucleobase-containing compound metabolic process	8	2722	0.62	0.0407	9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000363822,9606.ENSP00000364649,9606.ENSP00000418960,9606.ENSP00000500891	BRIP1,FANCD2,SLX4,ERCC4,AR,SDHB,BRCA1,MUTYH
GO Process	GO:0007169	Transmembrane receptor protein tyrosine kinase signaling pathway	4	425	1.12	0.0407	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000277120,9606.ENSP00000363822	PDGFRA,APC,NTRK2,AR
GO Process	GO:0043170	Macromolecule metabolic process	11	5781	0.43	0.0423	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000277120,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000363822,9606.ENSP00000382423,9606.ENSP00000418960,9606.ENSP00000500891	PDGFRA,APC,BRIP1,NTRK2,FANCD2,SLX4,ERCC4,AR,MAP3K1,BRCA1,MUTYH
GO Process	GO:0010605	Negative regulation of macromolecule metabolic process	8	2760	0.61	0.0425	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000277120,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000358918,9606.ENSP00000363822,9606.ENSP00000418960	APC,BRIP1,NTRK2,SLX4,ERCC4,SUFU,AR,BRCA1
GO Process	GO:0044238	Primary metabolic process	12	7156	0.37	0.0441	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000277120,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000363822,9606.ENSP00000364649,9606.ENSP00000382423,9606.ENSP00000418960,9606.ENSP00000500891	PDGFRA,APC,BRIP1,NTRK2,FANCD2,SLX4,ERCC4,AR,SDHB,MAP3K1,BRCA1,MUTYH
GO Process	GO:0071310	Cellular response to organic substance	7	2019	0.69	0.0441	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000277120,9606.ENSP00000360141,9606.ENSP00000363822,9606.ENSP00000418960	PDGFRA,APC,BRIP1,NTRK2,GNAS,AR,BRCA1
GO Process	GO:1904357	Negative regulation of telomere maintenance via telomere lengthening	2	30	1.97	0.0450	9606.ENSP00000294008,9606.ENSP00000310520	SLX4,ERCC4
GO Process	GO:0007165	Signal transduction	10	4714	0.47	0.0452	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000277120,9606.ENSP00000287647,9606.ENSP00000358918,9606.ENSP00000360141,9606.ENSP00000363822,9606.ENSP00000382423,9606.ENSP00000418960	PDGFRA,APC,BRIP1,NTRK2,FANCD2,SUFU,GNAS,AR,MAP3K1,BRCA1
GO Process	GO:0035295	Tube development	5	880	0.9	0.0492	9606.ENSP00000257290,9606.ENSP00000259008,9606.ENSP00000277120,9606.ENSP00000358918,9606.ENSP00000363822	PDGFRA,BRIP1,NTRK2,SUFU,AR
GO Function	GO:0051539	4 iron, 4 sulfur cluster binding	3	43	1.99	0.0210	9606.ENSP00000259008,9606.ENSP00000364649,9606.ENSP00000500891	BRIP1,SDHB,MUTYH
GO Function	GO:0003684	Damaged DNA binding	3	69	1.79	0.0407	9606.ENSP00000310520,9606.ENSP00000418960,9606.ENSP00000500891	ERCC4,BRCA1,MUTYH
GO Function	GO:0008013	Beta-catenin binding	3	89	1.68	0.0407	9606.ENSP00000257430,9606.ENSP00000358918,9606.ENSP00000363822	APC,SUFU,AR
GO Function	GO:0019899	Enzyme binding	8	2084	0.73	0.0407	9606.ENSP00000257430,9606.ENSP00000277120,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000358918,9606.ENSP00000363822,9606.ENSP00000382423,9606.ENSP00000418960	APC,NTRK2,FANCD2,SLX4,SUFU,AR,MAP3K1,BRCA1
GO Component	GO:0005654	Nucleoplasm	11	4169	0.57	0.0087	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000358918,9606.ENSP00000363822,9606.ENSP00000364649,9606.ENSP00000418960,9606.ENSP00000500891	PDGFRA,APC,BRIP1,FANCD2,SLX4,ERCC4,SUFU,AR,SDHB,BRCA1,MUTYH
GO Component	GO:0032991	Protein-containing complex	12	5506	0.49	0.0087	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000277120,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000358918,9606.ENSP00000360141,9606.ENSP00000363822,9606.ENSP00000364649,9606.ENSP00000418960	PDGFRA,APC,BRIP1,NTRK2,FANCD2,SLX4,ERCC4,SUFU,GNAS,AR,SDHB,BRCA1
GO Component	GO:0070532	BRCA1-B complex	2	4	2.85	0.0087	9606.ENSP00000259008,9606.ENSP00000418960	BRIP1,BRCA1
GO Component	GO:1990391	DNA repair complex	3	43	1.99	0.0087	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000418960	FANCD2,ERCC4,BRCA1
STRING clusters	CL:6143	DNA repair pathways, full network, and HDR through Homologous Recombination (HRR)	6	156	1.73	3.65e-06	9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000418960,9606.ENSP00000500891	BRIP1,FANCD2,SLX4,ERCC4,BRCA1,MUTYH
STRING clusters	CL:6147	DNA repair pathways, full network, and HDR through Homologous Recombination (HRR)	5	96	1.87	1.41e-05	9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000418960	BRIP1,FANCD2,SLX4,ERCC4,BRCA1
STRING clusters	CL:6148	Diseases of DNA repair, and DNA repair complex	4	76	1.87	0.00019	9606.ENSP00000259008,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000418960	BRIP1,SLX4,ERCC4,BRCA1
STRING clusters	CL:6149	Homologous DNA Pairing and Strand Exchange, and Response to intra-S DNA damage checkpoint signaling	3	48	1.94	0.0038	9606.ENSP00000259008,9606.ENSP00000294008,9606.ENSP00000418960	BRIP1,SLX4,BRCA1
KEGG	hsa03460	Fanconi anemia pathway	5	51	2.14	1.02e-07	9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000418960	BRIP1,FANCD2,SLX4,ERCC4,BRCA1
KEGG	hsa05200	Pathways in cancer	5	515	1.14	0.0035	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000358918,9606.ENSP00000360141,9606.ENSP00000363822	PDGFRA,APC,SUFU,GNAS,AR
KEGG	hsa05206	MicroRNAs in cancer	3	159	1.42	0.0208	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000418960	PDGFRA,APC,BRCA1
KEGG	hsa03440	Homologous recombination	2	38	1.87	0.0302	9606.ENSP00000259008,9606.ENSP00000418960	BRIP1,BRCA1
Reactome	HSA-73894	DNA Repair	6	310	1.44	9.96e-05	9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000418960,9606.ENSP00000500891	BRIP1,FANCD2,SLX4,ERCC4,BRCA1,MUTYH
Reactome	HSA-5685938	HDR through Single Strand Annealing (SSA)	3	37	2.06	0.0013	9606.ENSP00000259008,9606.ENSP00000310520,9606.ENSP00000418960	BRIP1,ERCC4,BRCA1
Reactome	HSA-5693567	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	4	113	1.7	0.0013	9606.ENSP00000259008,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000418960	BRIP1,SLX4,ERCC4,BRCA1
Reactome	HSA-5693568	Resolution of D-loop Structures through Holliday Junction Intermediates	3	32	2.12	0.0013	9606.ENSP00000259008,9606.ENSP00000294008,9606.ENSP00000418960	BRIP1,SLX4,BRCA1
Reactome	HSA-6783310	Fanconi Anemia Pathway	3	37	2.06	0.0013	9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520	FANCD2,SLX4,ERCC4
Reactome	HSA-9675135	Diseases of DNA repair	3	50	1.93	0.0017	9606.ENSP00000259008,9606.ENSP00000418960,9606.ENSP00000500891	BRIP1,BRCA1,MUTYH
Reactome	HSA-5693554	Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)	2	26	2.03	0.0313	9606.ENSP00000259008,9606.ENSP00000418960	BRIP1,BRCA1
Reactome	HSA-9701192	Defective homologous recombination repair (HRR) due to BRCA1 loss of function	2	24	2.07	0.0313	9606.ENSP00000259008,9606.ENSP00000418960	BRIP1,BRCA1
Reactome	HSA-9704331	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function	2	24	2.07	0.0313	9606.ENSP00000259008,9606.ENSP00000418960	BRIP1,BRCA1
Reactome	HSA-9704646	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function	2	24	2.07	0.0313	9606.ENSP00000259008,9606.ENSP00000418960	BRIP1,BRCA1
Reactome	HSA-9709603	Impaired BRCA2 binding to PALB2	2	24	2.07	0.0313	9606.ENSP00000259008,9606.ENSP00000418960	BRIP1,BRCA1
Reactome	HSA-9709570	Impaired BRCA2 binding to RAD51	2	34	1.92	0.0391	9606.ENSP00000259008,9606.ENSP00000418960	BRIP1,BRCA1
Reactome	HSA-5693616	Presynaptic phase of homologous DNA pairing and strand exchange	2	39	1.86	0.0479	9606.ENSP00000259008,9606.ENSP00000418960	BRIP1,BRCA1
WikiPathways	WP4946	DNA repair pathways, full network	5	120	1.77	1.41e-05	9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000418960,9606.ENSP00000500891	BRIP1,FANCD2,ERCC4,BRCA1,MUTYH
WikiPathways	WP5087	Malignant pleural mesothelioma	5	434	1.21	0.0035	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000277120,9606.ENSP00000382423,9606.ENSP00000418960	PDGFRA,APC,NTRK2,MAP3K1,BRCA1
WikiPathways	WP4016	DNA IR-damage and cellular response via ATR	3	81	1.72	0.0055	9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000418960	BRIP1,FANCD2,BRCA1
WikiPathways	WP5114	Nucleotide excision repair in xeroderma pigmentosum 	3	75	1.75	0.0055	9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000418960	SLX4,ERCC4,BRCA1
WikiPathways	WP4540	Hippo signaling regulation pathways	3	98	1.63	0.0071	9606.ENSP00000257290,9606.ENSP00000277120,9606.ENSP00000360141	PDGFRA,NTRK2,GNAS
WikiPathways	WP2380	Brain-derived neurotrophic factor (BDNF) signaling pathway	3	143	1.47	0.0178	9606.ENSP00000257430,9606.ENSP00000277120,9606.ENSP00000382423	APC,NTRK2,MAP3K1
WikiPathways	WP2516	ATM signaling pathway	2	40	1.85	0.0443	9606.ENSP00000287647,9606.ENSP00000418960	FANCD2,BRCA1
Monarch	HP:0011793	Neoplasm by anatomical site	13	732	1.4	4.78e-14	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000358918,9606.ENSP00000360141,9606.ENSP00000363822,9606.ENSP00000364649,9606.ENSP00000382423,9606.ENSP00000418960,9606.ENSP00000500891	PDGFRA,APC,BRIP1,FANCD2,SLX4,ERCC4,SUFU,GNAS,AR,SDHB,MAP3K1,BRCA1,MUTYH
Monarch	HP:0000008	Abnormal morphology of female internal genitalia	11	355	1.64	1.10e-13	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000358918,9606.ENSP00000360141,9606.ENSP00000363822,9606.ENSP00000364649,9606.ENSP00000382423,9606.ENSP00000418960	APC,BRIP1,FANCD2,SLX4,ERCC4,SUFU,GNAS,AR,SDHB,MAP3K1,BRCA1
Monarch	HP:0000812	Abnormal internal genitalia	11	391	1.6	2.33e-13	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000358918,9606.ENSP00000360141,9606.ENSP00000363822,9606.ENSP00000364649,9606.ENSP00000382423,9606.ENSP00000418960	APC,BRIP1,FANCD2,SLX4,ERCC4,SUFU,GNAS,AR,SDHB,MAP3K1,BRCA1
Monarch	HP:0010460	Abnormality of the female genitalia	11	422	1.56	4.24e-13	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000358918,9606.ENSP00000360141,9606.ENSP00000363822,9606.ENSP00000364649,9606.ENSP00000382423,9606.ENSP00000418960	APC,BRIP1,FANCD2,SLX4,ERCC4,SUFU,GNAS,AR,SDHB,MAP3K1,BRCA1
Monarch	HP:0000864	Abnormality of the hypothalamus-pituitary axis	10	314	1.65	2.41e-12	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000358918,9606.ENSP00000360141,9606.ENSP00000363822,9606.ENSP00000382423,9606.ENSP00000418960	APC,BRIP1,FANCD2,SLX4,ERCC4,SUFU,GNAS,AR,MAP3K1,BRCA1
Monarch	HP:0007400	Irregular hyperpigmentation	9	229	1.74	1.55e-11	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000360141,9606.ENSP00000364649,9606.ENSP00000418960	PDGFRA,APC,BRIP1,FANCD2,SLX4,ERCC4,GNAS,SDHB,BRCA1
Monarch	HP:0007565	Multiple cafe-au-lait spots	7	60	2.22	1.95e-11	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000364649,9606.ENSP00000418960	APC,BRIP1,FANCD2,SLX4,ERCC4,SDHB,BRCA1
Monarch	HP:0011024	Abnormality of the gastrointestinal tract	13	1384	1.12	1.95e-11	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000277120,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000358918,9606.ENSP00000360141,9606.ENSP00000363822,9606.ENSP00000364649,9606.ENSP00000418960,9606.ENSP00000500891	PDGFRA,APC,BRIP1,NTRK2,FANCD2,SLX4,ERCC4,SUFU,GNAS,AR,SDHB,BRCA1,MUTYH
Monarch	HP:0002242	Abnormal intestine morphology	11	673	1.36	3.28e-11	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000358918,9606.ENSP00000360141,9606.ENSP00000364649,9606.ENSP00000418960,9606.ENSP00000500891	PDGFRA,APC,BRIP1,FANCD2,SLX4,ERCC4,SUFU,GNAS,SDHB,BRCA1,MUTYH
Monarch	HP:0001000	Abnormality of skin pigmentation	10	439	1.51	3.48e-11	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000358918,9606.ENSP00000360141,9606.ENSP00000364649,9606.ENSP00000418960	PDGFRA,APC,BRIP1,FANCD2,SLX4,ERCC4,SUFU,GNAS,SDHB,BRCA1
