# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ACYP1	ENSG00000119640	ENST00000555694	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
AIP	ENSG00000110711	ENST00000279146	protein_coding	0	2	1	4	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	2	0
AIP	ENSG00000110711	ENST00000525341	protein_coding	0	2	2	3	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	0
AIP	ENSG00000110711	ENST00000528641	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
AIP	ENSG00000110711	ENST00000682324	protein_coding	0	2	1	4	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	2	0
AIP	ENSG00000110711	ENST00000682659	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
AIP	ENSG00000110711	ENST00000682699	protein_coding	0	2	1	4	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	2	0
AIP	ENSG00000110711	ENST00000683237	protein_coding	0	2	1	4	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	2	0
AIP	ENSG00000110711	ENST00000683856	protein_coding	0	2	1	4	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	2	0
AIP	ENSG00000110711	ENST00000684006	protein_coding	0	2	1	4	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	2	0
AIP	ENSG00000110711	ENST00000684657	protein_coding	0	2	1	4	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	2	0
AKT1	ENSG00000142208	ENST00000349310	protein_coding	1	1	4	7	0	0	0	1	0	0	0	1	8	3	0	0	1	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000402615	protein_coding	1	1	4	7	0	0	0	1	0	0	0	1	8	3	0	0	1	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000407796	protein_coding	1	1	4	7	0	0	0	1	0	0	0	1	8	3	0	0	1	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000553797	protein_coding	1	1	4	7	0	0	0	1	0	0	0	1	8	3	0	0	1	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000554192	protein_coding	1	1	2	6	0	0	0	0	0	0	0	1	5	2	0	0	1	0	0	0	0	2
AKT1	ENSG00000142208	ENST00000554581	protein_coding	1	1	4	7	0	0	2	1	0	0	0	1	6	3	0	0	1	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000554848	protein_coding	1	1	4	7	0	0	0	1	0	0	0	1	8	3	0	0	1	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000555458	protein_coding	1	1	3	5	0	0	0	0	0	0	0	1	2	3	0	0	1	0	0	0	0	4
AKT1	ENSG00000142208	ENST00000555528	protein_coding	1	1	4	7	0	0	0	1	0	0	0	1	8	3	0	0	1	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000649815	protein_coding	1	1	4	7	0	0	0	1	0	0	0	1	8	3	0	0	1	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000683722	protein_coding	1	1	4	7	0	0	0	1	0	0	0	1	8	3	0	0	1	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000311278	protein_coding	0	2	0	4	0	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000358335	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000392037	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000392038	protein_coding	0	2	0	4	0	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000416362	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000423127	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000424901	protein_coding	0	2	0	4	0	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000441941	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000452077	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000456441	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000476247	protein_coding	0	1	0	5	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	5
AKT2	ENSG00000105221	ENST00000486368	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000497948	protein_coding	0	1	0	5	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	5
AKT2	ENSG00000105221	ENST00000578123	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000578310	protein_coding	0	0	0	6	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000578615	protein_coding	0	2	0	4	0	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000579047	protein_coding	0	2	0	4	0	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000583859	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000596634	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000672890	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ALK	ENSG00000171094	ENST00000389048	protein_coding	3	5	6	19	1	0	0	0	0	0	0	3	21	6	0	0	3	0	0	0	2	0
ALK	ENSG00000171094	ENST00000453137	protein_coding	0	2	0	10	1	0	0	0	0	0	4	0	4	0	0	0	2	0	0	0	0	3
ALK	ENSG00000171094	ENST00000618119	protein_coding	3	5	5	19	1	0	0	0	0	0	0	3	20	5	0	0	3	0	0	0	2	1
ALK	ENSG00000171094	ENST00000642122	protein_coding	0	4	3	12	1	0	1	0	0	0	0	0	11	3	0	0	3	0	0	0	1	2
APC	ENSG00000134982	ENST00000257430	protein_coding	5	1	7	4	0	0	0	0	0	0	0	3	5	7	0	0	3	2	0	0	0	0
APC	ENSG00000134982	ENST00000504915	protein_coding	3	0	1	8	0	0	0	0	0	0	5	2	3	1	0	0	1	1	0	0	0	0
APC	ENSG00000134982	ENST00000507379	protein_coding	3	2	2	28	0	1	2	0	0	0	7	2	9	2	0	0	3	1	0	0	0	11
APC	ENSG00000134982	ENST00000508376	protein_coding	5	1	7	4	0	0	0	0	0	0	0	3	5	7	0	0	3	2	0	0	0	0
APC	ENSG00000134982	ENST00000509732	protein_coding	0	1	1	17	0	1	2	0	0	0	0	0	4	1	0	0	1	0	0	0	0	11
APC	ENSG00000134982	ENST00000512211	protein_coding	3	1	2	11	0	0	0	0	0	0	7	2	5	2	0	0	3	1	0	0	0	0
AR	ENSG00000169083	ENST00000374690	protein_coding	2	1	0	60	15	0	1	0	0	0	0	2	44	0	0	0	0	0	0	0	1	0
AR	ENSG00000169083	ENST00000396044	protein_coding	1	1	0	60	0	0	0	0	0	0	14	1	45	0	0	0	0	0	0	0	1	1
AR	ENSG00000169083	ENST00000504326	protein_coding	1	1	0	22	2	0	1	0	0	0	5	1	14	0	0	0	0	0	0	0	1	0
ARAF	ENSG00000078061	ENST00000377039	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ARAF	ENSG00000078061	ENST00000377045	protein_coding	1	0	0	3	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000324856	protein_coding	4	1	8	8	0	0	1	1	1	1	0	3	8	5	0	0	1	1	0	0	0	0
ARID1A	ENSG00000117713	ENST00000374152	protein_coding	4	1	6	7	0	0	0	1	1	1	0	3	8	3	0	0	1	1	0	0	0	0
ARID1A	ENSG00000117713	ENST00000430799	protein_coding	4	1	6	10	0	0	0	1	1	1	0	3	11	3	0	0	1	1	0	0	0	0
ARID1A	ENSG00000117713	ENST00000457599	protein_coding	4	1	7	9	0	0	0	1	1	1	0	3	9	4	0	0	1	1	0	0	0	1
ARID1A	ENSG00000117713	ENST00000524572	protein_coding	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000636219	protein_coding	4	1	6	7	0	0	0	1	1	1	0	3	8	3	0	0	1	1	0	0	0	0
ARID1A	ENSG00000117713	ENST00000637465	protein_coding	0	0	2	3	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0
ARID1B	ENSG00000049618	ENST00000319584	protein_coding	0	0	7	4	0	0	0	0	0	0	1	0	3	7	0	0	0	0	0	0	0	0
ARID1B	ENSG00000049618	ENST00000346085	protein_coding	3	2	13	7	0	0	0	0	0	0	0	2	7	13	0	0	0	1	0	0	2	0
ARID1B	ENSG00000049618	ENST00000350026	protein_coding	3	2	12	8	0	0	0	0	0	0	0	2	7	12	0	0	0	1	0	0	2	1
ARID1B	ENSG00000049618	ENST00000400790	protein_coding	0	0	2	7	0	0	0	0	0	0	1	0	5	2	0	0	0	0	0	0	0	1
ARID1B	ENSG00000049618	ENST00000414678	protein_coding	3	0	14	8	0	0	0	0	0	0	0	2	4	14	0	0	0	1	0	0	0	4
ARID1B	ENSG00000049618	ENST00000494260	protein_coding	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
ARID1B	ENSG00000049618	ENST00000635849	protein_coding	3	0	13	5	0	0	1	0	0	0	0	2	4	13	0	0	0	1	0	0	0	0
ARID1B	ENSG00000049618	ENST00000635928	protein_coding	3	0	2	2	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	2
ARID1B	ENSG00000049618	ENST00000635957	protein_coding	3	0	12	4	0	0	0	0	0	0	0	2	3	12	0	0	0	1	0	0	0	1
ARID1B	ENSG00000049618	ENST00000636607	protein_coding	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
ARID1B	ENSG00000049618	ENST00000636748	protein_coding	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
ARID1B	ENSG00000049618	ENST00000636930	protein_coding	3	2	16	4	0	0	0	0	0	0	0	2	4	16	0	0	0	1	0	0	2	0
ARID1B	ENSG00000049618	ENST00000637003	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARID1B	ENSG00000049618	ENST00000637015	protein_coding	3	0	13	3	0	0	0	0	0	0	0	2	3	13	0	0	0	1	0	0	0	0
ARID1B	ENSG00000049618	ENST00000637810	protein_coding	3	0	10	8	0	0	0	0	0	0	0	2	7	10	0	0	0	1	0	0	0	1
ARID1B	ENSG00000049618	ENST00000637904	protein_coding	3	0	13	5	0	0	1	0	0	0	0	2	4	13	0	0	0	1	0	0	0	0
ARID1B	ENSG00000049618	ENST00000638000	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ARID1B	ENSG00000049618	ENST00000647938	protein_coding	3	2	12	8	0	0	0	0	0	0	0	2	7	12	0	0	0	1	0	0	2	1
ARID1B	ENSG00000049618	ENST00000674298	protein_coding	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1
ATM	ENSG00000149311	ENST00000452508	protein_coding	4	3	6	23	0	0	0	0	0	0	0	4	25	6	0	0	5	0	0	0	1	0
ATM	ENSG00000149311	ENST00000526567	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0
ATM	ENSG00000149311	ENST00000530958	protein_coding	0	1	1	1	0	0	1	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0
ATM	ENSG00000149311	ENST00000531525	protein_coding	0	0	0	5	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1
ATM	ENSG00000149311	ENST00000532931	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0
ATM	ENSG00000149311	ENST00000601453	protein_coding	0	2	1	0	0	0	0	0	0	0	0	0	2	1	0	0	3	0	0	0	0	0
ATM	ENSG00000149311	ENST00000639240	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0
ATM	ENSG00000149311	ENST00000639953	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0
ATM	ENSG00000149311	ENST00000640388	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0
ATM	ENSG00000149311	ENST00000675843	protein_coding	4	3	6	23	0	0	0	0	0	0	0	4	25	6	0	0	5	0	0	0	1	0
ATM	ENSG00000149311	ENST00000682465	protein_coding	0	2	0	1	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0
ATM	ENSG00000149311	ENST00000683150	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0
ATM	ENSG00000149311	ENST00000683468	protein_coding	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
ATM	ENSG00000149311	ENST00000683914	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0
ATM	ENSG00000149311	ENST00000684029	protein_coding	0	2	1	0	0	0	0	0	0	0	0	0	2	1	0	0	3	0	0	0	0	0
ATR	ENSG00000175054	ENST00000350721	protein_coding	4	3	5	23	0	0	0	0	0	0	0	3	24	5	0	1	2	0	0	0	1	2
ATR	ENSG00000175054	ENST00000661310	protein_coding	4	3	5	23	0	0	0	0	0	0	0	3	24	5	0	1	2	0	0	0	1	2
ATRX	ENSG00000085224	ENST00000373344	protein_coding	3	1	6	14	0	0	1	0	0	0	0	2	14	6	0	0	1	1	0	0	0	0
ATRX	ENSG00000085224	ENST00000395603	protein_coding	3	1	6	14	0	0	1	0	0	0	0	2	14	6	0	0	1	1	0	0	0	0
ATRX	ENSG00000085224	ENST00000400866	protein_coding	1	0	1	4	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	2
ATRX	ENSG00000085224	ENST00000493470	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
ATRX	ENSG00000085224	ENST00000622960	protein_coding	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ATRX	ENSG00000085224	ENST00000623321	protein_coding	1	0	0	6	0	0	1	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0
ATRX	ENSG00000085224	ENST00000624032	protein_coding	1	0	0	6	0	0	1	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0
ATRX	ENSG00000085224	ENST00000624166	protein_coding	2	0	4	5	0	0	1	0	0	0	0	1	4	4	0	0	0	1	0	0	0	0
ATRX	ENSG00000085224	ENST00000624668	protein_coding	0	0	0	7	0	0	1	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0
ATRX	ENSG00000085224	ENST00000625063	protein_coding	0	0	0	6	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0
ATRX	ENSG00000085224	ENST00000675732	protein_coding	1	1	2	9	0	0	0	0	0	0	0	1	8	2	0	0	1	0	0	0	0	2
AURKA	ENSG00000087586	ENST00000312783	protein_coding	0	1	1	3	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0
AURKA	ENSG00000087586	ENST00000347343	protein_coding	0	1	1	3	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0
AURKA	ENSG00000087586	ENST00000371356	protein_coding	0	1	1	3	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0
AURKA	ENSG00000087586	ENST00000395907	protein_coding	0	1	1	3	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0
AURKA	ENSG00000087586	ENST00000395911	protein_coding	0	1	1	3	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0
AURKA	ENSG00000087586	ENST00000395913	protein_coding	0	1	1	3	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0
AURKA	ENSG00000087586	ENST00000395914	protein_coding	0	1	1	3	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0
AURKA	ENSG00000087586	ENST00000395915	protein_coding	0	1	1	3	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0
AURKA	ENSG00000087586	ENST00000420474	protein_coding	0	1	1	2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0
AURKA	ENSG00000087586	ENST00000422322	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
AURKA	ENSG00000087586	ENST00000441357	protein_coding	0	1	1	3	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	1	0
AURKA	ENSG00000087586	ENST00000451915	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
AURKA	ENSG00000087586	ENST00000456249	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
AXIN2	ENSG00000168646	ENST00000307078	protein_coding	0	2	4	10	0	0	1	0	0	0	0	0	10	4	0	0	2	0	0	0	1	0
AXIN2	ENSG00000168646	ENST00000375702	protein_coding	0	2	4	10	0	0	1	0	0	0	0	0	10	4	0	0	2	0	0	0	1	0
AXIN2	ENSG00000168646	ENST00000544103	protein_coding	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AXIN2	ENSG00000168646	ENST00000577278	protein_coding	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AXIN2	ENSG00000168646	ENST00000580513	protein_coding	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AXIN2	ENSG00000168646	ENST00000585045	protein_coding	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AXIN2	ENSG00000168646	ENST00000618960	protein_coding	0	2	4	10	0	0	1	0	0	0	0	0	10	4	0	0	2	0	0	0	1	0
B2M	ENSG00000166710	ENST00000559916	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B2M	ENSG00000166710	ENST00000648006	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
BAP1	ENSG00000163930	ENST00000296288	protein_coding	1	2	6	7	0	0	0	0	0	0	0	0	7	6	0	0	0	1	0	0	2	0
BAP1	ENSG00000163930	ENST00000460680	protein_coding	1	2	6	7	0	0	0	0	0	0	0	0	7	6	0	0	0	1	0	0	2	0
BAP1	ENSG00000163930	ENST00000469613	protein_coding	0	0	0	16	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	9
BAP1	ENSG00000163930	ENST00000470173	protein_coding	0	2	3	11	0	0	0	0	0	0	11	0	0	3	0	0	0	0	0	0	2	0
BAP1	ENSG00000163930	ENST00000478368	protein_coding	0	1	2	13	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	1	12
BAP1	ENSG00000163930	ENST00000615113	protein_coding	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
BARD1	ENSG00000138376	ENST00000260947	protein_coding	3	0	1	8	0	0	0	0	0	0	0	3	8	1	0	0	0	0	0	0	0	0
BARD1	ENSG00000138376	ENST00000421162	protein_coding	2	0	1	9	0	0	0	0	0	0	0	2	9	1	0	0	0	0	0	0	0	0
BARD1	ENSG00000138376	ENST00000432456	protein_coding	0	0	0	5	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2
BARD1	ENSG00000138376	ENST00000613374	protein_coding	2	0	1	9	0	0	0	0	0	0	0	2	9	1	0	0	0	0	0	0	0	0
BARD1	ENSG00000138376	ENST00000613706	protein_coding	3	0	1	8	0	0	0	0	0	0	0	3	8	1	0	0	0	0	0	0	0	0
BARD1	ENSG00000138376	ENST00000617164	protein_coding	3	0	1	8	0	0	0	0	0	0	0	3	8	1	0	0	0	0	0	0	0	0
BARD1	ENSG00000138376	ENST00000619009	protein_coding	2	0	1	9	0	0	0	0	0	0	0	2	9	1	0	0	0	0	0	0	0	0
BARD1	ENSG00000138376	ENST00000620057	protein_coding	1	0	1	10	1	0	0	0	0	0	0	1	9	1	0	0	0	0	0	0	0	0
BIVM	ENSG00000134897	ENST00000257336	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
BIVM-ERCC5	ENSG00000270181	ENST00000639132	protein_coding	1	0	6	4	0	0	0	0	0	0	0	0	4	6	0	0	1	1	0	0	0	0
BIVM-ERCC5	ENSG00000270181	ENST00000639435	protein_coding	1	0	6	4	0	0	0	0	0	0	0	0	4	6	0	0	1	1	0	0	0	0
BLM	ENSG00000197299	ENST00000355112	protein_coding	1	5	5	6	0	0	0	0	0	0	0	0	9	5	0	1	2	0	0	0	3	0
BLM	ENSG00000197299	ENST00000560509	protein_coding	1	4	4	8	0	0	0	0	0	0	0	0	10	4	0	1	1	0	0	0	3	0
BLM	ENSG00000197299	ENST00000648453	protein_coding	1	5	5	6	0	0	0	0	0	0	0	0	9	5	0	1	2	0	0	0	3	0
BLM	ENSG00000197299	ENST00000680772	protein_coding	1	5	5	6	0	0	0	0	0	0	0	0	9	5	0	1	2	0	0	0	3	0
BLM	ENSG00000197299	ENST00000681142	protein_coding	1	5	5	6	0	0	0	0	0	0	0	0	9	5	0	1	2	0	0	0	3	0
BMPR1A	ENSG00000107779	ENST00000372037	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
BMPR1A	ENSG00000107779	ENST00000480152	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000288602	protein_coding	2	1	3	22	0	0	0	0	0	0	0	2	23	3	0	0	2	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000469930	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000496384	protein_coding	2	1	3	22	0	0	0	0	0	0	0	2	23	3	0	0	2	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000644969	protein_coding	2	1	3	22	0	0	0	0	0	0	0	2	23	3	0	0	2	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000646891	protein_coding	2	1	3	22	0	0	0	0	0	0	0	2	23	3	0	0	2	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000352993	protein_coding	3	1	1	46	1	0	0	0	0	0	0	2	45	1	0	0	1	1	0	0	1	0
BRCA1	ENSG00000012048	ENST00000354071	protein_coding	0	0	5	14	0	0	0	0	0	0	0	0	14	5	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000357654	protein_coding	3	1	5	42	1	0	0	0	0	0	0	2	41	5	0	0	1	1	0	0	1	0
BRCA1	ENSG00000012048	ENST00000461574	protein_coding	2	0	0	12	0	0	0	0	0	0	0	1	7	0	0	0	1	1	0	0	0	5
BRCA1	ENSG00000012048	ENST00000468300	protein_coding	3	1	2	45	1	0	0	0	0	0	0	2	44	2	0	0	1	1	0	0	1	0
BRCA1	ENSG00000012048	ENST00000470026	protein_coding	0	0	4	15	0	0	0	0	0	0	1	0	14	4	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000471181	protein_coding	3	1	5	42	1	0	0	0	0	0	0	2	41	5	0	0	1	1	0	0	1	0
BRCA1	ENSG00000012048	ENST00000473961	protein_coding	0	0	3	8	0	0	0	0	0	0	1	0	5	3	0	0	0	0	0	0	0	2
BRCA1	ENSG00000012048	ENST00000476777	protein_coding	0	0	1	18	0	0	0	0	0	0	4	0	14	1	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000477152	protein_coding	0	0	3	16	0	0	0	0	0	0	1	0	15	3	0	0	0	0	0	0	0	0
