# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CARD11	ENSG00000198286	ENST00000396946	protein_coding	1	2	1	1	1	0	0	0	0	0	1	2	1	0	0	2	0	0	0	0
CCND3	ENSG00000112576	ENST00000372987	protein_coding	0	2	1	1	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0
CCND3	ENSG00000112576	ENST00000372988	protein_coding	0	1	1	1	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0
CCND3	ENSG00000112576	ENST00000372991	protein_coding	0	2	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0
CCND3	ENSG00000112576	ENST00000414200	protein_coding	0	2	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0
CCND3	ENSG00000112576	ENST00000415497	protein_coding	0	1	1	1	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0
CCND3	ENSG00000112576	ENST00000502771	protein_coding	0	0	0	3	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0
CCND3	ENSG00000112576	ENST00000505064	protein_coding	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
CCND3	ENSG00000112576	ENST00000508143	protein_coding	0	0	0	3	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0
CCND3	ENSG00000112576	ENST00000510503	protein_coding	0	0	1	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
CCND3	ENSG00000112576	ENST00000511642	protein_coding	0	1	1	1	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0
CCND3	ENSG00000112576	ENST00000512426	protein_coding	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1
CCND3	ENSG00000112576	ENST00000514588	protein_coding	0	0	0	3	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0
CCND3	ENSG00000112576	ENST00000616010	protein_coding	0	1	1	1	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0
CD79A	ENSG00000105369	ENST00000221972	protein_coding	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
CD79A	ENSG00000105369	ENST00000444740	protein_coding	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
CD79A	ENSG00000105369	ENST00000597454	protein_coding	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
CD79B	ENSG00000007312	ENST00000006750	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
CD79B	ENSG00000007312	ENST00000349817	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
CD79B	ENSG00000007312	ENST00000392795	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
CDKN1A	ENSG00000124762	ENST00000244741	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CDKN1A	ENSG00000124762	ENST00000373711	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CDKN1A	ENSG00000124762	ENST00000405375	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CDKN1A	ENSG00000124762	ENST00000448526	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CDKN1A	ENSG00000124762	ENST00000615513	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CREBBP	ENSG00000005339	ENST00000262367	protein_coding	3	2	5	1	0	0	0	0	0	0	2	2	5	0	0	1	1	0	1	0
CREBBP	ENSG00000005339	ENST00000382070	protein_coding	3	2	5	1	0	0	0	0	0	0	2	2	5	0	0	1	1	0	1	0
CREBBP	ENSG00000005339	ENST00000570939	protein_coding	2	1	2	1	0	0	0	0	0	0	2	1	2	0	0	1	0	0	0	1
CREBBP	ENSG00000005339	ENST00000571826	protein_coding	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1
CREBBP	ENSG00000005339	ENST00000572134	protein_coding	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1
CREBBP	ENSG00000005339	ENST00000573517	protein_coding	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CREBBP	ENSG00000005339	ENST00000637492	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
DNMT3A	ENSG00000119772	ENST00000264709	protein_coding	0	1	3	2	0	0	0	0	0	0	0	2	3	0	0	0	0	0	1	0
DNMT3A	ENSG00000119772	ENST00000321117	protein_coding	0	1	3	2	0	0	0	0	0	0	0	2	3	0	0	0	0	0	1	0
DNMT3A	ENSG00000119772	ENST00000380746	protein_coding	0	1	2	2	0	0	1	0	0	0	0	1	2	0	0	0	0	0	1	0
DNMT3A	ENSG00000119772	ENST00000402667	protein_coding	0	1	2	2	0	0	1	0	0	0	0	1	2	0	0	0	0	0	1	0
DNMT3A	ENSG00000119772	ENST00000406659	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DNMT3A	ENSG00000119772	ENST00000470983	protein_coding	0	1	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2
DNMT3A	ENSG00000119772	ENST00000683760	protein_coding	0	2	2	1	0	0	0	0	0	0	0	1	2	0	0	1	0	0	1	1
ENSG00000285938	ENSG00000285938	ENST00000648485	protein_coding	0	1	0	13	1	0	1	0	0	4	0	1	0	0	0	0	0	0	1	6
ENSG00000285947	ENSG00000285947	ENST00000647774	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EP300	ENSG00000100393	ENST00000263253	protein_coding	1	3	2	1	0	0	0	0	0	0	1	1	2	0	0	0	0	0	3	0
EP300	ENSG00000100393	ENST00000634690	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
EP300	ENSG00000100393	ENST00000674155	protein_coding	1	3	2	1	0	0	0	0	0	0	1	1	2	0	0	0	0	0	3	0
EZH2	ENSG00000106462	ENST00000320356	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
EZH2	ENSG00000106462	ENST00000350995	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
EZH2	ENSG00000106462	ENST00000460911	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
EZH2	ENSG00000106462	ENST00000476773	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
EZH2	ENSG00000106462	ENST00000478654	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
EZH2	ENSG00000106462	ENST00000483967	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
GNA13	ENSG00000120063	ENST00000439174	protein_coding	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0
GNA13	ENSG00000120063	ENST00000541118	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
GPX1	ENSG00000233276	ENST00000419349	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GPX1	ENSG00000233276	ENST00000419783	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GPX1	ENSG00000233276	ENST00000496791	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GPX1	ENSG00000233276	ENST00000643797	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GPX1	ENSG00000233276	ENST00000646881	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HRAS	ENSG00000174775	ENST00000311189	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
HRAS	ENSG00000174775	ENST00000397594	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HRAS	ENSG00000174775	ENST00000397596	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
HRAS	ENSG00000174775	ENST00000417302	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
HRAS	ENSG00000174775	ENST00000451590	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
HRAS	ENSG00000174775	ENST00000468682	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
IDH2	ENSG00000182054	ENST00000330062	protein_coding	0	1	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0
IDH2	ENSG00000182054	ENST00000540499	protein_coding	0	1	3	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1
IDH2	ENSG00000182054	ENST00000559482	protein_coding	0	1	2	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0
IGHA1	ENSG00000211895	ENST00000390547	IG_C_gene	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
IGHA1	ENSG00000211895	ENST00000641837	IG_C_gene	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
IGHA2	ENSG00000211890	ENST00000390539	IG_C_gene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IGHA2	ENSG00000211890	ENST00000497872	IG_C_gene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IGHD1-1	ENSG00000236170	ENST00000454908	IG_D_gene	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IGHD1-14	ENSG00000227108	ENST00000451044	IG_D_gene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IGHD1-20	ENSG00000237020	ENST00000450276	IG_D_gene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IGHD1-26	ENSG00000211907	ENST00000390567	IG_D_gene	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
IGHD1-7	ENSG00000237197	ENST00000430425	IG_D_gene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IGHD2-2	ENSG00000211931	ENST00000390591	IG_D_gene	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IGHD2-21	ENSG00000211912	ENST00000390572	IG_D_gene	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
IGHD2-8	ENSG00000211925	ENST00000390585	IG_D_gene	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
IGHD3-10	ENSG00000211923	ENST00000390583	IG_D_gene	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IGHD3-16	ENSG00000211917	ENST00000390577	IG_D_gene	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IGHD3-22	ENSG00000211911	ENST00000390571	IG_D_gene	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0
IGHD3-3	ENSG00000211930	ENST00000390590	IG_D_gene	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
IGHD3-9	ENSG00000211924	ENST00000390584	IG_D_gene	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IGHD4-11	ENSG00000232543	ENST00000431440	IG_D_gene	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IGHD4-17	ENSG00000227800	ENST00000431870	IG_D_gene	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IGHD4-23	ENSG00000227196	ENST00000437320	IG_D_gene	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
IGHD4-4	ENSG00000233655	ENST00000414852	IG_D_gene	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
IGHD5-12	ENSG00000211921	ENST00000390581	IG_D_gene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IGHD5-18	ENSG00000211915	ENST00000390575	IG_D_gene	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IGHD5-24	ENSG00000211909	ENST00000390569	IG_D_gene	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
IGHD5-5	ENSG00000211928	ENST00000390588	IG_D_gene	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
IGHD6-13	ENSG00000211920	ENST00000390580	IG_D_gene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IGHD6-19	ENSG00000211914	ENST00000390574	IG_D_gene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IGHD6-25	ENSG00000225825	ENST00000452198	IG_D_gene	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
IGHD6-6	ENSG00000228131	ENST00000454691	IG_D_gene	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IGHD7-27	ENSG00000236597	ENST00000439842	IG_D_gene	0	0	0	6	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1
IGHE	ENSG00000211891	ENST00000390541	IG_C_gene	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
IGHE	ENSG00000211891	ENST00000641420	IG_C_gene	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
IGHG1	ENSG00000211896	ENST00000390542	IG_C_gene	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
IGHG1	ENSG00000211896	ENST00000390548	IG_C_gene	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
IGHG1	ENSG00000211896	ENST00000390549	IG_C_gene	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
IGHG2	ENSG00000211893	ENST00000390545	IG_C_gene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IGHG2	ENSG00000211893	ENST00000641095	IG_C_gene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IGHG3	ENSG00000211897	ENST00000390551	IG_C_gene	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
IGHG3	ENSG00000211897	ENST00000641136	IG_C_gene	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
IGHG4	ENSG00000211892	ENST00000390543	IG_C_gene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IGHG4	ENSG00000211892	ENST00000641978	IG_C_gene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IGHJ1	ENSG00000211905	ENST00000390565	IG_J_gene	0	0	0	8	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1
IGHJ2	ENSG00000211904	ENST00000390564	IG_J_gene	0	0	0	8	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1
IGHJ3	ENSG00000242887	ENST00000463911	IG_J_gene	0	0	0	8	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1
IGHJ4	ENSG00000240041	ENST00000461719	IG_J_gene	0	0	0	8	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1
IGHJ5	ENSG00000242472	ENST00000488476	IG_J_gene	0	0	0	9	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1
IGHJ6	ENSG00000211900	ENST00000390560	IG_J_gene	0	0	0	11	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1
IGHM	ENSG00000211899	ENST00000390559	IG_C_gene	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
IGHM	ENSG00000211899	ENST00000637539	IG_C_gene	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
IKBKB	ENSG00000104365	ENST00000520810	protein_coding	1	2	1	2	1	0	0	0	0	0	1	2	1	0	0	1	0	0	1	0
IKBKB	ENSG00000104365	ENST00000520835	protein_coding	1	2	1	2	0	0	0	0	0	1	1	2	1	0	0	1	0	0	1	0
IKBKB	ENSG00000104365	ENST00000522147	protein_coding	1	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0
JAK2	ENSG00000096968	ENST00000381652	protein_coding	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0
JAK2	ENSG00000096968	ENST00000636127	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
JAK3	ENSG00000105639	ENST00000458235	protein_coding	1	2	2	0	0	0	0	0	0	0	1	1	2	0	0	1	0	0	1	0
JAK3	ENSG00000105639	ENST00000527670	protein_coding	1	2	2	0	0	0	0	0	0	0	1	1	2	0	0	1	0	0	1	0
JAK3	ENSG00000105639	ENST00000534444	protein_coding	1	2	2	0	0	0	0	0	0	0	1	1	2	0	0	1	0	0	1	0
KMT2D	ENSG00000167548	ENST00000301067	protein_coding	3	2	7	0	0	0	0	0	2	0	3	0	5	0	0	0	0	0	2	0
KMT2D	ENSG00000167548	ENST00000650290	protein_coding	0	0	0	7	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1
KMT2D	ENSG00000167548	ENST00000683543	protein_coding	3	2	7	0	0	0	0	0	2	0	3	0	5	0	0	0	0	0	2	0
KMT2D	ENSG00000167548	ENST00000684428	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
KMT2D	ENSG00000167548	ENST00000685166	protein_coding	3	2	7	0	0	0	0	0	2	0	3	0	5	0	0	0	0	0	2	0
KMT2D	ENSG00000167548	ENST00000685554	protein_coding	1	0	1	6	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	4
KMT2D	ENSG00000167548	ENST00000685979	protein_coding	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
KMT2D	ENSG00000167548	ENST00000685982	protein_coding	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
KMT2D	ENSG00000167548	ENST00000686564	protein_coding	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
KMT2D	ENSG00000167548	ENST00000687201	protein_coding	1	1	4	4	0	0	0	0	1	2	1	0	3	0	0	0	0	0	1	2
KMT2D	ENSG00000167548	ENST00000689060	protein_coding	1	0	1	4	0	0	0	0	0	4	1	0	1	0	0	0	0	0	0	0
