# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
HAO2	ENSG00000116882	ENST00000457318	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
HECW2	ENSG00000138411	ENST00000260983	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0
HECW2	ENSG00000138411	ENST00000427457	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0
HECW2	ENSG00000138411	ENST00000452031	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0
HRAS	ENSG00000174775	ENST00000311189	protein_coding	1	0	1	0	0	0	0	1	0	1	0	0	0
HRAS	ENSG00000174775	ENST00000397594	protein_coding	1	0	1	0	0	0	0	1	0	1	0	0	0
HRAS	ENSG00000174775	ENST00000397596	protein_coding	1	0	1	0	0	0	0	1	0	1	0	0	0
HRAS	ENSG00000174775	ENST00000417302	protein_coding	1	0	1	0	0	0	0	1	0	1	0	0	0
HRAS	ENSG00000174775	ENST00000451590	protein_coding	1	0	1	0	0	0	0	1	0	1	0	0	0
HSD3B2	ENSG00000203859	ENST00000369416	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
HSD3B2	ENSG00000203859	ENST00000433745	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
HSD3B2	ENSG00000203859	ENST00000543831	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
IRF4	ENSG00000137265	ENST00000380956	protein_coding	0	2	0	0	0	0	0	0	1	0	1	1	0
JAG2	ENSG00000184916	ENST00000331782	protein_coding	0	0	0	2	0	0	1	0	1	0	0	0	0
JAG2	ENSG00000184916	ENST00000347004	protein_coding	0	0	0	2	0	0	1	0	1	0	0	0	0
JAK2	ENSG00000096968	ENST00000381652	protein_coding	1	1	0	0	0	0	0	1	0	0	0	1	0
JAK2	ENSG00000096968	ENST00000539801	protein_coding	1	1	0	0	0	0	0	1	0	0	0	1	0
JAK2	ENSG00000096968	ENST00000544510	protein_coding	1	1	0	0	0	0	0	1	0	0	0	1	0
KANSL2	ENSG00000139620	ENST00000357861	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
KANSL2	ENSG00000139620	ENST00000420613	protein_coding	0	0	0	8	0	0	3	0	5	0	0	0	0
KANSL2	ENSG00000139620	ENST00000547087	protein_coding	0	0	0	8	0	0	3	0	5	0	0	0	0
KANSL2	ENSG00000139620	ENST00000550347	protein_coding	0	0	0	8	0	0	3	0	5	0	0	0	0
KANSL2	ENSG00000139620	ENST00000553086	protein_coding	0	0	0	8	0	0	3	0	5	0	0	0	0
LIN28A	ENSG00000131914	ENST00000254231	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
LIN28A	ENSG00000131914	ENST00000326279	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
LPP	ENSG00000145012	ENST00000312675	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0
LPP	ENSG00000145012	ENST00000414139	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0
LPP	ENSG00000145012	ENST00000416784	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0
LPP	ENSG00000145012	ENST00000420410	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0
LPP	ENSG00000145012	ENST00000426274	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0
LPP	ENSG00000145012	ENST00000430340	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0
LPP	ENSG00000145012	ENST00000443217	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0
LPP	ENSG00000145012	ENST00000448637	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0
LPP	ENSG00000145012	ENST00000454789	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0
LPP	ENSG00000145012	ENST00000457242	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0
LPP	ENSG00000145012	ENST00000543006	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0
LRRC56	ENSG00000161328	ENST00000270115	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2
MAP1S	ENSG00000130479	ENST00000324096	protein_coding	0	1	0	12	0	0	0	0	12	0	0	1	0
MAP1S	ENSG00000130479	ENST00000544059	protein_coding	0	1	0	12	0	0	0	0	12	0	0	1	0
MAP1S	ENSG00000130479	ENST00000594625	protein_coding	0	0	0	6	0	0	3	0	3	0	0	0	0
MAP1S	ENSG00000130479	ENST00000597000	protein_coding	0	0	0	11	0	0	0	0	9	0	0	0	2
MAP1S	ENSG00000130479	ENST00000597735	protein_coding	0	0	0	13	0	0	1	0	12	0	0	0	0
MAP1S	ENSG00000130479	ENST00000600186	protein_coding	0	0	0	6	0	0	3	0	3	0	0	0	0
MMEL1	ENSG00000142606	ENST00000288709	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0
MMEL1	ENSG00000142606	ENST00000378412	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0
MMEL1	ENSG00000142606	ENST00000502556	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0
MTA1	ENSG00000182979	ENST00000331320	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0
MTA1	ENSG00000182979	ENST00000405646	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0
MTA1	ENSG00000182979	ENST00000406191	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0
MTA1	ENSG00000182979	ENST00000498644	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	1
MYL4	ENSG00000198336	ENST00000354968	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
MYL4	ENSG00000198336	ENST00000393450	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
MYL4	ENSG00000198336	ENST00000536623	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
MYL4	ENSG00000198336	ENST00000572303	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
MYL4	ENSG00000198336	ENST00000572316	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
MYL4	ENSG00000198336	ENST00000576874	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
NLRC4	ENSG00000091106	ENST00000342905	protein_coding	0	0	0	4	0	0	1	0	3	0	0	0	0
NLRC4	ENSG00000091106	ENST00000360906	protein_coding	0	0	0	4	0	0	1	0	3	0	0	0	0
NLRC4	ENSG00000091106	ENST00000402280	protein_coding	0	0	0	4	0	0	1	0	3	0	0	0	0
NLRC4	ENSG00000091106	ENST00000404025	protein_coding	0	0	0	4	0	0	1	0	3	0	0	0	0
PACS2	ENSG00000179364	ENST00000325438	protein_coding	1	0	0	12	3	0	4	1	4	0	0	0	1
PACS2	ENSG00000179364	ENST00000430725	protein_coding	1	0	0	15	0	0	7	1	8	0	0	0	0
PACS2	ENSG00000179364	ENST00000447393	protein_coding	1	0	0	12	6	0	1	1	4	0	0	0	1
PACS2	ENSG00000179364	ENST00000458164	protein_coding	1	0	0	12	3	0	4	1	4	0	0	0	1
PACS2	ENSG00000179364	ENST00000547217	protein_coding	1	0	0	12	0	0	7	1	4	0	0	0	1
PACS2	ENSG00000179364	ENST00000551743	protein_coding	1	0	0	11	3	0	4	1	4	0	0	0	0
PACS2	ENSG00000179364	ENST00000551801	protein_coding	0	0	0	12	0	1	7	0	3	0	0	0	1
PLCG2	ENSG00000197943	ENST00000359376	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0
PLCG2	ENSG00000197943	ENST00000563193	protein_coding	0	0	0	2	0	0	1	0	1	0	0	0	0
RAB44	ENSG00000255587	ENST00000229824	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
RNF213	ENSG00000173821	ENST00000336301	protein_coding	0	1	0	3	0	0	0	0	3	0	0	1	0
RNF213	ENSG00000173821	ENST00000508628	protein_coding	0	1	0	3	0	0	0	0	3	0	0	1	0
RNF213	ENSG00000173821	ENST00000582970	protein_coding	0	1	0	3	0	0	0	0	3	0	0	1	0
RP11-315O6.2	ENSG00000255482	ENST00000529278	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	4
SETD2	ENSG00000181555	ENST00000409792	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0
SLC20A2	ENSG00000168575	ENST00000342228	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
SLC20A2	ENSG00000168575	ENST00000520179	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
SLC20A2	ENSG00000168575	ENST00000520262	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
SLC25A17	ENSG00000100372	ENST00000402844	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2
SLC25A17	ENSG00000100372	ENST00000435456	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0
SLC25A17	ENSG00000100372	ENST00000542412	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0
SLC25A17	ENSG00000100372	ENST00000544408	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0
SLC30A6	ENSG00000152683	ENST00000282587	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
SLC30A6	ENSG00000152683	ENST00000357055	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
SLC30A6	ENSG00000152683	ENST00000379343	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
SLC30A6	ENSG00000152683	ENST00000406369	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
SLC30A6	ENSG00000152683	ENST00000435660	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
SLC30A6	ENSG00000152683	ENST00000538303	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
SLC4A1	ENSG00000004939	ENST00000262418	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0
SPAST	ENSG00000021574	ENST00000315285	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0
SPAST	ENSG00000021574	ENST00000345662	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0
TEX22	ENSG00000226174	ENST00000451127	protein_coding	0	0	0	8	0	0	0	0	1	0	0	0	7
TMEM178B	ENSG00000261115	ENST00000565468	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0
TMEM91	ENSG00000142046	ENST00000342187	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
TMEM91	ENSG00000142046	ENST00000356385	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
TMEM91	ENSG00000142046	ENST00000392002	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
TMEM91	ENSG00000142046	ENST00000413014	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
TMEM91	ENSG00000142046	ENST00000436170	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
TMEM91	ENSG00000142046	ENST00000447302	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
TMEM91	ENSG00000142046	ENST00000537354	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
TMEM91	ENSG00000142046	ENST00000539627	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
TMEM91	ENSG00000142046	ENST00000542945	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
TMEM91	ENSG00000142046	ENST00000544232	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
TMEM91	ENSG00000142046	ENST00000546050	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
TMEM91	ENSG00000142046	ENST00000604123	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
TRAP1	ENSG00000126602	ENST00000246957	protein_coding	0	0	1	6	0	0	0	0	5	1	0	0	1
TRAP1	ENSG00000126602	ENST00000538171	protein_coding	0	0	1	6	0	0	0	0	5	1	0	0	1
TRAP1	ENSG00000126602	ENST00000571538	protein_coding	0	0	0	5	0	1	1	0	3	0	0	0	0
TRAP1	ENSG00000126602	ENST00000575671	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
TRAP1	ENSG00000126602	ENST00000576335	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	2
UBTF	ENSG00000108312	ENST00000302904	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
UBTF	ENSG00000108312	ENST00000343638	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
UBTF	ENSG00000108312	ENST00000393606	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
UBTF	ENSG00000108312	ENST00000436088	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
UBTF	ENSG00000108312	ENST00000526094	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0
UBTF	ENSG00000108312	ENST00000527034	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
UBTF	ENSG00000108312	ENST00000529383	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0
UBTF	ENSG00000108312	ENST00000530828	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0
UBTF	ENSG00000108312	ENST00000533177	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
USP4	ENSG00000114316	ENST00000265560	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0
USP4	ENSG00000114316	ENST00000351842	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0
USP4	ENSG00000114316	ENST00000415188	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0
USP4	ENSG00000114316	ENST00000416417	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0
WHSC1	ENSG00000109685	ENST00000382888	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	1
WHSC1	ENSG00000109685	ENST00000382891	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0
WHSC1	ENSG00000109685	ENST00000382892	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0
WHSC1	ENSG00000109685	ENST00000382895	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0
WHSC1	ENSG00000109685	ENST00000398261	protein_coding	0	0	0	4	0	0	1	0	1	0	0	0	2
WHSC1	ENSG00000109685	ENST00000420906	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0
WHSC1	ENSG00000109685	ENST00000436793	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0
WHSC1	ENSG00000109685	ENST00000503128	protein_coding	0	0	0	4	0	0	1	0	1	0	0	0	2
WHSC1	ENSG00000109685	ENST00000507820	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0
WHSC1	ENSG00000109685	ENST00000508803	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0
WHSC1	ENSG00000109685	ENST00000509115	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2
WHSC1	ENSG00000109685	ENST00000514045	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0
WHSC1	ENSG00000109685	ENST00000514329	protein_coding	0	0	0	4	0	0	1	0	2	0	0	0	1
WHSC1	ENSG00000109685	ENST00000515806	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0
YIPF2	ENSG00000130733	ENST00000253031	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
YIPF2	ENSG00000130733	ENST00000585858	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
YIPF2	ENSG00000130733	ENST00000586575	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
YIPF2	ENSG00000130733	ENST00000586748	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
YIPF2	ENSG00000130733	ENST00000587943	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
YIPF2	ENSG00000130733	ENST00000588347	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
YIPF2	ENSG00000130733	ENST00000590329	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
YIPF4	ENSG00000119820	ENST00000238831	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0
YIPF4	ENSG00000119820	ENST00000441084	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
ZNF398	ENSG00000197024	ENST00000426851	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
ZNF425	ENSG00000204947	ENST00000378061	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0
ZNF425	ENSG00000204947	ENST00000483014	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0
ZNF683	ENSG00000176083	ENST00000349618	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0
ZNF683	ENSG00000176083	ENST00000374204	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0
ZNF683	ENSG00000176083	ENST00000403843	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0
ZNF683	ENSG00000176083	ENST00000416125	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0
ZNF683	ENSG00000176083	ENST00000423508	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0
ZNF683	ENSG00000176083	ENST00000436292	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0
ZNF683	ENSG00000176083	ENST00000451801	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0
ZNF683	ENSG00000176083	ENST00000453132	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0
