# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ARCN1	ENSG00000095139	ENST00000264028	protein_coding	0	0	0	21	8	0	0	0	8	0	5	0	0	0	0	0	0
ARCN1	ENSG00000095139	ENST00000359415	protein_coding	0	0	0	21	8	0	0	0	8	0	5	0	0	0	0	0	0
ARCN1	ENSG00000095139	ENST00000392859	protein_coding	0	0	0	19	0	0	0	0	13	0	5	0	0	0	0	0	1
ARCN1	ENSG00000095139	ENST00000534182	protein_coding	0	0	0	21	7	0	0	0	5	0	9	0	0	0	0	0	0
ARHGEF33	ENSG00000214694	ENST00000409978	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ARPC1A	ENSG00000241685	ENST00000262942	protein_coding	0	0	0	46	0	0	0	0	4	0	42	0	0	0	0	0	0
ARPC1A	ENSG00000241685	ENST00000432884	protein_coding	0	0	0	72	0	0	0	0	5	0	67	0	0	0	0	0	0
ARPC1B	ENSG00000130429	ENST00000252725	protein_coding	0	0	1	27	0	0	0	0	1	0	22	1	0	0	0	0	4
ARPC1B	ENSG00000130429	ENST00000414376	protein_coding	0	0	0	27	0	0	2	0	5	0	17	0	0	0	0	0	3
ARPC1B	ENSG00000130429	ENST00000417330	protein_coding	0	0	0	26	0	0	0	0	5	0	17	0	0	0	0	0	4
ARPC1B	ENSG00000130429	ENST00000418347	protein_coding	0	0	0	26	0	0	0	0	5	0	17	0	0	0	0	0	4
ARPC1B	ENSG00000130429	ENST00000427217	protein_coding	0	0	0	26	0	0	0	0	5	0	17	0	0	0	0	0	4
ARPC1B	ENSG00000130429	ENST00000429246	protein_coding	0	0	0	21	0	0	1	0	4	0	12	0	0	0	0	0	4
ARPC1B	ENSG00000130429	ENST00000431816	protein_coding	0	0	0	26	0	0	0	0	5	0	17	0	0	0	0	0	4
ARPC1B	ENSG00000130429	ENST00000443222	protein_coding	0	0	0	27	0	0	2	0	5	0	17	0	0	0	0	0	3
ARPC1B	ENSG00000130429	ENST00000451682	protein_coding	0	0	1	27	0	0	0	0	1	0	22	1	0	0	0	0	4
ARPC1B	ENSG00000130429	ENST00000455009	protein_coding	0	0	0	26	0	0	0	0	5	0	17	0	0	0	0	0	4
ARPC1B	ENSG00000130429	ENST00000458033	protein_coding	0	0	0	26	0	0	0	0	5	0	17	0	0	0	0	0	4
ASIC2	ENSG00000108684	ENST00000225823	protein_coding	0	0	0	16	1	0	0	0	6	0	9	0	0	0	0	0	0
ASIC2	ENSG00000108684	ENST00000359872	protein_coding	0	0	0	16	1	0	0	0	6	0	9	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000278616	protein_coding	0	1	3	5	0	0	0	0	1	0	4	3	0	0	0	1	0
ATM	ENSG00000149311	ENST00000452508	protein_coding	0	1	3	5	0	0	0	0	1	0	4	3	0	0	0	1	0
ATP5J2-PTCD1	ENSG00000248919	ENST00000413834	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
BICD2	ENSG00000185963	ENST00000356884	protein_coding	0	1	0	12	2	0	0	0	4	0	6	0	0	0	0	1	0
BICD2	ENSG00000185963	ENST00000375512	protein_coding	0	1	0	12	0	0	0	0	4	0	8	0	0	0	0	1	0
BRIP1	ENSG00000136492	ENST00000259008	protein_coding	1	1	1	4	0	0	0	0	0	1	4	1	0	0	0	1	0
BRIP1	ENSG00000136492	ENST00000577598	protein_coding	1	1	1	4	0	0	0	0	0	1	4	1	0	0	0	1	0
BRIP1	ENSG00000136492	ENST00000577913	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
BUD31	ENSG00000106245	ENST00000222969	protein_coding	0	0	0	13	0	0	0	0	0	0	11	0	0	0	0	0	2
BUD31	ENSG00000106245	ENST00000403633	protein_coding	0	0	0	13	0	0	0	0	0	0	11	0	0	0	0	0	2
BUD31	ENSG00000106245	ENST00000431419	protein_coding	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	11
BUD31	ENSG00000106245	ENST00000456893	protein_coding	0	0	0	13	0	0	0	0	0	0	8	0	0	0	0	0	5
C11orf65	ENSG00000166323	ENST00000393084	protein_coding	0	0	0	75	0	0	0	0	12	0	63	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000524755	protein_coding	0	0	0	41	0	0	0	0	0	0	38	0	0	0	0	0	3
C11orf65	ENSG00000166323	ENST00000525729	protein_coding	0	0	0	89	0	0	0	0	0	0	89	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000529391	protein_coding	0	0	0	75	0	0	0	0	12	0	52	0	0	0	0	0	11
C11orf65	ENSG00000166323	ENST00000533583	protein_coding	0	0	0	58	0	0	0	0	0	0	47	0	0	0	0	0	11
C19orf38	ENSG00000214212	ENST00000397820	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
C19orf38	ENSG00000214212	ENST00000592854	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
C19orf47	ENSG00000160392	ENST00000392035	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
C19orf47	ENSG00000160392	ENST00000580606	protein_coding	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	2
C19orf47	ENSG00000160392	ENST00000582006	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
C19orf47	ENSG00000160392	ENST00000582783	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
C19orf52	ENSG00000142444	ENST00000270502	protein_coding	0	1	1	3	0	0	0	0	2	0	0	1	0	0	0	1	1
C1QL1	ENSG00000131094	ENST00000253407	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
C2orf71	ENSG00000179270	ENST00000331664	protein_coding	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0
C3orf83	ENSG00000225526	ENST00000564146	protein_coding	0	0	0	10	0	0	0	0	0	0	5	0	0	0	0	0	5
C9orf53	ENSG00000224854	ENST00000441769	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
CAMKV	ENSG00000164076	ENST00000296471	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0
CAMKV	ENSG00000164076	ENST00000463537	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0
CAMKV	ENSG00000164076	ENST00000466940	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CAMKV	ENSG00000164076	ENST00000467248	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CAMKV	ENSG00000164076	ENST00000477224	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0
CAMKV	ENSG00000164076	ENST00000480398	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
CAMKV	ENSG00000164076	ENST00000488336	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0
CARM1	ENSG00000142453	ENST00000327064	protein_coding	0	0	0	37	1	0	0	0	4	0	32	0	0	0	0	0	0
CARM1	ENSG00000142453	ENST00000344150	protein_coding	0	0	0	37	1	0	0	0	4	0	32	0	0	0	0	0	0
CARM1	ENSG00000142453	ENST00000586298	protein_coding	0	0	0	8	0	0	0	0	5	0	2	0	0	0	0	0	1
CARM1	ENSG00000142453	ENST00000588947	protein_coding	0	0	0	29	0	0	0	0	4	0	25	0	0	0	0	0	0
CCDC170	ENSG00000120262	ENST00000239374	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
CCDC170	ENSG00000120262	ENST00000367290	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
CD79B	ENSG00000007312	ENST00000006750	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
CD79B	ENSG00000007312	ENST00000349817	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
CD79B	ENSG00000007312	ENST00000392795	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
CDH1	ENSG00000039068	ENST00000261769	protein_coding	0	0	0	7	0	0	0	0	0	0	7	0	0	0	0	0	0
CDH1	ENSG00000039068	ENST00000422392	protein_coding	0	0	0	7	0	0	0	0	0	0	7	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000304494	protein_coding	0	0	0	5	0	0	2	0	0	0	3	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000361570	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000446177	protein_coding	0	0	0	5	0	0	2	0	0	0	3	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000479692	protein_coding	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	4
CDKN2A	ENSG00000147889	ENST00000494262	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000497750	protein_coding	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	4
CDKN2A	ENSG00000147889	ENST00000498124	protein_coding	0	0	0	5	0	0	1	0	0	0	3	0	0	0	0	0	1
CDKN2A	ENSG00000147889	ENST00000498628	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000530628	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000578845	protein_coding	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	4
CDKN2A	ENSG00000147889	ENST00000579122	protein_coding	0	0	0	5	0	0	1	0	0	0	3	0	0	0	0	0	1
CDKN2A	ENSG00000147889	ENST00000579755	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0
CDKN2B	ENSG00000147883	ENST00000276925	protein_coding	2	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0
CDKN2B	ENSG00000147883	ENST00000380142	protein_coding	2	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0
CDKN2B	ENSG00000147883	ENST00000539462	protein_coding	2	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0
CHMP4B	ENSG00000101421	ENST00000217402	protein_coding	0	1	1	8	0	0	0	0	0	0	8	1	0	0	0	1	0
CLC	ENSG00000105205	ENST00000221804	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CLIP4	ENSG00000115295	ENST00000401605	protein_coding	0	0	0	4	0	0	1	0	0	0	1	0	0	0	0	0	2
CLIP4	ENSG00000115295	ENST00000401617	protein_coding	0	0	0	4	0	0	1	0	0	0	1	0	0	0	0	0	2
CPS1	ENSG00000021826	ENST00000233072	protein_coding	0	0	0	5	0	0	0	0	0	0	4	0	0	0	0	0	1
CPS1	ENSG00000021826	ENST00000417946	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0
CPS1	ENSG00000021826	ENST00000430249	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0
CPS1	ENSG00000021826	ENST00000518043	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0
CPS1	ENSG00000021826	ENST00000523702	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0
CREBBP	ENSG00000005339	ENST00000262367	protein_coding	0	4	2	28	2	0	0	0	5	0	21	2	0	0	0	4	0
CREBBP	ENSG00000005339	ENST00000382070	protein_coding	0	4	2	26	2	0	0	0	3	0	21	2	0	0	0	4	0
CREBBP	ENSG00000005339	ENST00000570939	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
CREBBP	ENSG00000005339	ENST00000573517	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
CRTAC1	ENSG00000095713	ENST00000298819	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
CRTAC1	ENSG00000095713	ENST00000370591	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
CRTAC1	ENSG00000095713	ENST00000370597	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
CSH1	ENSG00000136488	ENST00000316193	protein_coding	0	0	1	11	0	0	0	0	4	0	7	1	0	0	0	0	0
CSH1	ENSG00000136488	ENST00000329882	protein_coding	0	1	7	4	0	0	0	0	4	0	0	7	0	0	0	1	0
CSH1	ENSG00000136488	ENST00000453363	protein_coding	0	0	0	12	0	0	0	0	4	0	8	0	0	0	0	0	0
CSH2	ENSG00000213218	ENST00000336844	protein_coding	0	0	0	12	0	0	1	0	6	0	1	0	0	0	0	0	4
CSH2	ENSG00000213218	ENST00000345366	protein_coding	0	0	0	12	0	0	1	0	6	0	1	0	0	0	0	0	4
CSH2	ENSG00000213218	ENST00000392886	protein_coding	0	0	0	12	0	0	1	0	6	0	1	0	0	0	0	0	4
CSH2	ENSG00000213218	ENST00000560142	protein_coding	0	0	0	12	0	0	1	0	6	0	1	0	0	0	0	0	4
CSHL1	ENSG00000204414	ENST00000259003	protein_coding	0	1	0	19	0	0	0	0	17	0	0	0	0	0	0	1	2
CSHL1	ENSG00000204414	ENST00000309894	protein_coding	0	1	0	19	0	0	0	0	17	0	0	0	0	0	0	1	2
CSHL1	ENSG00000204414	ENST00000346606	protein_coding	0	1	0	19	0	0	0	0	17	0	0	0	0	0	0	1	2
CSHL1	ENSG00000204414	ENST00000392824	protein_coding	0	0	0	22	0	0	0	0	17	0	5	0	0	0	0	0	0
CSHL1	ENSG00000204414	ENST00000438387	protein_coding	0	1	0	19	0	0	0	0	17	0	0	0	0	0	0	1	2
CSHL1	ENSG00000204414	ENST00000450719	protein_coding	0	0	0	20	1	0	0	0	17	0	0	0	0	0	0	0	2
CSHL1	ENSG00000204414	ENST00000561003	protein_coding	0	0	0	20	1	0	0	0	17	0	0	0	0	0	0	0	2
CTNNB1	ENSG00000168036	ENST00000349496	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	7
CTNNB1	ENSG00000168036	ENST00000396183	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	7
CTNNB1	ENSG00000168036	ENST00000396185	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	7
CTNNB1	ENSG00000168036	ENST00000405570	protein_coding	0	0	0	10	0	0	0	0	0	0	6	0	0	0	0	0	4
CTNNB1	ENSG00000168036	ENST00000426215	protein_coding	0	0	0	10	0	0	1	0	0	0	6	0	0	0	0	0	3
CTNNB1	ENSG00000168036	ENST00000431914	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	8
CTNNB1	ENSG00000168036	ENST00000433400	protein_coding	0	0	0	10	0	0	0	0	0	0	6	0	0	0	0	0	4
CTNNB1	ENSG00000168036	ENST00000450969	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6
CTNNB1	ENSG00000168036	ENST00000453024	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	7
CXorf36	ENSG00000147113	ENST00000377934	protein_coding	0	0	1	15	0	0	0	0	2	0	6	1	0	0	0	0	7
CXorf36	ENSG00000147113	ENST00000398000	protein_coding	0	1	2	16	1	0	0	0	0	0	8	2	0	0	0	1	7
CYP26C1	ENSG00000187553	ENST00000285949	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
CYSLTR1	ENSG00000173198	ENST00000373304	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0
DAD1	ENSG00000129562	ENST00000250498	protein_coding	0	0	0	3	0	0	0	0	2	0	1	0	0	0	0	0	0
DAD1	ENSG00000129562	ENST00000538631	protein_coding	0	0	0	3	0	0	0	0	2	0	1	0	0	0	0	0	0
DAD1	ENSG00000129562	ENST00000543337	protein_coding	0	0	0	3	0	0	0	0	2	0	1	0	0	0	0	0	0
DBF4	ENSG00000006634	ENST00000265728	protein_coding	2	0	0	14	0	0	1	0	3	2	10	0	0	0	0	0	0
DBH	ENSG00000123454	ENST00000263611	protein_coding	1	0	0	10	0	0	0	0	1	1	7	0	0	0	0	0	2
DBH	ENSG00000123454	ENST00000393056	protein_coding	1	0	0	10	0	0	0	0	0	1	8	0	0	0	0	0	2
DCAKD	ENSG00000172992	ENST00000310604	protein_coding	0	0	0	6	0	0	0	0	2	0	4	0	0	0	0	0	0
DCAKD	ENSG00000172992	ENST00000342350	protein_coding	0	0	0	12	0	0	0	0	6	0	6	0	0	0	0	0	0
DCAKD	ENSG00000172992	ENST00000452796	protein_coding	0	0	0	9	0	0	0	0	6	0	2	0	0	0	0	0	1
DCAKD	ENSG00000172992	ENST00000588499	protein_coding	0	0	0	8	0	0	0	0	2	0	6	0	0	0	0	0	0
DCAKD	ENSG00000172992	ENST00000593094	protein_coding	0	0	0	8	0	0	0	0	2	0	6	0	0	0	0	0	0
DCC	ENSG00000187323	ENST00000442544	protein_coding	0	0	0	4	0	0	0	0	1	0	3	0	0	0	0	0	0
DCC	ENSG00000187323	ENST00000581580	protein_coding	0	0	0	4	0	0	0	0	1	0	3	0	0	0	0	0	0
DCTN4	ENSG00000132912	ENST00000424236	protein_coding	0	0	0	9	0	0	0	0	0	0	9	0	0	0	0	0	0
DCTN4	ENSG00000132912	ENST00000446090	protein_coding	0	0	0	9	0	0	0	0	0	0	9	0	0	0	0	0	0
DCTN4	ENSG00000132912	ENST00000447998	protein_coding	0	0	0	9	0	0	0	0	0	0	9	0	0	0	0	0	0
DCTN4	ENSG00000132912	ENST00000518015	protein_coding	0	0	0	9	0	0	0	0	0	0	9	0	0	0	0	0	0
DCTN4	ENSG00000132912	ENST00000521533	protein_coding	0	0	0	9	0	0	0	0	0	0	9	0	0	0	0	0	0
DCTN4	ENSG00000132912	ENST00000521728	protein_coding	0	0	0	7	0	0	0	0	0	0	2	0	0	0	0	0	5
DDR2	ENSG00000162733	ENST00000367921	protein_coding	0	0	0	3	0	0	0	0	2	0	1	0	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000367922	protein_coding	0	0	0	6	4	0	0	0	1	0	1	0	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000415555	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000446985	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DHX57	ENSG00000163214	ENST00000295373	protein_coding	0	0	0	18	0	0	0	0	9	0	9	0	0	0	0	0	0
DHX57	ENSG00000163214	ENST00000442331	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DHX57	ENSG00000163214	ENST00000452978	protein_coding	0	0	0	18	0	0	0	0	9	0	9	0	0	0	0	0	0
DLEC1	ENSG00000008226	ENST00000308059	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
DLEC1	ENSG00000008226	ENST00000346219	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
DLEC1	ENSG00000008226	ENST00000452631	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
DNAH2	ENSG00000183914	ENST00000389173	protein_coding	1	0	0	7	0	0	0	0	0	1	7	0	0	0	0	0	0
DNAH2	ENSG00000183914	ENST00000572933	protein_coding	1	0	0	7	0	0	0	0	0	1	7	0	0	0	0	0	0
DNAJC28	ENSG00000177692	ENST00000314399	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
DNAJC28	ENSG00000177692	ENST00000381947	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
DNAJC28	ENSG00000177692	ENST00000402202	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
DNASE1	ENSG00000213918	ENST00000575479	protein_coding	0	0	0	16	2	0	0	0	1	0	13	0	0	0	0	0	0
DPYD	ENSG00000188641	ENST00000370192	protein_coding	0	0	0	21	0	0	0	0	0	0	21	0	0	0	0	0	0
DSCAM	ENSG00000171587	ENST00000400454	protein_coding	0	2	1	107	0	0	0	0	0	0	107	1	0	0	0	2	0
DSCAM	ENSG00000171587	ENST00000404019	protein_coding	0	2	1	107	0	0	0	0	0	0	107	1	0	0	0	2	0
EFR3B	ENSG00000084710	ENST00000401432	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
EFR3B	ENSG00000084710	ENST00000402191	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
EFR3B	ENSG00000084710	ENST00000403714	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000275493	protein_coding	0	0	0	19	0	0	0	0	0	0	19	0	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000342916	protein_coding	0	0	0	19	0	0	0	0	0	0	19	0	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000344576	protein_coding	0	0	0	19	0	0	0	0	0	0	19	0	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000420316	protein_coding	0	0	0	19	0	0	0	0	0	0	19	0	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000442591	protein_coding	0	0	0	19	0	0	0	0	0	0	19	0	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000450046	protein_coding	0	0	0	8	0	0	0	0	0	0	5	0	0	0	0	0	3
EGFR	ENSG00000146648	ENST00000454757	protein_coding	0	0	0	8	0	0	0	0	0	0	5	0	0	0	0	0	3
EGFR	ENSG00000146648	ENST00000455089	protein_coding	0	0	0	19	0	0	0	0	0	0	19	0	0	0	0	0	0
EIF2B5	ENSG00000145191	ENST00000444495	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0
EPHB3	ENSG00000182580	ENST00000330394	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
EPM2AIP1	ENSG00000178567	ENST00000322716	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0
ERP29	ENSG00000089248	ENST00000261735	protein_coding	0	0	0	6	0	0	0	0	0	0	3	0	0	0	0	0	3
ERP29	ENSG00000089248	ENST00000455836	protein_coding	0	0	0	6	0	0	0	0	0	0	3	0	0	0	0	0	3
ERP29	ENSG00000089248	ENST00000546477	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
ERP29	ENSG00000089248	ENST00000552052	protein_coding	0	0	0	6	0	0	0	0	0	0	3	0	0	0	0	0	3
ESR1	ENSG00000091831	ENST00000404742	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ESR1	ENSG00000091831	ENST00000440973	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
EXD1	ENSG00000178997	ENST00000314992	protein_coding	0	0	0	12	0	0	0	0	0	0	12	0	0	0	0	0	0
EXD1	ENSG00000178997	ENST00000458580	protein_coding	0	0	0	12	0	0	0	0	0	0	12	0	0	0	0	0	0
EXD1	ENSG00000178997	ENST00000558396	protein_coding	0	0	0	10	0	0	0	0	5	0	5	0	0	0	0	0	0
EXOC6	ENSG00000138190	ENST00000260762	protein_coding	0	0	0	4	0	0	0	0	3	0	1	0	0	0	0	0	0
