# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AKT1	ENSG00000142208	ENST00000553797	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000554192	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000554581	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000554848	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000555458	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000555528	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000649815	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000683722	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000311278	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000392038	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000424901	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000476247	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000497948	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000578310	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000578615	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000579047	protein_coding	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
AKT3	ENSG00000117020	ENST00000263826	protein_coding	1	0	0	2	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0
AKT3	ENSG00000117020	ENST00000336199	protein_coding	1	0	0	2	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0
AKT3	ENSG00000117020	ENST00000366539	protein_coding	1	0	0	2	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0
AKT3	ENSG00000117020	ENST00000366540	protein_coding	1	0	0	2	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0
AKT3	ENSG00000117020	ENST00000492957	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AKT3	ENSG00000117020	ENST00000672578	protein_coding	1	0	0	2	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0
AKT3	ENSG00000117020	ENST00000673466	protein_coding	1	0	0	2	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0
AKT3	ENSG00000117020	ENST00000680056	protein_coding	1	0	0	2	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0
ALK	ENSG00000171094	ENST00000389048	protein_coding	0	0	3	4	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0
ALK	ENSG00000171094	ENST00000453137	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ALK	ENSG00000171094	ENST00000618119	protein_coding	0	0	1	4	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0
ALK	ENSG00000171094	ENST00000642122	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3
APC	ENSG00000134982	ENST00000257430	protein_coding	3	1	2	1	0	0	0	0	0	0	0	1	2	2	0	0	1	2	0	0
APC	ENSG00000134982	ENST00000504915	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
APC	ENSG00000134982	ENST00000507379	protein_coding	0	1	1	5	0	0	0	0	0	0	3	0	3	1	0	0	1	0	0	0
APC	ENSG00000134982	ENST00000508376	protein_coding	3	1	2	1	0	0	0	0	0	0	0	1	2	2	0	0	1	2	0	0
APC	ENSG00000134982	ENST00000512211	protein_coding	1	1	1	4	0	0	0	0	0	0	3	0	2	1	0	0	1	1	0	0
ASXL1	ENSG00000171456	ENST00000306058	protein_coding	2	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0
ASXL1	ENSG00000171456	ENST00000375687	protein_coding	2	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0
ASXL1	ENSG00000171456	ENST00000375689	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASXL1	ENSG00000171456	ENST00000497249	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASXL1	ENSG00000171456	ENST00000613218	protein_coding	2	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0
ASXL1	ENSG00000171456	ENST00000620121	protein_coding	2	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0
ASXL1	ENSG00000171456	ENST00000643168	protein_coding	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ASXL1	ENSG00000171456	ENST00000645688	protein_coding	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ASXL1	ENSG00000171456	ENST00000646367	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASXL1	ENSG00000171456	ENST00000646985	protein_coding	2	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0
ASXL1	ENSG00000171456	ENST00000651418	protein_coding	2	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0
ATM	ENSG00000149311	ENST00000452508	protein_coding	2	2	3	2	0	0	0	0	0	0	0	1	2	3	0	0	0	1	2	0
ATM	ENSG00000149311	ENST00000526567	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
ATM	ENSG00000149311	ENST00000530958	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
ATM	ENSG00000149311	ENST00000531525	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000532931	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
ATM	ENSG00000149311	ENST00000601453	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
ATM	ENSG00000149311	ENST00000639240	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
ATM	ENSG00000149311	ENST00000639953	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
ATM	ENSG00000149311	ENST00000640388	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
ATM	ENSG00000149311	ENST00000675843	protein_coding	2	2	3	2	0	0	0	0	0	0	0	1	2	3	0	0	0	1	2	0
ATM	ENSG00000149311	ENST00000682465	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
ATM	ENSG00000149311	ENST00000683150	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
ATM	ENSG00000149311	ENST00000683468	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
ATM	ENSG00000149311	ENST00000683914	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
ATM	ENSG00000149311	ENST00000684029	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
ATP5MG	ENSG00000167283	ENST00000524422	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ATP5MG	ENSG00000167283	ENST00000690793	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ATRX	ENSG00000085224	ENST00000373344	protein_coding	1	1	1	3	0	0	0	0	0	0	0	0	4	1	0	0	2	1	0	0
ATRX	ENSG00000085224	ENST00000395603	protein_coding	1	1	1	3	0	0	0	0	0	0	0	0	4	1	0	0	2	1	0	0
ATRX	ENSG00000085224	ENST00000400866	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
ATRX	ENSG00000085224	ENST00000493470	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ATRX	ENSG00000085224	ENST00000622960	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
ATRX	ENSG00000085224	ENST00000623321	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
ATRX	ENSG00000085224	ENST00000624032	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
ATRX	ENSG00000085224	ENST00000624166	protein_coding	0	0	1	3	0	0	0	0	0	0	2	0	1	1	0	0	1	0	0	0
ATRX	ENSG00000085224	ENST00000624668	protein_coding	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0
ATRX	ENSG00000085224	ENST00000625063	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
ATRX	ENSG00000085224	ENST00000675732	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
BRCA1	ENSG00000012048	ENST00000352993	protein_coding	2	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000354071	protein_coding	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000357654	protein_coding	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000461574	protein_coding	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
BRCA1	ENSG00000012048	ENST00000468300	protein_coding	2	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000470026	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000471181	protein_coding	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000473961	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000476777	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000477152	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000478531	protein_coding	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000484087	protein_coding	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000487825	protein_coding	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000491747	protein_coding	2	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000493795	protein_coding	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000493919	protein_coding	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000494123	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000497488	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000586385	protein_coding	1	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000591534	protein_coding	1	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000591849	protein_coding	1	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000634433	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000644379	protein_coding	2	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
BRCA1	ENSG00000012048	ENST00000652672	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
BRCA2	ENSG00000139618	ENST00000380152	protein_coding	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
BRCA2	ENSG00000139618	ENST00000530893	protein_coding	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
BRCA2	ENSG00000139618	ENST00000544455	protein_coding	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
BRCA2	ENSG00000139618	ENST00000680887	protein_coding	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
C11orf65	ENSG00000166323	ENST00000524755	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000525729	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000615746	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CBL	ENSG00000110395	ENST00000264033	protein_coding	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
CBL	ENSG00000110395	ENST00000634586	protein_coding	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
CBL	ENSG00000110395	ENST00000634840	protein_coding	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
CBL	ENSG00000110395	ENST00000637974	protein_coding	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
CDA	ENSG00000158825	ENST00000375071	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH1	ENSG00000039068	ENST00000261769	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
CDH1	ENSG00000039068	ENST00000422392	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
CDKN2A	ENSG00000147889	ENST00000494262	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000498628	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000530628	protein_coding	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000579755	protein_coding	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CHD7	ENSG00000171316	ENST00000423902	protein_coding	1	0	4	3	0	0	0	0	0	0	0	0	3	4	0	0	0	1	0	0
CHD7	ENSG00000171316	ENST00000524602	protein_coding	1	0	0	7	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0
CHD7	ENSG00000171316	ENST00000525508	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
CLIP4	ENSG00000115295	ENST00000689605	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL11A2	ENSG00000204248	ENST00000341947	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
COL11A2	ENSG00000204248	ENST00000374708	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
COL11A2	ENSG00000204248	ENST00000395194	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CREBBP	ENSG00000005339	ENST00000262367	protein_coding	2	2	4	7	0	0	0	0	1	0	0	2	9	3	0	0	2	0	0	0
CREBBP	ENSG00000005339	ENST00000382070	protein_coding	2	2	4	7	0	0	0	0	1	0	0	2	9	3	0	0	2	0	0	0
CREBBP	ENSG00000005339	ENST00000570939	protein_coding	1	0	1	7	0	0	0	0	0	0	2	1	5	1	0	0	0	0	0	0
CREBBP	ENSG00000005339	ENST00000571826	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
CREBBP	ENSG00000005339	ENST00000572134	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
CREBBP	ENSG00000005339	ENST00000573517	protein_coding	1	0	1	3	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	1
CREBBP	ENSG00000005339	ENST00000637492	protein_coding	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2
CSF1R	ENSG00000182578	ENST00000286301	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
CSF1R	ENSG00000182578	ENST00000675795	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
CTNNB1	ENSG00000168036	ENST00000349496	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000396183	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000396185	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000405570	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000426215	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000431914	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000433400	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000450969	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000453024	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000642248	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000642315	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000642426	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000642836	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000642886	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000642986	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000642992	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000643031	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000643297	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000643541	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000643977	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000643992	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000644138	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000644524	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000644678	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000644867	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000644873	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000645210	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000645276	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000645493	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000645900	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000645982	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000646116	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000646174	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000646369	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000646381	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000646725	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000647264	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000647390	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	ENSG00000168036	ENST00000647413	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CXorf65	ENSG00000204165	ENST00000374251	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
