# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ANGPT2	ENSG00000091879	ENST00000415216	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ANGPT2	ENSG00000091879	ENST00000523120	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ARID1B	ENSG00000049618	ENST00000275248	protein_coding	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0	0
ARID1B	ENSG00000049618	ENST00000346085	protein_coding	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0	0
ARID1B	ENSG00000049618	ENST00000350026	protein_coding	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0	0
ARID1B	ENSG00000049618	ENST00000367148	protein_coding	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0	0
ARID1B	ENSG00000049618	ENST00000414678	protein_coding	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0	0
ARMC9	ENSG00000135931	ENST00000349938	protein_coding	0	0	0	4	0	0	0	0	1	0	3	0	0	0	0	0	0
ARMC9	ENSG00000135931	ENST00000424740	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ARMC9	ENSG00000135931	ENST00000436339	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ARMC9	ENSG00000135931	ENST00000446447	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ASIC2	ENSG00000108684	ENST00000225823	protein_coding	0	0	0	11	1	0	0	0	2	0	8	0	0	0	0	0	0
ASIC2	ENSG00000108684	ENST00000359872	protein_coding	0	0	0	11	1	0	0	0	2	0	8	0	0	0	0	0	0
ASPN	ENSG00000106819	ENST00000375543	protein_coding	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	2
ASPN	ENSG00000106819	ENST00000375544	protein_coding	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	2
ASPN	ENSG00000106819	ENST00000395538	protein_coding	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	2
ASPN	ENSG00000106819	ENST00000450139	protein_coding	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	2
ATM	ENSG00000149311	ENST00000278616	protein_coding	0	0	0	3	0	0	0	0	1	0	2	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000452508	protein_coding	0	0	0	3	0	0	0	0	1	0	2	0	0	0	0	0	0
ATP6V0A1	ENSG00000033627	ENST00000264649	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ATP6V0A1	ENSG00000033627	ENST00000343619	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ATP6V0A1	ENSG00000033627	ENST00000393829	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ATP6V0A1	ENSG00000033627	ENST00000537728	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ATP6V0A1	ENSG00000033627	ENST00000544137	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ATP6V0A1	ENSG00000033627	ENST00000546249	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ATP6V0A1	ENSG00000033627	ENST00000585525	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ATP6V0A1	ENSG00000033627	ENST00000589727	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ATP6V0A1	ENSG00000033627	ENST00000592324	protein_coding	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0
ATP6V1D	ENSG00000100554	ENST00000216442	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ATP6V1D	ENSG00000100554	ENST00000553687	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ATP6V1D	ENSG00000100554	ENST00000554236	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ATP6V1D	ENSG00000100554	ENST00000555012	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ATP6V1D	ENSG00000100554	ENST00000555431	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ATP6V1D	ENSG00000100554	ENST00000555474	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ATP6V1D	ENSG00000100554	ENST00000555723	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
BAHD1	ENSG00000140320	ENST00000416165	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
BAHD1	ENSG00000140320	ENST00000561234	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
BBS9	ENSG00000122507	ENST00000242067	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
BBS9	ENSG00000122507	ENST00000350941	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
BBS9	ENSG00000122507	ENST00000354265	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
BBS9	ENSG00000122507	ENST00000355070	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
BBS9	ENSG00000122507	ENST00000396127	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
BBS9	ENSG00000122507	ENST00000425508	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
BBS9	ENSG00000122507	ENST00000432983	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
BCO2	ENSG00000197580	ENST00000357685	protein_coding	1	0	0	3	2	0	0	0	0	0	2	0	1	0	0	0	0
BCO2	ENSG00000197580	ENST00000361053	protein_coding	1	0	0	3	1	0	0	0	1	0	2	0	1	0	0	0	0
BCO2	ENSG00000197580	ENST00000393032	protein_coding	1	0	0	3	2	0	0	0	0	0	2	0	1	0	0	0	0
BCO2	ENSG00000197580	ENST00000438022	protein_coding	1	1	0	3	1	0	0	0	1	0	2	0	1	1	0	0	0
BCO2	ENSG00000197580	ENST00000525175	protein_coding	1	0	0	3	1	0	0	0	1	0	2	0	1	0	0	0	0
BCO2	ENSG00000197580	ENST00000526088	protein_coding	1	0	0	3	1	0	0	0	1	0	2	0	1	0	0	0	0
BCO2	ENSG00000197580	ENST00000530677	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
BCO2	ENSG00000197580	ENST00000531169	protein_coding	1	0	0	3	0	0	0	0	0	0	4	0	1	0	0	0	0
BCO2	ENSG00000197580	ENST00000532593	protein_coding	1	0	0	3	0	0	0	0	2	0	2	0	1	0	0	0	0
BICD2	ENSG00000185963	ENST00000356884	protein_coding	0	0	1	8	2	0	0	0	0	0	6	1	0	0	0	0	0
BICD2	ENSG00000185963	ENST00000375512	protein_coding	0	0	1	8	0	0	0	0	0	0	8	1	0	1	0	0	0
BNIP3L	ENSG00000104765	ENST00000523949	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0
C11orf45	ENSG00000174370	ENST00000310799	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
C11orf45	ENSG00000174370	ENST00000524878	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000393084	protein_coding	0	0	0	25	0	0	0	0	3	0	22	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000524755	protein_coding	0	0	0	10	0	0	0	0	0	0	10	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000525729	protein_coding	0	0	0	28	0	0	0	0	0	0	28	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000529391	protein_coding	0	0	0	25	0	0	0	0	3	0	22	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000533583	protein_coding	0	0	0	21	0	0	0	0	0	0	21	0	0	0	0	0	0
C19orf26	ENSG00000099625	ENST00000215376	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
C19orf26	ENSG00000099625	ENST00000382477	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
C19orf26	ENSG00000099625	ENST00000590083	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
C19orf38	ENSG00000214212	ENST00000397820	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
C19orf38	ENSG00000214212	ENST00000592854	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
C1QL1	ENSG00000131094	ENST00000253407	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
C2orf61	ENSG00000239605	ENST00000294947	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
C2orf61	ENSG00000239605	ENST00000445927	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
C2orf61	ENSG00000239605	ENST00000449846	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
C3orf83	ENSG00000225526	ENST00000564146	protein_coding	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0
C5orf66	ENSG00000224186	ENST00000432382	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
C5orf66	ENSG00000224186	ENST00000555438	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
C6orf211	ENSG00000146476	ENST00000367294	protein_coding	1	0	2	24	0	0	0	0	2	1	16	2	0	0	0	0	6
C6orf211	ENSG00000146476	ENST00000545879	protein_coding	1	0	2	21	0	0	0	0	0	1	16	2	0	0	0	0	5
C9orf53	ENSG00000224854	ENST00000441769	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
CA10	ENSG00000154975	ENST00000285273	protein_coding	0	0	0	26	0	0	0	0	0	0	26	0	0	0	0	0	0
CA10	ENSG00000154975	ENST00000340813	protein_coding	0	0	0	26	0	0	0	0	0	0	26	0	0	0	0	0	0
CA10	ENSG00000154975	ENST00000442502	protein_coding	0	0	0	26	0	0	0	0	0	0	26	0	0	0	0	0	0
CA10	ENSG00000154975	ENST00000451037	protein_coding	0	0	0	26	0	0	0	0	0	0	26	0	0	0	0	0	0
CA10	ENSG00000154975	ENST00000570565	protein_coding	0	0	0	26	0	0	0	0	0	0	26	0	0	0	0	0	0
CA10	ENSG00000154975	ENST00000575181	protein_coding	0	0	0	26	0	0	0	0	0	0	26	0	0	0	0	0	0
CARM1	ENSG00000142453	ENST00000327064	protein_coding	0	0	0	29	1	0	0	0	1	0	27	0	0	0	0	0	0
CARM1	ENSG00000142453	ENST00000344150	protein_coding	0	0	0	29	1	0	0	0	1	0	27	0	0	0	0	0	0
CARM1	ENSG00000142453	ENST00000586298	protein_coding	0	0	0	8	0	0	0	0	2	0	1	0	0	0	0	0	5
CARM1	ENSG00000142453	ENST00000588947	protein_coding	0	0	0	21	0	0	0	0	2	0	19	0	0	0	0	0	0
CASP14	ENSG00000105141	ENST00000221740	protein_coding	0	0	0	9	0	0	0	0	2	0	2	0	0	0	0	0	5
CASP14	ENSG00000105141	ENST00000427043	protein_coding	0	0	0	9	0	0	0	0	2	0	7	0	0	0	0	0	0
CCDC12	ENSG00000160799	ENST00000292314	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
CCDC12	ENSG00000160799	ENST00000425441	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
CCDC12	ENSG00000160799	ENST00000446836	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
CCDC12	ENSG00000160799	ENST00000546280	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
CCDC12	ENSG00000160799	ENST00000605875	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
CCDC170	ENSG00000120262	ENST00000239374	protein_coding	0	0	0	4	0	0	0	0	2	0	2	0	0	0	0	0	0
CCDC170	ENSG00000120262	ENST00000367290	protein_coding	0	0	0	4	0	0	0	0	2	0	2	0	0	0	0	0	0
CD274	ENSG00000120217	ENST00000381573	protein_coding	0	0	0	5	1	0	0	0	0	0	4	0	0	0	0	0	0
CD274	ENSG00000120217	ENST00000381577	protein_coding	0	0	0	5	1	0	0	0	0	0	4	0	0	0	0	0	0
CDC37	ENSG00000105401	ENST00000222005	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
CDC37	ENSG00000105401	ENST00000589331	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
CDC37	ENSG00000105401	ENST00000589625	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
CDC37	ENSG00000105401	ENST00000589629	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
CDC37	ENSG00000105401	ENST00000593124	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
CDC73	ENSG00000134371	ENST00000367435	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
CDH1	ENSG00000039068	ENST00000261769	protein_coding	0	0	0	11	0	0	0	0	0	0	11	0	0	0	0	0	0
CDH1	ENSG00000039068	ENST00000422392	protein_coding	0	0	0	11	0	0	0	0	0	0	11	0	0	0	0	0	0
CDH3	ENSG00000062038	ENST00000264012	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
CDH3	ENSG00000062038	ENST00000429102	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
CDH3	ENSG00000062038	ENST00000569080	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0
CDH3	ENSG00000062038	ENST00000581171	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
CDK10	ENSG00000185324	ENST00000331006	protein_coding	0	1	0	3	0	1	1	0	1	0	0	0	0	0	0	0	1
CDK10	ENSG00000185324	ENST00000353379	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
CDK10	ENSG00000185324	ENST00000505473	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
CDK10	ENSG00000185324	ENST00000564192	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
CDKN2A	ENSG00000147889	ENST00000304494	protein_coding	0	3	0	4	0	0	0	0	0	0	4	0	0	0	0	3	0
CDKN2A	ENSG00000147889	ENST00000361570	protein_coding	0	0	1	7	1	0	0	0	0	0	6	1	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000446177	protein_coding	0	3	0	4	0	0	0	0	2	0	3	0	0	1	0	2	0
CDKN2A	ENSG00000147889	ENST00000479692	protein_coding	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	3
CDKN2A	ENSG00000147889	ENST00000494262	protein_coding	0	1	0	7	0	0	0	0	0	0	7	0	0	0	0	1	0
CDKN2A	ENSG00000147889	ENST00000497750	protein_coding	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	3
CDKN2A	ENSG00000147889	ENST00000498124	protein_coding	0	3	0	4	2	0	0	0	0	0	3	0	0	1	0	2	0
CDKN2A	ENSG00000147889	ENST00000498628	protein_coding	0	1	0	7	0	0	0	0	0	0	7	0	0	0	0	1	0
CDKN2A	ENSG00000147889	ENST00000530628	protein_coding	0	0	0	8	1	0	1	0	0	0	6	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000578845	protein_coding	0	1	0	6	0	0	0	0	0	0	3	0	0	0	0	1	3
CDKN2A	ENSG00000147889	ENST00000579122	protein_coding	1	2	0	4	0	0	0	0	0	0	4	0	0	0	1	2	0
CDKN2A	ENSG00000147889	ENST00000579755	protein_coding	0	0	0	8	1	0	1	0	0	0	6	0	0	0	0	0	0
CDKN2B	ENSG00000147883	ENST00000276925	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
CDKN2B	ENSG00000147883	ENST00000380142	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
CDKN2B	ENSG00000147883	ENST00000539462	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
CENPP	ENSG00000188312	ENST00000375587	protein_coding	0	0	0	10	0	0	0	0	0	0	10	0	0	0	0	0	0
CIB1	ENSG00000185043	ENST00000328649	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
CLIP4	ENSG00000115295	ENST00000401605	protein_coding	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CLIP4	ENSG00000115295	ENST00000401617	protein_coding	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CLUAP1	ENSG00000103351	ENST00000341633	protein_coding	0	0	0	12	0	0	0	0	2	0	10	0	0	0	0	0	0
CLUAP1	ENSG00000103351	ENST00000417763	protein_coding	0	0	0	12	0	0	0	0	2	0	10	0	0	0	0	0	0
CLUAP1	ENSG00000103351	ENST00000445795	protein_coding	0	0	0	12	0	0	0	0	2	0	10	0	0	0	0	0	0
CLUAP1	ENSG00000103351	ENST00000571025	protein_coding	0	0	0	12	5	0	0	0	2	0	5	0	0	0	0	0	0
CLUAP1	ENSG00000103351	ENST00000572600	protein_coding	0	0	0	12	0	0	0	0	2	0	10	0	0	0	0	0	0
CLUAP1	ENSG00000103351	ENST00000574551	protein_coding	0	0	0	10	0	0	0	0	10	0	0	0	0	0	0	0	0
CLUAP1	ENSG00000103351	ENST00000576634	protein_coding	0	0	0	13	0	0	0	0	3	0	10	0	0	0	0	0	0
COL3A1	ENSG00000168542	ENST00000304636	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
COL3A1	ENSG00000168542	ENST00000317840	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
COL3A1	ENSG00000168542	ENST00000450867	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CPS1	ENSG00000021826	ENST00000233072	protein_coding	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	1
CPS1	ENSG00000021826	ENST00000417946	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0
CPS1	ENSG00000021826	ENST00000430249	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0
CPS1	ENSG00000021826	ENST00000518043	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0
CPS1	ENSG00000021826	ENST00000523702	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0
CTDSPL2	ENSG00000137770	ENST00000260327	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
CTDSPL2	ENSG00000137770	ENST00000396780	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
CTDSPL2	ENSG00000137770	ENST00000558791	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
CTDSPL2	ENSG00000137770	ENST00000558966	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
CTDSPL2	ENSG00000137770	ENST00000558968	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
CTDSPL2	ENSG00000137770	ENST00000559793	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
CTNNB1	ENSG00000168036	ENST00000405570	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CTNNB1	ENSG00000168036	ENST00000426215	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CTNNB1	ENSG00000168036	ENST00000433400	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CXorf36	ENSG00000147113	ENST00000377934	protein_coding	0	0	0	6	0	0	0	0	0	0	3	0	0	0	0	0	3
CXorf36	ENSG00000147113	ENST00000398000	protein_coding	0	0	1	6	0	0	0	0	0	0	3	1	0	0	0	0	3
CYSLTR1	ENSG00000173198	ENST00000373304	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
DAGLA	ENSG00000134780	ENST00000257215	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DBH	ENSG00000123454	ENST00000263611	protein_coding	0	0	0	18	0	0	0	0	4	0	9	0	0	0	0	0	5
DBH	ENSG00000123454	ENST00000393056	protein_coding	1	1	0	27	0	0	0	0	0	1	22	0	0	0	0	1	5
DCAKD	ENSG00000172992	ENST00000310604	protein_coding	0	0	0	11	0	0	0	0	0	0	11	0	0	0	0	0	0
DCAKD	ENSG00000172992	ENST00000342350	protein_coding	0	0	0	17	0	0	0	0	5	0	12	0	0	0	0	0	0
DCAKD	ENSG00000172992	ENST00000452796	protein_coding	0	0	0	8	0	0	0	0	5	0	1	0	0	0	0	0	2
DCAKD	ENSG00000172992	ENST00000588499	protein_coding	0	0	0	17	0	0	0	0	5	0	12	0	0	0	0	0	0
DCAKD	ENSG00000172992	ENST00000593094	protein_coding	0	0	0	16	0	0	0	0	4	0	12	0	0	0	0	0	0
DCC	ENSG00000187323	ENST00000442544	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
DCC	ENSG00000187323	ENST00000581580	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
DCTN4	ENSG00000132912	ENST00000424236	protein_coding	0	0	0	11	0	0	0	0	0	0	11	0	0	0	0	0	0
DCTN4	ENSG00000132912	ENST00000446090	protein_coding	0	0	0	11	0	0	0	0	0	0	11	0	0	0	0	0	0
DCTN4	ENSG00000132912	ENST00000447998	protein_coding	0	0	0	11	0	0	0	0	0	0	11	0	0	0	0	0	0
DCTN4	ENSG00000132912	ENST00000518015	protein_coding	0	0	0	11	0	0	0	0	0	0	11	0	0	0	0	0	0
DCTN4	ENSG00000132912	ENST00000521533	protein_coding	0	0	0	11	0	0	0	0	0	0	11	0	0	0	0	0	0
DCTN4	ENSG00000132912	ENST00000521728	protein_coding	0	0	0	11	0	0	0	0	0	0	7	0	0	0	0	0	4
DDR2	ENSG00000162733	ENST00000367921	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000367922	protein_coding	0	0	0	7	4	0	0	0	3	0	0	0	0	0	0	0	0
DDX42	ENSG00000198231	ENST00000359353	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
DDX42	ENSG00000198231	ENST00000389924	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
DDX42	ENSG00000198231	ENST00000457800	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
DDX42	ENSG00000198231	ENST00000578681	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
DDX42	ENSG00000198231	ENST00000581135	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
DDX42	ENSG00000198231	ENST00000583590	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
DDX51	ENSG00000185163	ENST00000397333	protein_coding	1	0	0	3	0	0	0	0	0	1	2	0	0	0	0	0	1
DHDDS	ENSG00000117682	ENST00000236342	protein_coding	0	0	0	10	0	0	0	0	0	0	10	0	0	0	0	0	0
DHDDS	ENSG00000117682	ENST00000360009	protein_coding	0	0	0	10	0	0	0	0	0	0	10	0	0	0	0	0	0
DHDDS	ENSG00000117682	ENST00000374185	protein_coding	0	0	0	10	0	0	0	0	1	0	9	0	0	0	0	0	0
DHDDS	ENSG00000117682	ENST00000416052	protein_coding	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	3
DHDDS	ENSG00000117682	ENST00000427245	protein_coding	0	0	0	10	0	0	0	0	0	0	10	0	0	0	0	0	0
DHDDS	ENSG00000117682	ENST00000430232	protein_coding	0	0	0	10	0	0	0	0	0	0	10	0	0	0	0	0	0
DHDDS	ENSG00000117682	ENST00000431933	protein_coding	0	0	0	6	0	0	0	0	0	0	5	0	0	0	0	0	1
DHDDS	ENSG00000117682	ENST00000436153	protein_coding	0	0	0	10	0	0	0	0	1	0	9	0	0	0	0	0	0
DHDDS	ENSG00000117682	ENST00000525165	protein_coding	0	0	0	10	0	0	0	0	2	0	8	0	0	0	0	0	0
DHDDS	ENSG00000117682	ENST00000525326	protein_coding	0	0	0	9	0	0	0	0	4	0	5	0	0	0	0	0	0
DHDDS	ENSG00000117682	ENST00000525546	protein_coding	0	0	0	9	0	0	0	0	4	0	5	0	0	0	0	0	0
