# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
C19orf47	ENSG00000160392	ENST00000582783	protein_coding	0	0	0	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
C19orf52	ENSG00000142444	ENST00000270502	protein_coding	0	0	0	7	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1
C1QL1	ENSG00000131094	ENST00000253407	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
C2orf71	ENSG00000179270	ENST00000331664	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
C3orf83	ENSG00000225526	ENST00000564146	protein_coding	0	1	0	24	0	0	0	0	0	13	0	0	0	0	0	0	0	1	11
CAMKV	ENSG00000164076	ENST00000296471	protein_coding	0	0	0	4	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0
CAMKV	ENSG00000164076	ENST00000463537	protein_coding	0	0	0	4	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0
CAMKV	ENSG00000164076	ENST00000466940	protein_coding	0	0	0	4	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0
CAMKV	ENSG00000164076	ENST00000467248	protein_coding	0	0	0	4	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0
CAMKV	ENSG00000164076	ENST00000477224	protein_coding	0	0	0	4	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0
CAMKV	ENSG00000164076	ENST00000480398	protein_coding	0	0	0	4	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0
CAMKV	ENSG00000164076	ENST00000488336	protein_coding	0	0	0	4	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0
CARM1	ENSG00000142453	ENST00000327064	protein_coding	0	0	0	73	4	0	0	6	0	63	0	0	0	0	0	0	0	0	0
CARM1	ENSG00000142453	ENST00000344150	protein_coding	0	0	0	73	4	0	0	6	0	63	0	0	0	0	0	0	0	0	0
CARM1	ENSG00000142453	ENST00000586298	protein_coding	0	0	0	22	0	0	0	10	0	8	0	0	0	0	0	0	0	0	4
CARM1	ENSG00000142453	ENST00000588947	protein_coding	0	0	0	51	0	0	0	10	0	41	0	0	0	0	0	0	0	0	0
CCDC170	ENSG00000120262	ENST00000239374	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CCDC170	ENSG00000120262	ENST00000367290	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CD79B	ENSG00000007312	ENST00000006750	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
CD79B	ENSG00000007312	ENST00000349817	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
CD79B	ENSG00000007312	ENST00000392795	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
CDH1	ENSG00000039068	ENST00000261769	protein_coding	0	0	0	15	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0
CDH1	ENSG00000039068	ENST00000422392	protein_coding	0	0	0	15	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000304494	protein_coding	0	0	1	3	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000361570	protein_coding	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000446177	protein_coding	0	0	1	3	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000479692	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
CDKN2A	ENSG00000147889	ENST00000494262	protein_coding	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000497750	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
CDKN2A	ENSG00000147889	ENST00000498124	protein_coding	0	0	1	3	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1
CDKN2A	ENSG00000147889	ENST00000498628	protein_coding	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000530628	protein_coding	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000578845	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
CDKN2A	ENSG00000147889	ENST00000579122	protein_coding	0	0	1	3	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1
CDKN2A	ENSG00000147889	ENST00000579755	protein_coding	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
CDKN2B	ENSG00000147883	ENST00000276925	protein_coding	2	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
CDKN2B	ENSG00000147883	ENST00000380142	protein_coding	2	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CDKN2B	ENSG00000147883	ENST00000539462	protein_coding	2	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
CHMP4B	ENSG00000101421	ENST00000217402	protein_coding	0	0	0	23	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0
CLIP4	ENSG00000115295	ENST00000320081	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CLIP4	ENSG00000115295	ENST00000401605	protein_coding	0	1	0	9	0	0	1	0	0	5	0	0	0	1	0	0	0	0	3
CLIP4	ENSG00000115295	ENST00000401617	protein_coding	0	1	0	9	0	0	1	0	0	5	0	0	0	1	0	0	0	0	3
CLIP4	ENSG00000115295	ENST00000404424	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CPS1	ENSG00000021826	ENST00000233072	protein_coding	0	0	0	9	0	0	0	0	0	6	0	0	0	0	0	0	0	0	3
CPS1	ENSG00000021826	ENST00000417946	protein_coding	0	0	0	14	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
CPS1	ENSG00000021826	ENST00000430249	protein_coding	0	0	0	14	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
CPS1	ENSG00000021826	ENST00000518043	protein_coding	0	0	0	14	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
CPS1	ENSG00000021826	ENST00000523702	protein_coding	0	0	0	14	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
CREBBP	ENSG00000005339	ENST00000262367	protein_coding	0	2	2	36	0	0	0	9	0	28	2	0	0	1	0	0	0	1	0
CREBBP	ENSG00000005339	ENST00000382070	protein_coding	0	2	2	34	0	0	0	7	0	28	2	0	0	1	0	0	0	1	0
CREBBP	ENSG00000005339	ENST00000570939	protein_coding	0	0	0	9	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
CREBBP	ENSG00000005339	ENST00000573517	protein_coding	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
CRTAC1	ENSG00000095713	ENST00000298819	protein_coding	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2
CRTAC1	ENSG00000095713	ENST00000370591	protein_coding	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2
CRTAC1	ENSG00000095713	ENST00000370597	protein_coding	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2
CSH1	ENSG00000136488	ENST00000316193	protein_coding	0	0	0	5	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0
CSH1	ENSG00000136488	ENST00000329882	protein_coding	0	2	1	2	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0
CSH1	ENSG00000136488	ENST00000453363	protein_coding	0	0	0	5	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0
CSH2	ENSG00000213218	ENST00000336844	protein_coding	0	1	0	19	0	0	4	8	0	4	0	0	0	1	0	0	0	0	4
CSH2	ENSG00000213218	ENST00000345366	protein_coding	0	1	0	19	0	0	4	8	0	4	0	0	0	1	0	0	0	0	4
CSH2	ENSG00000213218	ENST00000392886	protein_coding	0	1	0	19	0	0	4	8	0	4	0	0	0	1	0	0	0	0	4
CSH2	ENSG00000213218	ENST00000560142	protein_coding	0	1	0	19	0	0	4	8	0	4	0	0	0	1	0	0	0	0	4
CSHL1	ENSG00000204414	ENST00000259003	protein_coding	0	0	0	14	0	0	0	12	0	0	0	0	0	0	0	0	0	0	2
CSHL1	ENSG00000204414	ENST00000309894	protein_coding	0	0	0	14	0	0	0	12	0	0	0	0	0	0	0	0	0	0	2
CSHL1	ENSG00000204414	ENST00000346606	protein_coding	0	0	0	14	0	0	0	12	0	0	0	0	0	0	0	0	0	0	2
CSHL1	ENSG00000204414	ENST00000392824	protein_coding	0	0	0	17	0	0	0	11	0	6	0	0	0	0	0	0	0	0	0
CSHL1	ENSG00000204414	ENST00000438387	protein_coding	0	0	0	14	0	0	0	12	0	0	0	0	0	0	0	0	0	0	2
CSHL1	ENSG00000204414	ENST00000450719	protein_coding	0	0	0	14	0	0	0	12	0	0	0	0	0	0	0	0	0	0	2
CSHL1	ENSG00000204414	ENST00000561003	protein_coding	0	0	0	14	0	0	0	12	0	0	0	0	0	0	0	0	0	0	2
CTNNB1	ENSG00000168036	ENST00000349496	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
CTNNB1	ENSG00000168036	ENST00000396183	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
CTNNB1	ENSG00000168036	ENST00000396185	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
CTNNB1	ENSG00000168036	ENST00000405570	protein_coding	0	0	0	11	0	0	0	0	0	9	0	0	0	0	0	0	0	0	2
CTNNB1	ENSG00000168036	ENST00000426215	protein_coding	0	0	0	11	0	0	0	0	0	9	0	0	0	0	0	0	0	0	2
CTNNB1	ENSG00000168036	ENST00000431914	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
CTNNB1	ENSG00000168036	ENST00000433400	protein_coding	0	0	0	11	0	0	0	0	0	7	0	0	0	0	0	0	0	0	4
CTNNB1	ENSG00000168036	ENST00000450969	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
CTNNB1	ENSG00000168036	ENST00000453024	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
CXorf36	ENSG00000147113	ENST00000377934	protein_coding	0	0	1	26	0	0	2	1	0	8	1	0	0	0	0	0	0	0	15
CXorf36	ENSG00000147113	ENST00000398000	protein_coding	0	1	2	26	0	0	2	0	0	9	2	0	0	0	0	0	0	1	15
CYP26C1	ENSG00000187553	ENST00000285949	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CYSLTR1	ENSG00000173198	ENST00000373304	protein_coding	0	0	0	12	0	0	0	7	0	5	0	0	0	0	0	0	0	0	0
DAD1	ENSG00000129562	ENST00000250498	protein_coding	0	0	0	3	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
DAD1	ENSG00000129562	ENST00000538631	protein_coding	0	0	0	3	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
DAD1	ENSG00000129562	ENST00000543337	protein_coding	0	0	0	3	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
DBF4	ENSG00000006634	ENST00000265728	protein_coding	2	0	1	13	0	0	1	5	1	6	1	0	0	0	1	0	0	0	1
DBH	ENSG00000123454	ENST00000263611	protein_coding	0	0	0	9	0	0	0	0	0	6	0	0	0	0	0	0	0	0	3
DBH	ENSG00000123454	ENST00000393056	protein_coding	0	0	0	14	0	0	0	0	0	11	0	0	0	0	0	0	0	0	3
DCAKD	ENSG00000172992	ENST00000310604	protein_coding	0	0	0	4	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
DCAKD	ENSG00000172992	ENST00000342350	protein_coding	0	0	0	10	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0
DCAKD	ENSG00000172992	ENST00000452796	protein_coding	0	0	0	9	0	0	0	5	0	3	0	0	0	0	0	0	0	0	1
DCAKD	ENSG00000172992	ENST00000588499	protein_coding	0	0	0	8	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0
DCAKD	ENSG00000172992	ENST00000593094	protein_coding	0	0	0	8	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0
DCC	ENSG00000187323	ENST00000442544	protein_coding	0	0	0	13	0	0	0	2	0	11	0	0	0	0	0	0	0	0	0
DCC	ENSG00000187323	ENST00000581580	protein_coding	0	0	0	13	0	0	0	2	0	11	0	0	0	0	0	0	0	0	0
DCTN4	ENSG00000132912	ENST00000424236	protein_coding	0	0	0	19	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0
DCTN4	ENSG00000132912	ENST00000446090	protein_coding	0	0	0	19	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0
DCTN4	ENSG00000132912	ENST00000447998	protein_coding	0	0	0	19	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0
DCTN4	ENSG00000132912	ENST00000518015	protein_coding	0	0	0	19	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0
DCTN4	ENSG00000132912	ENST00000521533	protein_coding	0	0	0	19	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0
DCTN4	ENSG00000132912	ENST00000521728	protein_coding	0	0	0	14	0	0	0	0	0	7	0	0	0	0	0	0	0	0	7
DCTN6	ENSG00000104671	ENST00000221114	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DCTN6	ENSG00000104671	ENST00000520829	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000367921	protein_coding	0	0	0	3	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000367922	protein_coding	0	0	0	5	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000415555	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000446985	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DHX57	ENSG00000163214	ENST00000295373	protein_coding	0	0	0	22	0	0	0	4	0	18	0	0	0	0	0	0	0	0	0
DHX57	ENSG00000163214	ENST00000452978	protein_coding	0	0	0	22	0	0	0	4	0	18	0	0	0	0	0	0	0	0	0
DLEC1	ENSG00000008226	ENST00000308059	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
DLEC1	ENSG00000008226	ENST00000346219	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
DLEC1	ENSG00000008226	ENST00000452631	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
DNAH2	ENSG00000183914	ENST00000389173	protein_coding	0	0	2	12	0	0	0	0	0	12	2	0	0	0	0	0	0	0	0
DNAH2	ENSG00000183914	ENST00000572933	protein_coding	0	0	2	12	0	0	0	0	0	12	2	0	0	0	0	0	0	0	0
DNAJC28	ENSG00000177692	ENST00000314399	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
DNAJC28	ENSG00000177692	ENST00000381947	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
DNAJC28	ENSG00000177692	ENST00000402202	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
DNASE1	ENSG00000213918	ENST00000575479	protein_coding	0	0	0	20	1	0	0	4	0	15	0	0	0	0	0	0	0	0	0
DPYD	ENSG00000188641	ENST00000370192	protein_coding	0	0	0	22	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0
DSCAM	ENSG00000171587	ENST00000400454	protein_coding	1	4	2	112	0	0	0	0	0	115	2	0	1	2	0	0	0	2	0
DSCAM	ENSG00000171587	ENST00000404019	protein_coding	1	4	2	112	0	0	0	0	0	115	2	0	1	2	0	0	0	2	0
EFR3B	ENSG00000084710	ENST00000401432	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
EFR3B	ENSG00000084710	ENST00000402191	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
EFR3B	ENSG00000084710	ENST00000403714	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000275493	protein_coding	0	0	0	41	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000342916	protein_coding	0	0	0	41	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000344576	protein_coding	0	0	0	41	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0
