# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
BCL10	ENSG00000142867	ENST00000620248	protein_coding	2	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0
BCL10	ENSG00000142867	ENST00000648566	protein_coding	2	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0
BCL2	ENSG00000171791	ENST00000333681	protein_coding	0	4	3	5	0	1	4	0	0	0	0	0	3	0	0	0	3	1
BCL2	ENSG00000171791	ENST00000398117	protein_coding	0	4	3	5	0	1	4	0	0	0	0	0	3	0	0	0	3	1
BCL2	ENSG00000171791	ENST00000589955	protein_coding	0	4	3	5	0	1	2	0	0	0	0	0	3	0	0	0	3	3
BCL6	ENSG00000113916	ENST00000232014	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
BCL6	ENSG00000113916	ENST00000406870	protein_coding	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0
BCL6	ENSG00000113916	ENST00000438077	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4
BCL6	ENSG00000113916	ENST00000621333	protein_coding	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0
BIRC3	ENSG00000023445	ENST00000263464	protein_coding	1	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0
BIRC3	ENSG00000023445	ENST00000526421	protein_coding	1	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0
BIRC3	ENSG00000023445	ENST00000527309	protein_coding	1	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0
BIRC3	ENSG00000023445	ENST00000532808	protein_coding	1	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0
BIRC3	ENSG00000023445	ENST00000615299	protein_coding	1	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0
BIRC3	ENSG00000023445	ENST00000673846	protein_coding	1	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0
BIRC6	ENSG00000115760	ENST00000421745	protein_coding	1	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
BIRC6	ENSG00000115760	ENST00000648282	protein_coding	1	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
BTK	ENSG00000010671	ENST00000308731	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BTK	ENSG00000010671	ENST00000372880	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BTK	ENSG00000010671	ENST00000621635	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BYSL	ENSG00000112578	ENST00000230340	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000524755	protein_coding	0	0	0	3	1	0	0	0	0	0	0	2	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000525729	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000615746	protein_coding	0	0	0	3	1	0	0	0	0	0	0	2	0	0	0	0	0	0
CARD11	ENSG00000198286	ENST00000355508	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CARD11	ENSG00000198286	ENST00000356408	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CARD11	ENSG00000198286	ENST00000396946	protein_coding	2	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
CCND1	ENSG00000110092	ENST00000227507	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CCND1	ENSG00000110092	ENST00000536559	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CCND3	ENSG00000112576	ENST00000372987	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CCND3	ENSG00000112576	ENST00000372988	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CCND3	ENSG00000112576	ENST00000372991	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CCND3	ENSG00000112576	ENST00000414200	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CCND3	ENSG00000112576	ENST00000415497	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CCND3	ENSG00000112576	ENST00000502771	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0
CCND3	ENSG00000112576	ENST00000505064	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0
CCND3	ENSG00000112576	ENST00000508143	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0
CCND3	ENSG00000112576	ENST00000510503	protein_coding	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
CCND3	ENSG00000112576	ENST00000511642	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CCND3	ENSG00000112576	ENST00000512426	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0
CCND3	ENSG00000112576	ENST00000514588	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0
CCND3	ENSG00000112576	ENST00000616010	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CD79B	ENSG00000007312	ENST00000006750	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CD79B	ENSG00000007312	ENST00000349817	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CD79B	ENSG00000007312	ENST00000392795	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CDKN1A	ENSG00000124762	ENST00000244741	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CDKN1A	ENSG00000124762	ENST00000373711	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CDKN1A	ENSG00000124762	ENST00000405375	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CDKN1A	ENSG00000124762	ENST00000448526	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CDKN1A	ENSG00000124762	ENST00000615513	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CREBBP	ENSG00000005339	ENST00000262367	protein_coding	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0
CREBBP	ENSG00000005339	ENST00000382070	protein_coding	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0
CREBBP	ENSG00000005339	ENST00000570939	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CREBBP	ENSG00000005339	ENST00000573517	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CREBBP	ENSG00000005339	ENST00000637492	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CXCR4	ENSG00000121966	ENST00000241393	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CXCR4	ENSG00000121966	ENST00000409817	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
DNMT3A	ENSG00000119772	ENST00000264709	protein_coding	2	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0
DNMT3A	ENSG00000119772	ENST00000321117	protein_coding	2	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0
DNMT3A	ENSG00000119772	ENST00000380746	protein_coding	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0
DNMT3A	ENSG00000119772	ENST00000402667	protein_coding	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0
DNMT3A	ENSG00000119772	ENST00000406659	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DNMT3A	ENSG00000119772	ENST00000470983	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DNMT3A	ENSG00000119772	ENST00000683760	protein_coding	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0
DNMT3B	ENSG00000088305	ENST00000201963	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DNMT3B	ENSG00000088305	ENST00000328111	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DNMT3B	ENSG00000088305	ENST00000348286	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DNMT3B	ENSG00000088305	ENST00000353855	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DNMT3B	ENSG00000088305	ENST00000443239	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DNMT3B	ENSG00000088305	ENST00000456297	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000285938	ENSG00000285938	ENST00000648485	protein_coding	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	5
ENSG00000285947	ENSG00000285947	ENST00000647774	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
EP300	ENSG00000100393	ENST00000263253	protein_coding	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0
EP300	ENSG00000100393	ENST00000634690	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
EP300	ENSG00000100393	ENST00000674155	protein_coding	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0
EZH2	ENSG00000106462	ENST00000320356	protein_coding	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
EZH2	ENSG00000106462	ENST00000350995	protein_coding	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
EZH2	ENSG00000106462	ENST00000460911	protein_coding	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
EZH2	ENSG00000106462	ENST00000476773	protein_coding	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
EZH2	ENSG00000106462	ENST00000478654	protein_coding	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
EZH2	ENSG00000106462	ENST00000483967	protein_coding	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
GNA13	ENSG00000120063	ENST00000439174	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GNA13	ENSG00000120063	ENST00000541118	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HRAS	ENSG00000174775	ENST00000311189	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
HRAS	ENSG00000174775	ENST00000397594	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
HRAS	ENSG00000174775	ENST00000397596	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
HRAS	ENSG00000174775	ENST00000417302	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
HRAS	ENSG00000174775	ENST00000451590	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
HRAS	ENSG00000174775	ENST00000468682	protein_coding	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
IGHA2	ENSG00000211890	ENST00000390539	IG_C_gene	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
IGHA2	ENSG00000211890	ENST00000497872	IG_C_gene	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
IGHD1-1	ENSG00000236170	ENST00000454908	IG_D_gene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IGHD1-20	ENSG00000237020	ENST00000450276	IG_D_gene	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	1
IGHD1-26	ENSG00000211907	ENST00000390567	IG_D_gene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IGHD1-7	ENSG00000237197	ENST00000430425	IG_D_gene	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IGHD2-2	ENSG00000211931	ENST00000390591	IG_D_gene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IGHD2-21	ENSG00000211912	ENST00000390572	IG_D_gene	0	0	0	6	0	0	0	0	0	4	0	0	0	0	0	0	0	2
IGHD2-8	ENSG00000211925	ENST00000390585	IG_D_gene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IGHD3-16	ENSG00000211917	ENST00000390577	IG_D_gene	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IGHD3-22	ENSG00000211911	ENST00000390571	IG_D_gene	0	0	1	4	0	0	0	0	0	0	0	0	1	1	0	0	0	4
IGHD3-3	ENSG00000211930	ENST00000390590	IG_D_gene	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IGHD4-17	ENSG00000227800	ENST00000431870	IG_D_gene	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IGHD4-23	ENSG00000227196	ENST00000437320	IG_D_gene	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5
IGHD4-4	ENSG00000233655	ENST00000414852	IG_D_gene	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IGHD5-18	ENSG00000211915	ENST00000390575	IG_D_gene	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0
IGHD5-24	ENSG00000211909	ENST00000390569	IG_D_gene	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5
IGHD5-5	ENSG00000211928	ENST00000390588	IG_D_gene	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IGHD6-19	ENSG00000211914	ENST00000390574	IG_D_gene	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0
IGHD6-25	ENSG00000225825	ENST00000452198	IG_D_gene	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
IGHD6-6	ENSG00000228131	ENST00000454691	IG_D_gene	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IGHD7-27	ENSG00000236597	ENST00000439842	IG_D_gene	0	0	0	15	0	0	0	0	0	15	0	0	0	0	0	0	0	0
IGHE	ENSG00000211891	ENST00000390541	IG_C_gene	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	13
IGHE	ENSG00000211891	ENST00000641420	IG_C_gene	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	13
IGHG1	ENSG00000211896	ENST00000390542	IG_C_gene	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	7
IGHG1	ENSG00000211896	ENST00000390548	IG_C_gene	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	7
IGHG1	ENSG00000211896	ENST00000390549	IG_C_gene	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	7
IGHG2	ENSG00000211893	ENST00000390545	IG_C_gene	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
IGHG2	ENSG00000211893	ENST00000641095	IG_C_gene	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
IGHG3	ENSG00000211897	ENST00000390551	IG_C_gene	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	7
IGHG3	ENSG00000211897	ENST00000641136	IG_C_gene	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	7
IGHJ1	ENSG00000211905	ENST00000390565	IG_J_gene	0	0	0	16	0	0	0	0	0	16	0	0	0	0	0	0	0	0
IGHJ2	ENSG00000211904	ENST00000390564	IG_J_gene	0	0	0	16	0	0	0	0	0	14	0	0	0	0	0	0	0	2
IGHJ3	ENSG00000242887	ENST00000463911	IG_J_gene	0	0	0	17	0	0	0	0	0	14	0	0	0	0	0	0	0	3
IGHJ4	ENSG00000240041	ENST00000461719	IG_J_gene	0	0	0	18	0	0	0	0	0	14	0	0	0	0	0	0	0	4
IGHJ5	ENSG00000242472	ENST00000488476	IG_J_gene	0	0	0	19	0	0	0	0	0	15	0	0	0	0	0	0	0	4
IGHJ6	ENSG00000211900	ENST00000390560	IG_J_gene	0	0	0	20	0	0	0	0	0	15	0	0	0	0	0	0	0	5
IGHM	ENSG00000211899	ENST00000390559	IG_C_gene	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	12
IGHM	ENSG00000211899	ENST00000637539	IG_C_gene	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	12
IKBKB	ENSG00000104365	ENST00000520810	protein_coding	2	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0
IKBKB	ENSG00000104365	ENST00000520835	protein_coding	2	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0
IKBKB	ENSG00000104365	ENST00000522147	protein_coding	1	0	1	2	0	0	0	0	0	0	1	2	1	0	0	0	0	0
JAK1	ENSG00000162434	ENST00000342505	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
JAK1	ENSG00000162434	ENST00000671929	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
JAK1	ENSG00000162434	ENST00000671954	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
JAK1	ENSG00000162434	ENST00000672179	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
JAK1	ENSG00000162434	ENST00000672247	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
JAK1	ENSG00000162434	ENST00000672434	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
JAK1	ENSG00000162434	ENST00000672574	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
JAK1	ENSG00000162434	ENST00000673046	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
JAK1	ENSG00000162434	ENST00000673246	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
JAK1	ENSG00000162434	ENST00000673254	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
JAK1	ENSG00000162434	ENST00000673502	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
JAK2	ENSG00000096968	ENST00000381652	protein_coding	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
JAK2	ENSG00000096968	ENST00000636127	protein_coding	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
JAK3	ENSG00000105639	ENST00000458235	protein_coding	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
JAK3	ENSG00000105639	ENST00000527670	protein_coding	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
JAK3	ENSG00000105639	ENST00000534444	protein_coding	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
KMT2D	ENSG00000167548	ENST00000301067	protein_coding	3	1	3	0	0	0	0	0	1	0	3	0	2	0	0	0	1	0
KMT2D	ENSG00000167548	ENST00000650290	protein_coding	0	0	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	1
KMT2D	ENSG00000167548	ENST00000683543	protein_coding	3	1	3	0	0	0	0	0	1	0	3	0	2	0	0	0	1	0
KMT2D	ENSG00000167548	ENST00000685166	protein_coding	3	1	3	0	0	0	0	0	1	0	3	0	2	0	0	0	1	0
KMT2D	ENSG00000167548	ENST00000685554	protein_coding	0	0	1	3	0	0	0	0	1	0	0	1	0	0	0	0	0	2
KMT2D	ENSG00000167548	ENST00000685979	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
KMT2D	ENSG00000167548	ENST00000685982	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
KMT2D	ENSG00000167548	ENST00000686564	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
KMT2D	ENSG00000167548	ENST00000687201	protein_coding	0	0	2	4	0	0	0	0	1	1	0	0	1	0	0	0	0	3
KMT2D	ENSG00000167548	ENST00000689060	protein_coding	2	1	0	2	0	0	0	0	0	1	2	0	0	0	0	0	1	1
KMT2D	ENSG00000167548	ENST00000689944	protein_coding	2	1	0	2	0	0	0	0	0	1	2	0	0	0	0	0	1	1
KMT2D	ENSG00000167548	ENST00000691986	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
KMT2D	ENSG00000167548	ENST00000692637	protein_coding	3	1	3	0	0	0	0	0	1	0	3	0	2	0	0	0	1	0
LRRC56	ENSG00000161328	ENST00000270115	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
MALT1	ENSG00000172175	ENST00000345724	protein_coding	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
MALT1	ENSG00000172175	ENST00000591792	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
MALT1	ENSG00000172175	ENST00000649217	protein_coding	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
MAP3K14	ENSG00000006062	ENST00000344686	protein_coding	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0
MAP3K14	ENSG00000006062	ENST00000376926	protein_coding	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0
MAP3K14	ENSG00000006062	ENST00000617331	protein_coding	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0
MYC	ENSG00000136997	ENST00000259523	protein_coding	0	0	1	7	0	0	1	0	0	4	0	1	1	0	0	0	0	1
MYC	ENSG00000136997	ENST00000377970	protein_coding	0	0	1	7	2	0	1	0	0	2	0	1	1	0	0	0	0	1
MYC	ENSG00000136997	ENST00000517291	protein_coding	0	0	1	7	0	0	1	0	0	4	0	1	1	0	0	0	0	1
MYC	ENSG00000136997	ENST00000524013	protein_coding	0	0	1	7	2	0	1	0	0	2	0	1	1	0	0	0	0	1
MYC	ENSG00000136997	ENST00000621592	protein_coding	0	0	1	7	4	0	1	0	0	0	0	1	1	0	0	0	0	1
MYC	ENSG00000136997	ENST00000641036	protein_coding	0	1	0	5	0	0	0	0	0	4	0	0	0	0	0	0	1	1
MYC	ENSG00000136997	ENST00000641252	protein_coding	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	1
MYC	ENSG00000136997	ENST00000651626	protein_coding	0	0	1	7	2	0	0	0	0	2	0	2	1	0	0	0	0	1
MYC	ENSG00000136997	ENST00000652288	protein_coding	0	0	1	7	2	0	1	0	0	2	0	0	1	0	0	0	0	2
NOTCH1	ENSG00000148400	ENST00000651671	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NOTCH1	ENSG00000148400	ENST00000680133	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NOTCH1	ENSG00000148400	ENST00000680218	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NOTCH1	ENSG00000148400	ENST00000680668	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NOTCH1	ENSG00000148400	ENST00000680778	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NSD2	ENSG00000109685	ENST00000382888	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NSD2	ENSG00000109685	ENST00000382891	protein_coding	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0
NSD2	ENSG00000109685	ENST00000382892	protein_coding	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0
NSD2	ENSG00000109685	ENST00000382895	protein_coding	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0
NSD2	ENSG00000109685	ENST00000398261	protein_coding	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
NSD2	ENSG00000109685	ENST00000420906	protein_coding	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
NSD2	ENSG00000109685	ENST00000503128	protein_coding	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
NSD2	ENSG00000109685	ENST00000507820	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NSD2	ENSG00000109685	ENST00000508803	protein_coding	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0
NSD2	ENSG00000109685	ENST00000509115	protein_coding	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
