# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AKT1	ENSG00000142208	ENST00000683722	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000311278	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000392038	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000424901	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000476247	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000497948	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000578310	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000578615	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AKT2	ENSG00000105221	ENST00000579047	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKT3	ENSG00000117020	ENST00000263826	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT3	ENSG00000117020	ENST00000336199	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT3	ENSG00000117020	ENST00000366539	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT3	ENSG00000117020	ENST00000366540	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT3	ENSG00000117020	ENST00000672578	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT3	ENSG00000117020	ENST00000673466	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT3	ENSG00000117020	ENST00000680056	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ALK	ENSG00000171094	ENST00000389048	protein_coding	2	1	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0
ALK	ENSG00000171094	ENST00000453137	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ALK	ENSG00000171094	ENST00000618119	protein_coding	1	1	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0
ALK	ENSG00000171094	ENST00000642122	protein_coding	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
APC	ENSG00000134982	ENST00000257430	protein_coding	1	1	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	1	0
APC	ENSG00000134982	ENST00000504915	protein_coding	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
APC	ENSG00000134982	ENST00000507379	protein_coding	0	0	2	5	0	0	0	0	0	4	0	1	2	0	0	0	0	0	0	0
APC	ENSG00000134982	ENST00000508376	protein_coding	1	1	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	1	0
APC	ENSG00000134982	ENST00000509732	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
APC	ENSG00000134982	ENST00000512211	protein_coding	1	0	3	3	0	0	0	0	0	3	0	0	3	0	0	0	0	1	0	0
ARHGEF1	ENSG00000076928	ENST00000347545	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ARHGEF1	ENSG00000076928	ENST00000354532	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ARHGEF1	ENSG00000076928	ENST00000599846	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ARID1A	ENSG00000117713	ENST00000324856	protein_coding	2	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000374152	protein_coding	2	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000430799	protein_coding	2	0	1	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000457599	protein_coding	1	0	2	1	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000524572	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000636219	protein_coding	2	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000637465	protein_coding	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
ASXL1	ENSG00000171456	ENST00000306058	protein_coding	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1
ASXL1	ENSG00000171456	ENST00000375687	protein_coding	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ASXL1	ENSG00000171456	ENST00000375689	protein_coding	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ASXL1	ENSG00000171456	ENST00000497249	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASXL1	ENSG00000171456	ENST00000613218	protein_coding	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ASXL1	ENSG00000171456	ENST00000620121	protein_coding	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ASXL1	ENSG00000171456	ENST00000643168	protein_coding	0	0	0	4	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0
ASXL1	ENSG00000171456	ENST00000645688	protein_coding	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1
ASXL1	ENSG00000171456	ENST00000646367	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASXL1	ENSG00000171456	ENST00000646985	protein_coding	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ASXL1	ENSG00000171456	ENST00000651418	protein_coding	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000452508	protein_coding	1	2	8	3	0	0	0	0	0	0	0	3	8	0	0	0	0	1	2	0
ATM	ENSG00000149311	ENST00000531525	protein_coding	0	0	2	3	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1
ATM	ENSG00000149311	ENST00000675843	protein_coding	1	2	8	3	0	0	0	0	0	0	0	3	8	0	0	0	0	1	2	0
ATP1B2	ENSG00000129244	ENST00000250111	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ATRX	ENSG00000085224	ENST00000373344	protein_coding	1	0	3	1	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0
ATRX	ENSG00000085224	ENST00000395603	protein_coding	1	0	3	1	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0
ATRX	ENSG00000085224	ENST00000400866	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ATRX	ENSG00000085224	ENST00000622960	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ATRX	ENSG00000085224	ENST00000623321	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ATRX	ENSG00000085224	ENST00000624032	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ATRX	ENSG00000085224	ENST00000624166	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
ATRX	ENSG00000085224	ENST00000624668	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ATRX	ENSG00000085224	ENST00000625063	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ATRX	ENSG00000085224	ENST00000675732	protein_coding	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
BCL10	ENSG00000142867	ENST00000620248	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
BCL10	ENSG00000142867	ENST00000648566	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
BCL2	ENSG00000171791	ENST00000333681	protein_coding	0	5	4	13	2	0	9	0	0	0	0	2	4	0	0	0	0	0	5	0
BCL2	ENSG00000171791	ENST00000398117	protein_coding	0	5	4	13	2	0	11	0	0	0	0	0	4	0	0	0	0	0	5	0
BCL2	ENSG00000171791	ENST00000589955	protein_coding	0	5	4	11	0	0	4	0	0	0	0	0	4	0	0	0	0	0	5	7
BCL2	ENSG00000171791	ENST00000590515	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
BCL2	ENSG00000171791	ENST00000678301	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCL6	ENSG00000113916	ENST00000232014	protein_coding	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4
BCL6	ENSG00000113916	ENST00000406870	protein_coding	0	1	0	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0
BCL6	ENSG00000113916	ENST00000438077	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
BCL6	ENSG00000113916	ENST00000450123	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BCL6	ENSG00000113916	ENST00000621333	protein_coding	0	1	0	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0
BIRC3	ENSG00000023445	ENST00000263464	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
BIRC3	ENSG00000023445	ENST00000526421	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
BIRC3	ENSG00000023445	ENST00000527309	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
BIRC3	ENSG00000023445	ENST00000532808	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
BIRC3	ENSG00000023445	ENST00000615299	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
BIRC3	ENSG00000023445	ENST00000673846	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
BIRC6	ENSG00000115760	ENST00000421745	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
BIRC6	ENSG00000115760	ENST00000648282	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
BRAF	ENSG00000157764	ENST00000288602	protein_coding	0	1	0	3	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0
BRAF	ENSG00000157764	ENST00000469930	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000496384	protein_coding	0	1	0	3	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0
BRAF	ENSG00000157764	ENST00000644969	protein_coding	0	1	0	3	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0
BRAF	ENSG00000157764	ENST00000646891	protein_coding	0	1	0	3	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0
BRCA1	ENSG00000012048	ENST00000352993	protein_coding	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
BRCA1	ENSG00000012048	ENST00000354071	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000357654	protein_coding	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
BRCA1	ENSG00000012048	ENST00000461574	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000468300	protein_coding	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
BRCA1	ENSG00000012048	ENST00000470026	protein_coding	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000471181	protein_coding	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
BRCA1	ENSG00000012048	ENST00000473961	protein_coding	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
BRCA1	ENSG00000012048	ENST00000476777	protein_coding	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000477152	protein_coding	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000478531	protein_coding	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
BRCA1	ENSG00000012048	ENST00000484087	protein_coding	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
BRCA1	ENSG00000012048	ENST00000487825	protein_coding	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
BRCA1	ENSG00000012048	ENST00000489037	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000491747	protein_coding	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
BRCA1	ENSG00000012048	ENST00000493795	protein_coding	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
BRCA1	ENSG00000012048	ENST00000493919	protein_coding	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
BRCA1	ENSG00000012048	ENST00000494123	protein_coding	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000497488	protein_coding	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000586385	protein_coding	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
BRCA1	ENSG00000012048	ENST00000591534	protein_coding	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
BRCA1	ENSG00000012048	ENST00000591849	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000634433	protein_coding	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000644379	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
BRCA1	ENSG00000012048	ENST00000644555	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000652672	protein_coding	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
BRCA2	ENSG00000139618	ENST00000380152	protein_coding	2	0	5	0	0	0	0	0	0	0	1	0	5	0	0	0	0	1	0	0
BRCA2	ENSG00000139618	ENST00000530893	protein_coding	1	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
BRCA2	ENSG00000139618	ENST00000544455	protein_coding	2	0	5	0	0	0	0	0	0	0	1	0	5	0	0	0	0	1	0	0
BRCA2	ENSG00000139618	ENST00000680887	protein_coding	2	0	5	0	0	0	0	0	0	0	1	0	5	0	0	0	0	1	0	0
BYSL	ENSG00000112578	ENST00000230340	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000524755	protein_coding	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000525729	protein_coding	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000615746	protein_coding	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
CBL	ENSG00000110395	ENST00000264033	protein_coding	0	1	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0
CBL	ENSG00000110395	ENST00000634301	protein_coding	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
CBL	ENSG00000110395	ENST00000634586	protein_coding	0	1	3	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0
CBL	ENSG00000110395	ENST00000634840	protein_coding	0	1	3	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0
CBL	ENSG00000110395	ENST00000637974	protein_coding	0	1	3	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0
CCND3	ENSG00000112576	ENST00000372987	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
CCND3	ENSG00000112576	ENST00000372988	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
CCND3	ENSG00000112576	ENST00000372991	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
CCND3	ENSG00000112576	ENST00000414200	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
CCND3	ENSG00000112576	ENST00000415497	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
CCND3	ENSG00000112576	ENST00000502771	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CCND3	ENSG00000112576	ENST00000505064	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CCND3	ENSG00000112576	ENST00000508143	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CCND3	ENSG00000112576	ENST00000510503	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CCND3	ENSG00000112576	ENST00000511642	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
CCND3	ENSG00000112576	ENST00000512426	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CCND3	ENSG00000112576	ENST00000514588	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CCND3	ENSG00000112576	ENST00000616010	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
CD79A	ENSG00000105369	ENST00000221972	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CD79A	ENSG00000105369	ENST00000444740	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CD79A	ENSG00000105369	ENST00000597454	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000304494	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000479692	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDKN2A	ENSG00000147889	ENST00000494262	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000497750	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDKN2A	ENSG00000147889	ENST00000498124	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000498628	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000530628	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000578845	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDKN2A	ENSG00000147889	ENST00000579122	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000579755	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CDKN2B	ENSG00000147883	ENST00000276925	protein_coding	2	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
CDKN2B	ENSG00000147883	ENST00000380142	protein_coding	2	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
CEBPA	ENSG00000245848	ENST00000498907	protein_coding	1	0	1	2	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0
CHD7	ENSG00000171316	ENST00000423902	protein_coding	3	0	7	8	0	0	0	0	0	0	2	8	7	0	0	1	0	1	0	0
CHD7	ENSG00000171316	ENST00000524602	protein_coding	1	0	1	15	0	0	0	0	0	0	1	15	1	0	0	0	0	0	0	0
CHD7	ENSG00000171316	ENST00000525508	protein_coding	1	0	2	5	0	0	0	0	0	0	1	5	2	0	0	0	0	0	0	0
CHD7	ENSG00000171316	ENST00000526846	protein_coding	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
COL11A2	ENSG00000204248	ENST00000341947	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
COL11A2	ENSG00000204248	ENST00000374708	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
COL11A2	ENSG00000204248	ENST00000395194	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CREBBP	ENSG00000005339	ENST00000262367	protein_coding	4	2	5	2	0	0	0	0	2	0	2	3	3	0	0	1	0	2	1	0
CREBBP	ENSG00000005339	ENST00000382070	protein_coding	4	2	5	2	0	0	0	0	2	0	2	3	3	0	0	1	0	2	1	0
CREBBP	ENSG00000005339	ENST00000570939	protein_coding	4	1	2	4	0	0	0	0	0	1	2	3	2	0	0	2	0	2	0	1
CREBBP	ENSG00000005339	ENST00000571826	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CREBBP	ENSG00000005339	ENST00000572134	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CREBBP	ENSG00000005339	ENST00000573517	protein_coding	0	0	1	7	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	4
CREBBP	ENSG00000005339	ENST00000637492	protein_coding	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
CSDE1	ENSG00000009307	ENST00000261443	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
