#Uploaded_variation	Location	Allele	Consequence	IMPACT	SYMBOL	Gene	Feature_type	Feature	BIOTYPE	EXON	INTRON	HGVSc	HGVSp	cDNA_position	CDS_position	Protein_position	Amino_acids	Codons	Existing_variation	DISTANCE	STRAND	FLAGS	SYMBOL_SOURCE	HGNC_ID	MANE_SELECT	MANE_PLUS_CLINICAL	TSL	APPRIS	SIFT	PolyPhen	AF	CLIN_SIG	SOMATIC	PHENO	PUBMED	MOTIF_NAME	MOTIF_POS	HIGH_INF_POS	MOTIF_SCORE_CHANGE	TRANSCRIPTION_FACTORS
.	1:2560686-2560694	-	non_coding_transcript_exon_variant	MODIFIER	TNFRSF14	ENSG00000157873	Transcript	ENST00000496064.5	retained_intron	5/5	-	-	-	632-639	-	-	-	-	-	-	1	-	HGNC	HGNC:11912	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
.	1:2560686-2560694	-	regulatory_region_variant	MODIFIER	-	-	RegulatoryFeature	ENSR00000918616	promoter	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.	1:26780401-26780402	-	frameshift_variant	HIGH	ARID1A	ENSG00000117713	Transcript	ENST00000324856.13	protein_coding	20/20	-	-	-	6893	6504	2168	V/X	gtG/gt	-	-	1	-	HGNC	HGNC:11110	NM_006015.6	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
.	1:26780401-26780402	-	frameshift_variant	HIGH	ARID1A	ENSG00000117713	Transcript	ENST00000374152.7	protein_coding	19/19	-	-	-	6106	5355	1785	V/X	gtG/gt	-	-	1	-	HGNC	HGNC:11110	-	-	5	P4	-	-	-	-	-	-	-	-	-	-	-	-
.	1:26780401-26780402	-	frameshift_variant	HIGH	ARID1A	ENSG00000117713	Transcript	ENST00000430799.7	protein_coding	20/20	-	-	-	5746	5352	1784	V/X	gtG/gt	-	-	1	-	HGNC	HGNC:11110	-	-	5	A2	-	-	-	-	-	-	-	-	-	-	-	-
.	1:26780401-26780402	-	frameshift_variant	HIGH	ARID1A	ENSG00000117713	Transcript	ENST00000457599.6	protein_coding	20/20	-	-	-	5853	5853	1951	V/X	gtG/gt	-	-	1	-	HGNC	HGNC:11110	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
.	1:26780401-26780402	-	3_prime_UTR_variant,NMD_transcript_variant	MODIFIER	ARID1A	ENSG00000117713	Transcript	ENST00000466382.2	nonsense_mediated_decay	6/6	-	-	-	1921	-	-	-	-	-	-	1	cds_start_NF	HGNC	HGNC:11110	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
.	1:26780401-26780402	-	3_prime_UTR_variant,NMD_transcript_variant	MODIFIER	ARID1A	ENSG00000117713	Transcript	ENST00000532781.1	nonsense_mediated_decay	4/4	-	-	-	2002	-	-	-	-	-	-	1	cds_start_NF	HGNC	HGNC:11110	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
.	1:26780401-26780402	-	frameshift_variant	HIGH	ARID1A	ENSG00000117713	Transcript	ENST00000636219.1	protein_coding	19/19	-	-	-	5358	5358	1786	V/X	gtG/gt	-	-	1	cds_start_NF	HGNC	HGNC:11110	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
.	1:26780401-26780402	-	non_coding_transcript_exon_variant	MODIFIER	ARID1A	ENSG00000117713	Transcript	ENST00000637788.1	retained_intron	1/1	-	-	-	2304	-	-	-	-	-	-	1	-	HGNC	HGNC:11110	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.	11:108284255-108284255	G	missense_variant,NMD_transcript_variant	MODERATE	ATM	ENSG00000149311	Transcript	ENST00000278616.9	nonsense_mediated_decay	26/64	-	-	-	4081	3775	1259	L/V	Ctg/Gtg	COSV53784615	-	1	-	HGNC	HGNC:795	-	-	5	-	deleterious_low_confidence(0)	possibly_damaging(0.859)	-	-	1	1	-	-	-	-	-	-
.	11:108284255-108284255	G	missense_variant	MODERATE	ATM	ENSG00000149311	Transcript	ENST00000452508.6	protein_coding	27/64	-	-	-	3964	3775	1259	L/V	Ctg/Gtg	COSV53784615	-	1	-	HGNC	HGNC:795	-	-	1	P1	deleterious_low_confidence(0)	possibly_damaging(0.859)	-	-	1	1	-	-	-	-	-	-
.	11:108284255-108284255	G	upstream_gene_variant	MODIFIER	ATM	ENSG00000149311	Transcript	ENST00000524792.5	retained_intron	-	-	-	-	-	-	-	-	-	COSV53784615	3137	1	-	HGNC	HGNC:795	-	-	2	-	-	-	-	-	1	1	-	-	-	-	-	-
.	11:108284255-108284255	G	missense_variant,NMD_transcript_variant	MODERATE	ATM	ENSG00000149311	Transcript	ENST00000527805.6	nonsense_mediated_decay	26/61	-	-	-	3924	3775	1259	L/V	Ctg/Gtg	COSV53784615	-	1	-	HGNC	HGNC:795	-	-	1	-	deleterious_low_confidence(0)	possibly_damaging(0.892)	-	-	1	1	-	-	-	-	-	-
.	11:108284255-108284255	G	upstream_gene_variant	MODIFIER	ATM	ENSG00000149311	Transcript	ENST00000531525.2	protein_coding	-	-	-	-	-	-	-	-	-	COSV53784615	3345	1	cds_start_NF	HGNC	HGNC:795	-	-	1	-	-	-	-	-	1	1	-	-	-	-	-	-
.	11:108284255-108284255	G	upstream_gene_variant	MODIFIER	ATM	ENSG00000149311	Transcript	ENST00000533733.6	retained_intron	-	-	-	-	-	-	-	-	-	COSV53784615	2089	1	-	HGNC	HGNC:795	-	-	1	-	-	-	-	-	1	1	-	-	-	-	-	-
.	11:108284255-108284255	G	missense_variant,NMD_transcript_variant	MODERATE	ATM	ENSG00000149311	Transcript	ENST00000675595.1	nonsense_mediated_decay	25/62	-	-	-	3742	3610	1204	L/V	Ctg/Gtg	COSV53784615	-	1	-	HGNC	HGNC:795	-	-	-	-	deleterious_low_confidence(0)	possibly_damaging(0.847)	-	-	1	1	-	-	-	-	-	-
.	11:108284255-108284255	G	missense_variant	MODERATE	ATM	ENSG00000149311	Transcript	ENST00000675843.1	protein_coding	26/63	-	-	-	3925	3775	1259	L/V	Ctg/Gtg	COSV53784615	-	1	-	HGNC	HGNC:795	NM_000051.4	-	-	P1	deleterious_low_confidence(0)	possibly_damaging(0.859)	-	-	1	1	-	-	-	-	-	-
.	11:108284255-108284255	G	non_coding_transcript_exon_variant	MODIFIER	ATM	ENSG00000149311	Transcript	ENST00000682289.1	retained_intron	2/2	-	-	-	122	-	-	-	-	COSV53784615	-	1	-	HGNC	HGNC:795	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-
.	11:108284255-108284255	G	non_coding_transcript_exon_variant	MODIFIER	ATM	ENSG00000149311	Transcript	ENST00000683174.1	retained_intron	26/63	-	-	-	3925	-	-	-	-	COSV53784615	-	1	-	HGNC	HGNC:795	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-
.	14:105602393-105602404	-	upstream_gene_variant	MODIFIER	IGHE	ENSG00000211891	Transcript	ENST00000390541.2	IG_C_gene	-	-	-	-	-	-	-	-	-	-	666	-1	cds_start_NF	HGNC	HGNC:5522	-	-	-	A2	-	-	-	-	-	-	-	-	-	-	-	-
.	14:105602393-105602404	-	upstream_gene_variant	MODIFIER	IGHE	ENSG00000211891	Transcript	ENST00000641420.1	IG_C_gene	-	-	-	-	-	-	-	-	-	-	666	-1	cds_start_NF	HGNC	HGNC:5522	-	-	-	P4	-	-	-	-	-	-	-	-	-	-	-	-
.	14:105605068-105605069	-	upstream_gene_variant	MODIFIER	IGHE	ENSG00000211891	Transcript	ENST00000390541.2	IG_C_gene	-	-	-	-	-	-	-	-	-	-	3341	-1	cds_start_NF	HGNC	HGNC:5522	-	-	-	A2	-	-	-	-	-	-	-	-	-	-	-	-
.	14:105605068-105605069	-	upstream_gene_variant	MODIFIER	IGHE	ENSG00000211891	Transcript	ENST00000641420.1	IG_C_gene	-	-	-	-	-	-	-	-	-	-	3341	-1	cds_start_NF	HGNC	HGNC:5522	-	-	-	P4	-	-	-	-	-	-	-	-	-	-	-	-
.	14:105605068-105605069	-	regulatory_region_variant	MODIFIER	-	-	RegulatoryFeature	ENSR00000989774	enhancer	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.	14:105746090-105746090	C	upstream_gene_variant	MODIFIER	IGHG1	ENSG00000211896	Transcript	ENST00000390542.6	IG_C_gene	-	-	-	-	-	-	-	-	-	-	3019	-1	cds_start_NF	HGNC	HGNC:5525	-	-	-	A2	-	-	-	-	-	-	-	-	-	-	-	-
.	14:105746090-105746090	C	upstream_gene_variant	MODIFIER	IGHG1	ENSG00000211896	Transcript	ENST00000390548.6	IG_C_gene	-	-	-	-	-	-	-	-	-	-	3019	-1	cds_start_NF	HGNC	HGNC:5525	-	-	-	P4	-	-	-	-	-	-	-	-	-	-	-	-
.	14:105746090-105746090	C	upstream_gene_variant	MODIFIER	IGHG1	ENSG00000211896	Transcript	ENST00000390549.6	IG_C_gene	-	-	-	-	-	-	-	-	-	-	3019	-1	cds_start_NF	HGNC	HGNC:5525	-	-	-	A2	-	-	-	-	-	-	-	-	-	-	-	-
.	14:105886033-105886033	G	upstream_gene_variant	MODIFIER	IGHD1-26	ENSG00000211907	Transcript	ENST00000390567.1	IG_D_gene	-	-	-	-	-	-	-	-	-	rs782753089	4980	-1	cds_start_NF,cds_end_NF	HGNC	HGNC:5485	-	-	-	P1	-	-	-	-	-	-	-	-	-	-	-	-
.	14:105886033-105886033	G	upstream_gene_variant	MODIFIER	IGHD5-24	ENSG00000211909	Transcript	ENST00000390569.1	IG_D_gene	-	-	-	-	-	-	-	-	-	rs782753089	2111	-1	cds_start_NF,cds_end_NF	HGNC	HGNC:5510	-	-	-	P1	-	-	-	-	-	-	-	-	-	-	-	-
.	14:105886033-105886033	G	missense_variant	MODERATE	IGHD3-22	ENSG00000211911	Transcript	ENST00000390571.1	IG_D_gene	1/1	-	-	-	29	29	10	L/P	cTa/cCa	rs782753089	-	-1	cds_start_NF,cds_end_NF	HGNC	HGNC:5497	-	-	-	P1	-	unknown(0)	-	-	-	-	-	-	-	-	-	-
.	14:105886033-105886033	G	downstream_gene_variant	MODIFIER	IGHD2-21	ENSG00000211912	Transcript	ENST00000390572.1	IG_D_gene	-	-	-	-	-	-	-	-	-	rs782753089	2518	-1	cds_start_NF,cds_end_NF	HGNC	HGNC:5491	-	-	-	P1	-	-	-	-	-	-	-	-	-	-	-	-
.	14:105886033-105886033	G	upstream_gene_variant	MODIFIER	-	ENSG00000244620	Transcript	ENST00000414005.1	lncRNA	-	-	-	-	-	-	-	-	-	rs782753089	4051	1	-	-	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-
.	14:105886033-105886033	G	upstream_gene_variant	MODIFIER	IGHD4-23	ENSG00000227196	Transcript	ENST00000437320.1	IG_D_gene	-	-	-	-	-	-	-	-	-	rs782753089	1145	-1	cds_start_NF,cds_end_NF	HGNC	HGNC:5504	-	-	-	P1	-	-	-	-	-	-	-	-	-	-	-	-
.	14:105886033-105886033	G	upstream_gene_variant	MODIFIER	IGHD6-25	ENSG00000225825	Transcript	ENST00000452198.1	IG_D_gene	-	-	-	-	-	-	-	-	-	rs782753089	4477	-1	cds_start_NF,cds_end_NF	HGNC	HGNC:5516	-	-	-	P1	-	-	-	-	-	-	-	-	-	-	-	-
.	14:105886033-105886033	G	intron_variant,non_coding_transcript_variant	MODIFIER	FAM30A	ENSG00000226777	Transcript	ENST00000619942.5	lncRNA	-	1/3	-	-	-	-	-	-	-	rs782753089	-	1	-	HGNC	HGNC:19955	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
.	14:105886033-105886033	G	intron_variant,non_coding_transcript_variant	MODIFIER	FAM30A	ENSG00000226777	Transcript	ENST00000689219.2	lncRNA	-	1/3	-	-	-	-	-	-	-	rs782753089	-	1	-	HGNC	HGNC:19955	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.	14:105886033-105886033	G	intron_variant,non_coding_transcript_variant	MODIFIER	FAM30A	ENSG00000226777	Transcript	ENST00000693413.1	lncRNA	-	1/5	-	-	-	-	-	-	-	rs782753089	-	1	-	HGNC	HGNC:19955	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.	14:105886033-105886033	G	intron_variant,non_coding_transcript_variant	MODIFIER	FAM30A	ENSG00000226777	Transcript	ENST00000701882.1	lncRNA	-	1/3	-	-	-	-	-	-	-	rs782753089	-	1	-	HGNC	HGNC:19955	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.	14:105886033-105886033	G	intron_variant,non_coding_transcript_variant	MODIFIER	FAM30A	ENSG00000226777	Transcript	ENST00000701943.1	lncRNA	-	1/3	-	-	-	-	-	-	-	rs782753089	-	1	-	HGNC	HGNC:19955	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.	17:42322489-42322489	A	missense_variant	MODERATE	STAT3	ENSG00000168610	Transcript	ENST00000264657.10	protein_coding	21/24	-	-	-	2081	1894	632	T/S	Acc/Tcc	-	-	-1	-	HGNC	HGNC:11364	NM_139276.3	-	1	P4	tolerated_low_confidence(0.13)	probably_damaging(0.982)	-	-	-	-	-	-	-	-	-	-
.	17:42322489-42322489	A	missense_variant	MODERATE	STAT3	ENSG00000168610	Transcript	ENST00000389272.7	protein_coding	20/23	-	-	-	1919	1600	534	T/S	Acc/Tcc	-	-	-1	-	HGNC	HGNC:11364	-	-	2	-	tolerated(0.14)	probably_damaging(0.982)	-	-	-	-	-	-	-	-	-	-
.	17:42322489-42322489	A	missense_variant	MODERATE	STAT3	ENSG00000168610	Transcript	ENST00000404395.3	protein_coding	21/24	-	-	-	2031	1894	632	T/S	Acc/Tcc	-	-	-1	-	HGNC	HGNC:11364	-	-	1	A1	tolerated_low_confidence(0.13)	probably_damaging(0.97)	-	-	-	-	-	-	-	-	-	-
.	17:42322489-42322489	A	upstream_gene_variant	MODIFIER	STAT3	ENSG00000168610	Transcript	ENST00000462269.1	retained_intron	-	-	-	-	-	-	-	-	-	-	4927	-1	-	HGNC	HGNC:11364	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
.	17:42322489-42322489	A	upstream_gene_variant	MODIFIER	STAT3	ENSG00000168610	Transcript	ENST00000462286.3	protein_coding_CDS_not_defined	-	-	-	-	-	-	-	-	-	-	4974	-1	-	HGNC	HGNC:11364	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.	17:42322489-42322489	A	downstream_gene_variant	MODIFIER	STAT3	ENSG00000168610	Transcript	ENST00000471989.5	retained_intron	-	-	-	-	-	-	-	-	-	-	546	-1	-	HGNC	HGNC:11364	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
.	17:42322489-42322489	A	upstream_gene_variant	MODIFIER	STAT3	ENSG00000168610	Transcript	ENST00000491272.2	protein_coding_CDS_not_defined	-	-	-	-	-	-	-	-	-	-	2416	-1	-	HGNC	HGNC:11364	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
.	17:42322489-42322489	A	downstream_gene_variant	MODIFIER	STAT3	ENSG00000168610	Transcript	ENST00000498330.1	retained_intron	-	-	-	-	-	-	-	-	-	-	575	-1	-	HGNC	HGNC:11364	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
.	17:42322489-42322489	A	missense_variant	MODERATE	STAT3	ENSG00000168610	Transcript	ENST00000585517.5	protein_coding	21/24	-	-	-	2059	1894	632	T/S	Acc/Tcc	-	-	-1	-	HGNC	HGNC:11364	-	-	5	-	tolerated_low_confidence(0.14)	benign(0.392)	-	-	-	-	-	-	-	-	-	-
.	17:42322489-42322489	A	missense_variant	MODERATE	STAT3	ENSG00000168610	Transcript	ENST00000588969.5	protein_coding	21/24	-	-	-	2099	1894	632	T/S	Acc/Tcc	-	-	-1	-	HGNC	HGNC:11364	-	-	1	P4	tolerated_low_confidence(0.13)	probably_damaging(0.982)	-	-	-	-	-	-	-	-	-	-
.	17:42322489-42322489	A	3_prime_UTR_variant,NMD_transcript_variant	MODIFIER	STAT3	ENSG00000168610	Transcript	ENST00000676636.1	nonsense_mediated_decay	21/24	-	-	-	2182	-	-	-	-	-	-	-1	-	HGNC	HGNC:11364	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.	17:42322489-42322489	A	missense_variant	MODERATE	STAT3	ENSG00000168610	Transcript	ENST00000677002.1	protein_coding	20/23	-	-	-	1867	1867	623	T/S	Acc/Tcc	-	-	-1	-	HGNC	HGNC:11364	-	-	-	-	tolerated_low_confidence(0.13)	benign(0.209)	-	-	-	-	-	-	-	-	-	-
.	17:42322489-42322489	A	missense_variant	MODERATE	STAT3	ENSG00000168610	Transcript	ENST00000677030.1	protein_coding	21/24	-	-	-	2144	1894	632	T/S	Acc/Tcc	-	-	-1	-	HGNC	HGNC:11364	-	-	-	-	tolerated_low_confidence(0.14)	benign(0.392)	-	-	-	-	-	-	-	-	-	-
.	17:42322489-42322489	A	missense_variant	MODERATE	STAT3	ENSG00000168610	Transcript	ENST00000677152.1	protein_coding	21/24	-	-	-	2094	1894	632	T/S	Acc/Tcc	-	-	-1	-	HGNC	HGNC:11364	-	-	-	A1	tolerated_low_confidence(0.14)	benign(0.392)	-	-	-	-	-	-	-	-	-	-
.	17:42322489-42322489	A	non_coding_transcript_exon_variant	MODIFIER	STAT3	ENSG00000168610	Transcript	ENST00000677270.1	retained_intron	6/6	-	-	-	1347	-	-	-	-	-	-	-1	-	HGNC	HGNC:11364	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.	17:42322489-42322489	A	3_prime_UTR_variant,NMD_transcript_variant	MODIFIER	STAT3	ENSG00000168610	Transcript	ENST00000677271.1	nonsense_mediated_decay	19/22	-	-	-	1846	-	-	-	-	-	-	-1	-	HGNC	HGNC:11364	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.	17:42322489-42322489	A	3_prime_UTR_variant,NMD_transcript_variant	MODIFIER	STAT3	ENSG00000168610	Transcript	ENST00000677308.1	nonsense_mediated_decay	21/23	-	-	-	2209	-	-	-	-	-	-	-1	-	HGNC	HGNC:11364	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.	17:42322489-42322489	A	upstream_gene_variant	MODIFIER	STAT3	ENSG00000168610	Transcript	ENST00000677346.1	protein_coding_CDS_not_defined	-	-	-	-	-	-	-	-	-	-	4786	-1	-	HGNC	HGNC:11364	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.	17:42322489-42322489	A	missense_variant	MODERATE	STAT3	ENSG00000168610	Transcript	ENST00000677421.1	protein_coding	20/23	-	-	-	2168	1990	664	T/S	Acc/Tcc	-	-	-1	-	HGNC	HGNC:11364	-	-	-	-	tolerated_low_confidence(0.12)	benign(0.019)	-	-	-	-	-	-	-	-	-	-
.	17:42322489-42322489	A	missense_variant	MODERATE	STAT3	ENSG00000168610	Transcript	ENST00000677442.1	protein_coding	21/24	-	-	-	2086	1867	623	T/S	Acc/Tcc	-	-	-1	-	HGNC	HGNC:11364	-	-	-	-	tolerated_low_confidence(0.14)	benign(0.209)	-	-	-	-	-	-	-	-	-	-
.	17:42322489-42322489	A	missense_variant	MODERATE	STAT3	ENSG00000168610	Transcript	ENST00000677479.1	protein_coding	21/24	-	-	-	2091	1894	632	T/S	Acc/Tcc	-	-	-1	-	HGNC	HGNC:11364	-	-	-	-	tolerated_low_confidence(0.14)	benign(0.392)	-	-	-	-	-	-	-	-	-	-
.	17:42322489-42322489	A	upstream_gene_variant	MODIFIER	STAT3	ENSG00000168610	Transcript	ENST00000677500.1	protein_coding_CDS_not_defined	-	-	-	-	-	-	-	-	-	-	2416	-1	-	HGNC	HGNC:11364	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.	17:42322489-42322489	A	missense_variant	MODERATE	STAT3	ENSG00000168610	Transcript	ENST00000677603.1	protein_coding	21/23	-	-	-	2094	1894	632	T/S	Acc/Tcc	-	-	-1	-	HGNC	HGNC:11364	-	-	-	-	tolerated_low_confidence(0.14)	benign(0.265)	-	-	-	-	-	-	-	-	-	-
.	17:42322489-42322489	A	missense_variant	MODERATE	STAT3	ENSG00000168610	Transcript	ENST00000677723.1	protein_coding	21/24	-	-	-	2094	1894	632	T/S	Acc/Tcc	-	-	-1	-	HGNC	HGNC:11364	-	-	-	A1	tolerated_low_confidence(0.13)	probably_damaging(0.97)	-	-	-	-	-	-	-	-	-	-
.	17:42322489-42322489	A	non_coding_transcript_exon_variant	MODIFIER	STAT3	ENSG00000168610	Transcript	ENST00000677763.1	retained_intron	21/23	-	-	-	2094	-	-	-	-	-	-	-1	-	HGNC	HGNC:11364	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.	17:42322489-42322489	A	3_prime_UTR_variant,NMD_transcript_variant	MODIFIER	STAT3	ENSG00000168610	Transcript	ENST00000677820.1	nonsense_mediated_decay	21/24	-	-	-	2236	-	-	-	-	-	-	-1	-	HGNC	HGNC:11364	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.	17:42322489-42322489	A	missense_variant	MODERATE	STAT3	ENSG00000168610	Transcript	ENST00000678043.1	protein_coding	21/24	-	-	-	2094	1873	625	T/S	Acc/Tcc	-	-	-1	-	HGNC	HGNC:11364	-	-	-	-	tolerated_low_confidence(0.13)	benign(0.209)	-	-	-	-	-	-	-	-	-	-
.	17:42322489-42322489	A	missense_variant	MODERATE	STAT3	ENSG00000168610	Transcript	ENST00000678044.1	protein_coding	21/24	-	-	-	2160	1894	632	T/S	Acc/Tcc	-	-	-1	-	HGNC	HGNC:11364	-	-	-	P4	tolerated_low_confidence(0.13)	probably_damaging(0.982)	-	-	-	-	-	-	-	-	-	-
