# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
BRCA1	ENSG00000012048	ENST00000478531	protein_coding	0	0	0	7	0	0	0	0	0	0	7	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000484087	protein_coding	0	0	0	7	0	0	0	0	0	0	7	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000487825	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000491747	protein_coding	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000493795	protein_coding	0	0	2	6	0	0	0	0	0	0	6	2	0	0	0	0
BRCA1	ENSG00000012048	ENST00000493919	protein_coding	0	0	0	7	0	0	0	0	0	0	7	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000494123	protein_coding	0	0	1	3	0	0	0	0	1	0	2	1	0	0	0	0
BRCA1	ENSG00000012048	ENST00000497488	protein_coding	0	0	1	3	0	0	0	0	1	0	2	1	0	0	0	0
BRCA1	ENSG00000012048	ENST00000586385	protein_coding	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000591534	protein_coding	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000591849	protein_coding	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000634433	protein_coding	0	0	2	2	0	0	0	0	0	0	2	2	0	0	0	0
BRCA1	ENSG00000012048	ENST00000644379	protein_coding	0	0	0	7	0	0	0	0	0	0	4	0	0	0	0	3
BRCA1	ENSG00000012048	ENST00000652672	protein_coding	0	0	1	3	0	0	0	0	1	0	2	1	0	0	0	0
BRCA2	ENSG00000139618	ENST00000380152	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
BRCA2	ENSG00000139618	ENST00000544455	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
BRCA2	ENSG00000139618	ENST00000680887	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
C11orf65	ENSG00000166323	ENST00000525729	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
CCND1	ENSG00000110092	ENST00000227507	protein_coding	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0
CCND1	ENSG00000110092	ENST00000536559	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
CCNE1	ENSG00000105173	ENST00000262643	protein_coding	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0
CCNE1	ENSG00000105173	ENST00000357943	protein_coding	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0
CCNE1	ENSG00000105173	ENST00000444983	protein_coding	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0
CCNE1	ENSG00000105173	ENST00000575243	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
CCNE1	ENSG00000105173	ENST00000576532	protein_coding	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0
CDK6	ENSG00000105810	ENST00000265734	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CDK6	ENSG00000105810	ENST00000424848	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CDKN1B	ENSG00000111276	ENST00000228872	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
CDKN1B	ENSG00000111276	ENST00000396340	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
CDKN1B	ENSG00000111276	ENST00000442489	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CDKN1B	ENSG00000111276	ENST00000614874	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
CHEK1	ENSG00000149554	ENST00000278916	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CHEK1	ENSG00000149554	ENST00000427383	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CHEK1	ENSG00000149554	ENST00000428830	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CHEK1	ENSG00000149554	ENST00000438015	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CHEK1	ENSG00000149554	ENST00000532449	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CHEK1	ENSG00000149554	ENST00000534070	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CHEK1	ENSG00000149554	ENST00000544373	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CSF1R	ENSG00000182578	ENST00000286301	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CSF1R	ENSG00000182578	ENST00000511344	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CYP17A1	ENSG00000148795	ENST00000369887	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CYP17A1	ENSG00000148795	ENST00000638190	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CYP17A1	ENSG00000148795	ENST00000638272	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CYP17A1	ENSG00000148795	ENST00000638971	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CYP17A1	ENSG00000148795	ENST00000639393	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DIS3L2	ENSG00000144535	ENST00000273009	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
DIS3L2	ENSG00000144535	ENST00000325385	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
DPYD	ENSG00000188641	ENST00000370192	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
EGFR	ENSG00000146648	ENST00000275493	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
EGFR	ENSG00000146648	ENST00000342916	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
EGFR	ENSG00000146648	ENST00000344576	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
EGFR	ENSG00000146648	ENST00000420316	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
EGFR	ENSG00000146648	ENST00000450046	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
EGFR	ENSG00000146648	ENST00000454757	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000455089	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000282218	ENSG00000282218	ENST00000467125	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000282278	ENSG00000282278	ENST00000507166	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
ERBB2	ENSG00000141736	ENST00000269571	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ERBB2	ENSG00000141736	ENST00000406381	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ERBB2	ENSG00000141736	ENST00000445658	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ERBB2	ENSG00000141736	ENST00000541774	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ERBB2	ENSG00000141736	ENST00000578199	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ERBB2	ENSG00000141736	ENST00000578709	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ERBB2	ENSG00000141736	ENST00000584450	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ERBB2	ENSG00000141736	ENST00000584601	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ERCC5	ENSG00000134899	ENST00000652225	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
ERCC5	ENSG00000134899	ENST00000652613	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
ERG	ENSG00000157554	ENST00000288319	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ERG	ENSG00000157554	ENST00000398897	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ERG	ENSG00000157554	ENST00000398905	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ERG	ENSG00000157554	ENST00000398907	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ERG	ENSG00000157554	ENST00000398910	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ERG	ENSG00000157554	ENST00000398911	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ERG	ENSG00000157554	ENST00000398919	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ERG	ENSG00000157554	ENST00000417133	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ERG	ENSG00000157554	ENST00000442448	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ERG	ENSG00000157554	ENST00000453032	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ESR1	ENSG00000091831	ENST00000206249	protein_coding	0	2	0	6	0	0	0	0	0	0	4	0	0	0	2	2
ESR1	ENSG00000091831	ENST00000338799	protein_coding	0	2	0	6	0	0	0	0	0	0	4	0	0	0	2	2
ESR1	ENSG00000091831	ENST00000404742	protein_coding	0	1	0	10	0	0	0	0	0	0	10	0	0	0	1	0
ESR1	ENSG00000091831	ENST00000406599	protein_coding	0	2	0	6	0	0	0	0	0	0	4	0	0	0	2	2
ESR1	ENSG00000091831	ENST00000415488	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0
ESR1	ENSG00000091831	ENST00000427531	protein_coding	0	0	0	8	1	0	0	0	0	0	5	0	0	0	0	2
ESR1	ENSG00000091831	ENST00000440973	protein_coding	0	2	0	14	0	0	0	0	0	0	14	0	0	0	2	0
ESR1	ENSG00000091831	ENST00000443427	protein_coding	0	2	0	6	0	0	0	0	0	0	4	0	0	0	2	2
ESR1	ENSG00000091831	ENST00000446550	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	2
ESR1	ENSG00000091831	ENST00000456483	protein_coding	0	1	0	7	1	0	0	0	0	0	4	0	0	0	1	2
ETV6	ENSG00000139083	ENST00000266427	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4
ETV6	ENSG00000139083	ENST00000396373	protein_coding	0	1	0	15	0	0	0	0	0	0	15	0	0	0	1	0
ETV6	ENSG00000139083	ENST00000545027	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
EZR	ENSG00000092820	ENST00000337147	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
EZR	ENSG00000092820	ENST00000367075	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
FANCA	ENSG00000187741	ENST00000389301	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
FANCA	ENSG00000187741	ENST00000561722	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
FANCA	ENSG00000187741	ENST00000564475	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
FANCA	ENSG00000187741	ENST00000564870	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
FANCA	ENSG00000187741	ENST00000567879	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1
FANCA	ENSG00000187741	ENST00000568369	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
FANCD2	ENSG00000144554	ENST00000287647	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
FANCD2	ENSG00000144554	ENST00000419585	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
FANCD2	ENSG00000144554	ENST00000431693	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
FANCD2	ENSG00000144554	ENST00000625535	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
FANCD2	ENSG00000144554	ENST00000675286	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
FANCD2	ENSG00000144554	ENST00000676013	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
FANCG	ENSG00000221829	ENST00000378643	protein_coding	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0
FANCG	ENSG00000221829	ENST00000448890	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
FANCL	ENSG00000115392	ENST00000233741	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
FANCL	ENSG00000115392	ENST00000402135	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
FANCL	ENSG00000115392	ENST00000403295	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
FANCL	ENSG00000115392	ENST00000403676	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
FANCL	ENSG00000115392	ENST00000417361	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
FANCL	ENSG00000115392	ENST00000427708	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
FANCL	ENSG00000115392	ENST00000446381	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
FANCL	ENSG00000115392	ENST00000449070	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
FANCL	ENSG00000115392	ENST00000481670	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
FANCM	ENSG00000187790	ENST00000267430	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
FANCM	ENSG00000187790	ENST00000542564	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
FANCM	ENSG00000187790	ENST00000554809	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
FANCM	ENSG00000187790	ENST00000556250	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
FBXO11	ENSG00000138081	ENST00000402508	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
FBXO11	ENSG00000138081	ENST00000403359	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
FBXO11	ENSG00000138081	ENST00000405808	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
FBXO11	ENSG00000138081	ENST00000683894	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000326324	protein_coding	0	1	0	8	0	0	0	0	0	0	9	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000335922	protein_coding	0	1	0	8	0	0	0	0	0	0	9	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000341462	protein_coding	0	1	0	8	0	0	0	0	0	0	9	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000356207	protein_coding	0	1	0	8	0	0	0	0	0	0	9	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000397091	protein_coding	0	1	0	8	0	0	0	0	0	0	9	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000397103	protein_coding	0	1	0	5	0	0	0	0	0	0	2	0	1	0	0	4
FGFR1	ENSG00000077782	ENST00000397108	protein_coding	0	1	0	8	0	0	0	0	0	0	9	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000397113	protein_coding	0	1	0	8	0	0	0	0	0	0	9	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000413133	protein_coding	0	0	0	8	0	0	0	0	1	0	7	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000425967	protein_coding	0	1	0	8	0	0	0	0	0	0	9	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000434187	protein_coding	0	0	0	8	0	0	0	0	1	0	5	0	0	0	0	2
FGFR1	ENSG00000077782	ENST00000440174	protein_coding	0	0	0	7	0	0	0	0	0	0	4	0	0	0	0	3
FGFR1	ENSG00000077782	ENST00000447712	protein_coding	0	1	0	8	0	0	0	0	0	0	9	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000525001	protein_coding	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000526742	protein_coding	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000529552	protein_coding	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000530568	protein_coding	0	0	0	8	0	0	0	0	1	0	5	0	0	0	0	2
FGFR1	ENSG00000077782	ENST00000532791	protein_coding	0	1	0	8	0	0	0	0	0	0	9	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000533668	protein_coding	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000683765	protein_coding	0	1	0	8	0	0	0	0	0	0	9	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000683815	protein_coding	0	1	0	8	0	0	0	0	0	0	9	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000684654	protein_coding	0	1	0	8	0	0	0	0	0	0	9	0	1	0	0	0
FGFR2	ENSG00000066468	ENST00000336553	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000346997	protein_coding	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000351936	protein_coding	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000356226	protein_coding	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000357555	protein_coding	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0
FGFR2	ENSG00000066468	ENST00000358487	protein_coding	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000360144	protein_coding	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000369056	protein_coding	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000369058	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000369059	protein_coding	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000369060	protein_coding	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000369061	protein_coding	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000429361	protein_coding	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000457416	protein_coding	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000478859	protein_coding	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000613048	protein_coding	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000638709	protein_coding	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000682550	protein_coding	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000682772	protein_coding	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000683211	protein_coding	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0
