# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ATRX	ENSG00000085224	ENST00000624032	protein_coding	0	0	0	3	0	0	1	1	1	0	0	0	0	0
ATRX	ENSG00000085224	ENST00000624166	protein_coding	0	0	1	2	0	0	1	0	1	1	0	0	0	0
ATRX	ENSG00000085224	ENST00000624668	protein_coding	0	0	0	3	0	0	1	2	0	0	0	0	0	0
ATRX	ENSG00000085224	ENST00000625063	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0
AXIN2	ENSG00000168646	ENST00000307078	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
AXIN2	ENSG00000168646	ENST00000375702	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
AXIN2	ENSG00000168646	ENST00000618960	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
BARD1	ENSG00000138376	ENST00000260947	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
BARD1	ENSG00000138376	ENST00000421162	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
BARD1	ENSG00000138376	ENST00000613374	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
BARD1	ENSG00000138376	ENST00000613706	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
BARD1	ENSG00000138376	ENST00000617164	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
BARD1	ENSG00000138376	ENST00000619009	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
BARD1	ENSG00000138376	ENST00000620057	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
BRCA1	ENSG00000012048	ENST00000352993	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000354071	protein_coding	0	0	2	0	0	0	0	0	0	2	0	0	0	0
BRCA1	ENSG00000012048	ENST00000357654	protein_coding	0	0	2	1	0	0	0	0	1	2	0	0	0	0
BRCA1	ENSG00000012048	ENST00000461574	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	2
BRCA1	ENSG00000012048	ENST00000468300	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000470026	protein_coding	0	0	1	1	0	0	0	1	0	1	0	0	0	0
BRCA1	ENSG00000012048	ENST00000471181	protein_coding	0	0	2	1	0	0	0	0	1	2	0	0	0	0
BRCA1	ENSG00000012048	ENST00000473961	protein_coding	0	0	1	1	0	0	0	1	0	1	0	0	0	0
BRCA1	ENSG00000012048	ENST00000476777	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000477152	protein_coding	0	0	1	1	0	0	0	1	0	1	0	0	0	0
BRCA1	ENSG00000012048	ENST00000478531	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000484087	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000487825	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000491747	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000493795	protein_coding	0	0	2	1	0	0	0	0	1	2	0	0	0	0
BRCA1	ENSG00000012048	ENST00000493919	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000494123	protein_coding	0	0	1	1	0	0	0	1	0	1	0	0	0	0
BRCA1	ENSG00000012048	ENST00000497488	protein_coding	0	0	1	1	0	0	0	1	0	1	0	0	0	0
BRCA1	ENSG00000012048	ENST00000586385	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000591534	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000591849	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000634433	protein_coding	0	0	2	0	0	0	0	0	0	2	0	0	0	0
BRCA1	ENSG00000012048	ENST00000644379	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	2
BRCA1	ENSG00000012048	ENST00000652672	protein_coding	0	0	1	1	0	0	0	1	0	1	0	0	0	0
BRCA2	ENSG00000139618	ENST00000380152	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
BRCA2	ENSG00000139618	ENST00000544455	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
BRCA2	ENSG00000139618	ENST00000680887	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
CCNE1	ENSG00000105173	ENST00000262643	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CCNE1	ENSG00000105173	ENST00000357943	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CCNE1	ENSG00000105173	ENST00000444983	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CCNE1	ENSG00000105173	ENST00000575243	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
CCNE1	ENSG00000105173	ENST00000576532	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CDKN1B	ENSG00000111276	ENST00000228872	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
CDKN1B	ENSG00000111276	ENST00000396340	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
CDKN1B	ENSG00000111276	ENST00000442489	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CDKN1B	ENSG00000111276	ENST00000614874	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
CHEK1	ENSG00000149554	ENST00000278916	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CHEK1	ENSG00000149554	ENST00000427383	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CHEK1	ENSG00000149554	ENST00000428830	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CHEK1	ENSG00000149554	ENST00000438015	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CHEK1	ENSG00000149554	ENST00000532449	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CHEK1	ENSG00000149554	ENST00000534070	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CHEK1	ENSG00000149554	ENST00000544373	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CYP17A1	ENSG00000148795	ENST00000369887	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
CYP17A1	ENSG00000148795	ENST00000638190	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
CYP17A1	ENSG00000148795	ENST00000638272	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
CYP17A1	ENSG00000148795	ENST00000638971	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
CYP17A1	ENSG00000148795	ENST00000639393	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
DIS3L2	ENSG00000144535	ENST00000273009	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
DIS3L2	ENSG00000144535	ENST00000325385	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000275493	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000342916	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000344576	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000454757	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000455089	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ENSG00000282218	ENSG00000282218	ENST00000467125	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0
ERBB4	ENSG00000178568	ENST00000342788	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ERBB4	ENSG00000178568	ENST00000402597	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ERBB4	ENSG00000178568	ENST00000436443	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ESR1	ENSG00000091831	ENST00000206249	protein_coding	0	2	0	3	0	0	0	0	2	0	0	0	2	1
ESR1	ENSG00000091831	ENST00000338799	protein_coding	0	2	0	3	0	0	0	0	2	0	0	0	2	1
ESR1	ENSG00000091831	ENST00000404742	protein_coding	0	1	0	7	0	0	0	0	7	0	0	0	1	0
ESR1	ENSG00000091831	ENST00000406599	protein_coding	0	2	0	3	0	0	0	0	2	0	0	0	2	1
ESR1	ENSG00000091831	ENST00000415488	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0
ESR1	ENSG00000091831	ENST00000427531	protein_coding	0	0	0	6	1	0	0	0	3	0	0	0	0	2
ESR1	ENSG00000091831	ENST00000440973	protein_coding	0	2	0	9	0	0	0	0	9	0	0	0	2	0
ESR1	ENSG00000091831	ENST00000443427	protein_coding	0	2	0	3	0	0	0	0	2	0	0	0	2	1
ESR1	ENSG00000091831	ENST00000446550	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	1	1
ESR1	ENSG00000091831	ENST00000456483	protein_coding	0	1	0	4	1	0	0	0	2	0	0	0	1	1
ETV6	ENSG00000139083	ENST00000266427	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3
ETV6	ENSG00000139083	ENST00000396373	protein_coding	0	1	0	14	0	0	0	0	14	0	0	0	1	0
ETV6	ENSG00000139083	ENST00000545027	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
EZR	ENSG00000092820	ENST00000337147	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
EZR	ENSG00000092820	ENST00000367075	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
FANCA	ENSG00000187741	ENST00000389301	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
FANCA	ENSG00000187741	ENST00000568369	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
FANCD2	ENSG00000144554	ENST00000287647	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
FANCD2	ENSG00000144554	ENST00000419585	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
FANCD2	ENSG00000144554	ENST00000431693	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
FANCD2	ENSG00000144554	ENST00000625535	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
FANCD2	ENSG00000144554	ENST00000675286	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
FANCD2	ENSG00000144554	ENST00000676013	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
FANCM	ENSG00000187790	ENST00000267430	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
FANCM	ENSG00000187790	ENST00000542564	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
FANCM	ENSG00000187790	ENST00000554809	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
FANCM	ENSG00000187790	ENST00000556250	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
FBXO11	ENSG00000138081	ENST00000402508	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
FBXO11	ENSG00000138081	ENST00000403359	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
FBXO11	ENSG00000138081	ENST00000405808	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
FBXO11	ENSG00000138081	ENST00000683894	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000326324	protein_coding	0	1	0	4	0	0	0	0	5	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000335922	protein_coding	0	1	0	4	0	0	0	0	5	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000341462	protein_coding	0	1	0	4	0	0	0	0	5	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000356207	protein_coding	0	1	0	4	0	0	0	0	5	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000397091	protein_coding	0	1	0	4	0	0	0	0	5	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000397103	protein_coding	0	1	0	3	0	0	0	0	2	0	1	0	0	2
FGFR1	ENSG00000077782	ENST00000397108	protein_coding	0	1	0	4	0	0	0	0	5	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000397113	protein_coding	0	1	0	4	0	0	0	0	5	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000413133	protein_coding	0	0	0	4	0	0	0	1	3	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000425967	protein_coding	0	1	0	4	0	0	0	0	5	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000434187	protein_coding	0	0	0	4	0	0	0	1	2	0	0	0	0	1
FGFR1	ENSG00000077782	ENST00000440174	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	1
FGFR1	ENSG00000077782	ENST00000447712	protein_coding	0	1	0	4	0	0	0	0	5	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000525001	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000526742	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000529552	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000530568	protein_coding	0	0	0	4	0	0	0	1	2	0	0	0	0	1
FGFR1	ENSG00000077782	ENST00000532791	protein_coding	0	1	0	4	0	0	0	0	5	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000533668	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000683765	protein_coding	0	1	0	4	0	0	0	0	5	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000683815	protein_coding	0	1	0	4	0	0	0	0	5	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000684654	protein_coding	0	1	0	4	0	0	0	0	5	0	1	0	0	0
FGFR2	ENSG00000066468	ENST00000336553	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000346997	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000351936	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000356226	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000357555	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	1	0
FGFR2	ENSG00000066468	ENST00000358487	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000360144	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000369056	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000369058	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000369059	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000369060	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000369061	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000429361	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000457416	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000478859	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000613048	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000638709	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000682550	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000682772	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000683211	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000684153	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0
GNA11	ENSG00000088256	ENST00000078429	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
GNA11	ENSG00000088256	ENST00000587636	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GNA11	ENSG00000088256	ENST00000588401	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
KDR	ENSG00000128052	ENST00000263923	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0
KIT	ENSG00000157404	ENST00000288135	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
KIT	ENSG00000157404	ENST00000412167	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
KIT	ENSG00000157404	ENST00000686011	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
KIT	ENSG00000157404	ENST00000687109	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
KIT	ENSG00000157404	ENST00000687246	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
KIT	ENSG00000157404	ENST00000687295	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
KIT	ENSG00000157404	ENST00000689832	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
KIT	ENSG00000157404	ENST00000689994	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
KIT	ENSG00000157404	ENST00000690543	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
KIT	ENSG00000157404	ENST00000692783	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
LETM2	ENSG00000165046	ENST00000379957	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
MCPH1	ENSG00000147316	ENST00000344683	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
MCPH1	ENSG00000147316	ENST00000521129	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
MCPH1	ENSG00000147316	ENST00000687413	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
MCPH1	ENSG00000147316	ENST00000689348	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
MCPH1	ENSG00000147316	ENST00000689633	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
MCPH1	ENSG00000147316	ENST00000689736	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
MCPH1	ENSG00000147316	ENST00000690708	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
MCPH1	ENSG00000147316	ENST00000690826	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
MCPH1	ENSG00000147316	ENST00000691435	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
MCPH1	ENSG00000147316	ENST00000692836	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
MCPH1	ENSG00000147316	ENST00000692938	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
MET	ENSG00000105976	ENST00000318493	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
MET	ENSG00000105976	ENST00000397752	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
MET	ENSG00000105976	ENST00000436117	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
MET	ENSG00000105976	ENST00000456159	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
MITF	ENSG00000187098	ENST00000352241	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
MITF	ENSG00000187098	ENST00000642352	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
MITF	ENSG00000187098	ENST00000687384	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
MITF	ENSG00000187098	ENST00000693031	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
MSH2	ENSG00000095002	ENST00000233146	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
MSH2	ENSG00000095002	ENST00000406134	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
MSH2	ENSG00000095002	ENST00000543555	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
MSH2	ENSG00000095002	ENST00000645506	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
MSH6	ENSG00000116062	ENST00000234420	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
MSH6	ENSG00000116062	ENST00000411819	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
MSH6	ENSG00000116062	ENST00000538136	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
MSH6	ENSG00000116062	ENST00000540021	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
MSH6	ENSG00000116062	ENST00000614496	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
MSH6	ENSG00000116062	ENST00000652107	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
MSH6	ENSG00000116062	ENST00000673637	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
MX1	ENSG00000157601	ENST00000679386	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NF1	ENSG00000196712	ENST00000356175	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
NF1	ENSG00000196712	ENST00000358273	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
NF1	ENSG00000196712	ENST00000431387	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NF1	ENSG00000196712	ENST00000456735	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
NF1	ENSG00000196712	ENST00000686189	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NF1	ENSG00000196712	ENST00000691014	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
NKAPD1	ENSG00000150776	ENST00000280352	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0
NKAPD1	ENSG00000150776	ENST00000393047	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0
NKAPD1	ENSG00000150776	ENST00000420986	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0
NKAPD1	ENSG00000150776	ENST00000525785	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NKAPD1	ENSG00000150776	ENST00000531378	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NKAPD1	ENSG00000150776	ENST00000532163	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0
NOTCH4	ENSG00000204301	ENST00000375023	protein_coding	0	3	0	1	0	1	1	0	0	0	0	0	2	0
NRG1	ENSG00000157168	ENST00000287842	protein_coding	0	0	0	12	0	0	0	0	12	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000356819	protein_coding	0	0	0	12	0	0	0	0	12	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000405005	protein_coding	0	0	0	12	0	0	0	0	12	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000518206	protein_coding	0	0	0	12	0	0	0	0	12	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000519301	protein_coding	0	0	0	12	0	0	0	0	12	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000520407	protein_coding	0	0	0	12	0	0	0	0	12	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000520502	protein_coding	0	0	0	12	0	0	0	0	12	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000521670	protein_coding	0	0	0	12	0	0	0	0	12	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000522569	protein_coding	0	0	0	12	0	0	0	0	12	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000523041	protein_coding	0	0	0	12	0	0	0	0	12	0	0	0	0	0
