# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
BRCA1	ENSG00000012048	ENST00000491747	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000493795	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000493919	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000494123	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000497488	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000586385	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000591534	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000591849	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000634433	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000644379	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
BRCA1	ENSG00000012048	ENST00000652672	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
BRCA2	ENSG00000139618	ENST00000380152	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
BRCA2	ENSG00000139618	ENST00000544455	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
BRCA2	ENSG00000139618	ENST00000680887	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000524755	protein_coding	0	0	0	2	0	0	1	1	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000525729	protein_coding	0	0	0	3	0	0	1	2	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000615746	protein_coding	0	0	0	2	0	0	1	1	0	0	0	0	0	0
DICER1	ENSG00000100697	ENST00000343455	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
DICER1	ENSG00000100697	ENST00000393063	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
DICER1	ENSG00000100697	ENST00000526495	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
DICER1	ENSG00000100697	ENST00000527414	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
DICER1	ENSG00000100697	ENST00000532939	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
DICER1	ENSG00000100697	ENST00000541352	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ENSG00000282218	ENSG00000282218	ENST00000467125	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0
ENSG00000282278	ENSG00000282278	ENST00000507166	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ERBB4	ENSG00000178568	ENST00000260943	protein_coding	0	1	0	0	0	0	0	1	0	0	0	1	0	0
ERBB4	ENSG00000178568	ENST00000342788	protein_coding	0	1	0	0	0	0	0	1	0	0	0	1	0	0
ERBB4	ENSG00000178568	ENST00000402597	protein_coding	0	1	0	0	0	0	0	1	0	0	0	1	0	0
ERBB4	ENSG00000178568	ENST00000436443	protein_coding	0	1	0	0	0	0	0	1	0	0	0	1	0	0
ERCC5	ENSG00000134899	ENST00000652225	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ERCC5	ENSG00000134899	ENST00000652613	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ERCC6	ENSG00000225830	ENST00000355832	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ERCC6	ENSG00000225830	ENST00000681659	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ETV6	ENSG00000139083	ENST00000396373	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ETV6	ENSG00000139083	ENST00000545027	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
FANCA	ENSG00000187741	ENST00000389301	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
FANCA	ENSG00000187741	ENST00000568369	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
FANCD2	ENSG00000144554	ENST00000287647	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
FANCD2	ENSG00000144554	ENST00000419585	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
FANCD2	ENSG00000144554	ENST00000675286	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
FANCD2	ENSG00000144554	ENST00000676013	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
FGFR3	ENSG00000068078	ENST00000340107	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
FGFR3	ENSG00000068078	ENST00000352904	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
FGFR3	ENSG00000068078	ENST00000412135	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
FGFR3	ENSG00000068078	ENST00000440486	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
FGFR3	ENSG00000068078	ENST00000481110	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
FGFR3	ENSG00000068078	ENST00000507588	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
GNAS	ENSG00000087460	ENST00000306090	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
GNAS	ENSG00000087460	ENST00000306120	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
GNAS	ENSG00000087460	ENST00000313949	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
GNAS	ENSG00000087460	ENST00000349036	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
GNAS	ENSG00000087460	ENST00000371075	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
GNAS	ENSG00000087460	ENST00000371098	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
GNAS	ENSG00000087460	ENST00000371100	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
GNAS	ENSG00000087460	ENST00000371102	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
GNAS	ENSG00000087460	ENST00000419558	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
GNAS	ENSG00000087460	ENST00000423897	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
GNAS	ENSG00000087460	ENST00000453292	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
GNAS	ENSG00000087460	ENST00000462499	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
GNAS	ENSG00000087460	ENST00000467227	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
GNAS	ENSG00000087460	ENST00000472183	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
GNAS	ENSG00000087460	ENST00000482112	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
GNAS	ENSG00000087460	ENST00000491348	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
GNAS	ENSG00000087460	ENST00000493744	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
GNAS	ENSG00000087460	ENST00000657090	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
GNAS	ENSG00000087460	ENST00000663479	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
GNAS	ENSG00000087460	ENST00000676826	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
KHDC4	ENSG00000132680	ENST00000368320	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
KHDC4	ENSG00000132680	ENST00000368321	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
LRRC41	ENSG00000132128	ENST00000343304	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
LRRC41	ENSG00000132128	ENST00000496156	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
LRRC41	ENSG00000132128	ENST00000615587	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
LRRC41	ENSG00000132128	ENST00000617190	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
MAP3K1	ENSG00000095015	ENST00000399503	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
MAP4K2	ENSG00000168067	ENST00000294066	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
MAP4K2	ENSG00000168067	ENST00000377350	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
MAP4K2	ENSG00000168067	ENST00000439069	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
MEN1	ENSG00000133895	ENST00000312049	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
MEN1	ENSG00000133895	ENST00000315422	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
MEN1	ENSG00000133895	ENST00000377313	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
MEN1	ENSG00000133895	ENST00000377316	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
MEN1	ENSG00000133895	ENST00000377321	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
MEN1	ENSG00000133895	ENST00000377326	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
MEN1	ENSG00000133895	ENST00000394376	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
MEN1	ENSG00000133895	ENST00000413626	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
MEN1	ENSG00000133895	ENST00000424912	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
MEN1	ENSG00000133895	ENST00000429702	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
MEN1	ENSG00000133895	ENST00000440873	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
MEN1	ENSG00000133895	ENST00000450708	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
MEN1	ENSG00000133895	ENST00000672304	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
MTOR	ENSG00000198793	ENST00000361445	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0
MTOR	ENSG00000198793	ENST00000376838	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0
MTOR	ENSG00000198793	ENST00000455339	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NBN	ENSG00000104320	ENST00000265433	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NBN	ENSG00000104320	ENST00000409330	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NOTCH3	ENSG00000074181	ENST00000263388	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NOTCH3	ENSG00000074181	ENST00000597756	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000287842	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000356819	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000405005	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000518206	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000519301	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000520407	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000521670	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000522569	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
NRG1	ENSG00000157168	ENST00000523079	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000523534	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000650866	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000650919	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000650967	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000650980	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000651149	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000651335	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000652588	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000652698	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000277120	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000304053	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000323115	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000359847	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000376208	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000376213	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000395882	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000685387	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000685720	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000686259	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000686322	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000686324	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000686443	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000686496	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000686542	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000687148	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000687386	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000687596	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000687636	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000688013	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000689301	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000689685	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000689815	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000690281	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000691415	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000691788	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000692181	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000692389	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000692473	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000692506	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000692762	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000692804	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000693109	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000693127	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000693384	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000693539	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000317501	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000355254	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000357724	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000360948	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000394480	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000540489	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000542733	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000557856	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000558676	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000560017	protein_coding	0	0	0	2	0	0	1	1	0	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000626019	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000629765	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0
PBRM1	ENSG00000163939	ENST00000296302	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
PBRM1	ENSG00000163939	ENST00000337303	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
PBRM1	ENSG00000163939	ENST00000356770	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
PBRM1	ENSG00000163939	ENST00000394830	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
PBRM1	ENSG00000163939	ENST00000409057	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
PBRM1	ENSG00000163939	ENST00000409114	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
PBRM1	ENSG00000163939	ENST00000409767	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
PBRM1	ENSG00000163939	ENST00000410007	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
PBRM1	ENSG00000163939	ENST00000423351	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
PBRM1	ENSG00000163939	ENST00000446103	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
PDGFRA	ENSG00000134853	ENST00000257290	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
PDGFRB	ENSG00000113721	ENST00000261799	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
PIK3CA	ENSG00000121879	ENST00000263967	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0
PIK3CA	ENSG00000121879	ENST00000643187	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0
PKD1	ENSG00000008710	ENST00000262304	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
PKD1	ENSG00000008710	ENST00000423118	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
RAD51C	ENSG00000108384	ENST00000337432	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
RAD51C	ENSG00000108384	ENST00000413590	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
RAD51C	ENSG00000108384	ENST00000583539	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
RAD51C	ENSG00000108384	ENST00000584804	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
RAD54L	ENSG00000085999	ENST00000371975	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
RAD54L	ENSG00000085999	ENST00000442598	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
RAD54L	ENSG00000085999	ENST00000488942	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
RAD54L	ENSG00000085999	ENST00000671528	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
RAF1	ENSG00000132155	ENST00000251849	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
RAF1	ENSG00000132155	ENST00000432427	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
RAF1	ENSG00000132155	ENST00000442415	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
RAF1	ENSG00000132155	ENST00000685437	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
RAF1	ENSG00000132155	ENST00000685653	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
RAF1	ENSG00000132155	ENST00000685740	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
RAF1	ENSG00000132155	ENST00000685959	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
RAF1	ENSG00000132155	ENST00000687923	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
RAF1	ENSG00000132155	ENST00000688543	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
RAF1	ENSG00000132155	ENST00000688753	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
RAF1	ENSG00000132155	ENST00000689033	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
RAF1	ENSG00000132155	ENST00000689226	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
