# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AR	ENSG00000169083	ENST00000374690	protein_coding	0	0	1	6	1	0	0	0	0	5	1	0	0	0	0	0
AR	ENSG00000169083	ENST00000396044	protein_coding	0	0	1	6	0	0	0	1	0	5	1	0	0	0	0	0
AR	ENSG00000169083	ENST00000504326	protein_coding	0	0	1	3	0	0	0	2	0	1	1	0	0	0	0	0
ARAF	ENSG00000078061	ENST00000377039	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ARAF	ENSG00000078061	ENST00000377045	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000452508	protein_coding	1	1	2	3	0	0	0	0	0	3	2	0	0	1	1	0
ATM	ENSG00000149311	ENST00000675843	protein_coding	1	1	2	3	0	0	0	0	0	3	2	0	0	1	1	0
ATR	ENSG00000175054	ENST00000350721	protein_coding	0	2	0	2	0	1	1	0	0	2	0	1	0	0	0	0
ATR	ENSG00000175054	ENST00000661310	protein_coding	0	2	0	2	0	1	1	0	0	2	0	1	0	0	0	0
AXIN2	ENSG00000168646	ENST00000307078	protein_coding	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0
AXIN2	ENSG00000168646	ENST00000375702	protein_coding	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0
AXIN2	ENSG00000168646	ENST00000544103	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
AXIN2	ENSG00000168646	ENST00000577278	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
AXIN2	ENSG00000168646	ENST00000580513	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
AXIN2	ENSG00000168646	ENST00000585045	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
AXIN2	ENSG00000168646	ENST00000618960	protein_coding	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0
BAP1	ENSG00000163930	ENST00000296288	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
BAP1	ENSG00000163930	ENST00000460680	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
BAP1	ENSG00000163930	ENST00000469613	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
BAP1	ENSG00000163930	ENST00000470173	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
BAP1	ENSG00000163930	ENST00000478368	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
BAP1	ENSG00000163930	ENST00000615113	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
BARD1	ENSG00000138376	ENST00000260947	protein_coding	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0
BARD1	ENSG00000138376	ENST00000421162	protein_coding	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0
BARD1	ENSG00000138376	ENST00000432456	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
BARD1	ENSG00000138376	ENST00000613374	protein_coding	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0
BARD1	ENSG00000138376	ENST00000613706	protein_coding	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0
BARD1	ENSG00000138376	ENST00000617164	protein_coding	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0
BARD1	ENSG00000138376	ENST00000619009	protein_coding	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0
BARD1	ENSG00000138376	ENST00000620057	protein_coding	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0
BLM	ENSG00000197299	ENST00000355112	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
BLM	ENSG00000197299	ENST00000560509	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
BLM	ENSG00000197299	ENST00000648453	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
BLM	ENSG00000197299	ENST00000680772	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
BLM	ENSG00000197299	ENST00000681142	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
BMPR1A	ENSG00000107779	ENST00000372037	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000288602	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000496384	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000644969	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000646891	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000352993	protein_coding	0	0	1	6	0	0	0	0	0	6	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000354071	protein_coding	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000357654	protein_coding	0	0	3	4	0	0	0	0	0	4	3	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000461574	protein_coding	0	0	0	6	0	0	0	0	0	3	0	0	0	0	0	3
BRCA1	ENSG00000012048	ENST00000468300	protein_coding	0	0	1	6	0	0	0	0	0	6	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000470026	protein_coding	0	0	1	2	0	0	0	2	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000471181	protein_coding	0	0	3	4	0	0	0	0	0	4	3	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000473961	protein_coding	0	0	0	3	0	0	0	2	0	1	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000476777	protein_coding	0	0	1	2	0	0	0	2	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000477152	protein_coding	0	0	1	2	0	0	0	2	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000478531	protein_coding	0	0	1	5	0	0	0	0	0	5	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000484087	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000487825	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000491747	protein_coding	0	0	1	6	0	0	0	0	0	6	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000493795	protein_coding	0	0	3	4	0	0	0	0	0	4	3	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000493919	protein_coding	0	0	1	5	0	0	0	0	0	5	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000494123	protein_coding	0	0	1	2	0	0	0	2	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000497488	protein_coding	0	0	0	3	0	0	0	2	0	1	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000586385	protein_coding	0	0	0	7	0	0	0	0	0	7	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000591534	protein_coding	0	0	0	7	0	0	0	0	0	7	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000591849	protein_coding	0	0	0	7	0	0	0	0	0	7	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000634433	protein_coding	0	0	1	2	0	0	0	1	0	1	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000644379	protein_coding	0	0	0	7	0	0	0	0	0	4	0	0	0	0	0	3
BRCA1	ENSG00000012048	ENST00000652672	protein_coding	0	0	1	2	0	0	0	2	0	0	1	0	0	0	0	0
BRCA2	ENSG00000139618	ENST00000380152	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
BRCA2	ENSG00000139618	ENST00000530893	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
BRCA2	ENSG00000139618	ENST00000544455	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
BRCA2	ENSG00000139618	ENST00000680887	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
BRIP1	ENSG00000136492	ENST00000259008	protein_coding	0	1	2	0	0	0	0	0	0	0	2	0	0	0	1	0
BRIP1	ENSG00000136492	ENST00000577598	protein_coding	0	1	2	0	0	0	0	0	0	0	2	0	0	0	1	0
BRIP1	ENSG00000136492	ENST00000577913	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
BRIP1	ENSG00000136492	ENST00000584322	protein_coding	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0
BRIP1	ENSG00000136492	ENST00000682369	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
BRIP1	ENSG00000136492	ENST00000682453	protein_coding	0	1	2	0	0	0	0	0	0	0	2	0	0	0	1	0
BRIP1	ENSG00000136492	ENST00000682755	protein_coding	0	1	2	0	0	0	0	0	0	0	2	0	0	0	1	0
BRIP1	ENSG00000136492	ENST00000682989	protein_coding	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0
BRIP1	ENSG00000136492	ENST00000683039	protein_coding	0	1	2	0	0	0	0	0	0	0	2	0	0	0	1	0
BRIP1	ENSG00000136492	ENST00000683381	protein_coding	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0
BRIP1	ENSG00000136492	ENST00000683672	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
BRIP1	ENSG00000136492	ENST00000684584	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
C11orf65	ENSG00000166323	ENST00000524755	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000525729	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000615746	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
CDH1	ENSG00000039068	ENST00000261769	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CDH1	ENSG00000039068	ENST00000422392	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CDK12	ENSG00000167258	ENST00000430627	protein_coding	0	0	2	1	0	0	0	0	0	1	2	0	0	0	0	0
CDK12	ENSG00000167258	ENST00000447079	protein_coding	0	0	2	1	0	0	0	0	0	1	2	0	0	0	0	0
CDK12	ENSG00000167258	ENST00000584632	protein_coding	0	0	2	1	0	0	0	0	0	1	2	0	0	0	0	0
CDKN1A	ENSG00000124762	ENST00000244741	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
CDKN1A	ENSG00000124762	ENST00000373711	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
CDKN1A	ENSG00000124762	ENST00000405375	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
CDKN1A	ENSG00000124762	ENST00000448526	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
CDKN1A	ENSG00000124762	ENST00000615513	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000304494	protein_coding	0	0	1	3	0	0	0	0	0	3	1	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000479692	protein_coding	0	0	0	4	0	0	0	1	0	2	0	0	0	0	0	1
CDKN2A	ENSG00000147889	ENST00000494262	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000497750	protein_coding	0	0	0	4	2	0	0	1	0	0	0	0	0	0	0	1
CDKN2A	ENSG00000147889	ENST00000498124	protein_coding	0	0	1	3	0	0	0	0	0	3	1	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000498628	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000530628	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000578845	protein_coding	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	1
CDKN2A	ENSG00000147889	ENST00000579122	protein_coding	0	0	1	3	0	0	0	0	0	3	1	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000579755	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0
CHEK1	ENSG00000149554	ENST00000278916	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CHEK1	ENSG00000149554	ENST00000427383	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CHEK1	ENSG00000149554	ENST00000428830	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CHEK1	ENSG00000149554	ENST00000438015	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CHEK1	ENSG00000149554	ENST00000526937	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
CHEK1	ENSG00000149554	ENST00000527013	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
CHEK1	ENSG00000149554	ENST00000531607	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
CHEK1	ENSG00000149554	ENST00000532449	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CHEK1	ENSG00000149554	ENST00000532669	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CHEK1	ENSG00000149554	ENST00000534070	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CHEK1	ENSG00000149554	ENST00000544373	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000348295	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000382580	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000402731	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000403642	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000404276	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000405598	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000425190	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000434810	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CHEK2	ENSG00000183765	ENST00000439200	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000456369	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CHEK2	ENSG00000183765	ENST00000464581	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000649563	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000650281	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
COL1A1	ENSG00000108821	ENST00000225964	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
COL1A1	ENSG00000108821	ENST00000507689	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
CTNNBL1	ENSG00000132792	ENST00000361383	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CTNNBL1	ENSG00000132792	ENST00000373469	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CTNNBL1	ENSG00000132792	ENST00000373473	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CTNNBL1	ENSG00000132792	ENST00000405275	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CTNNBL1	ENSG00000132792	ENST00000621317	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CTNNBL1	ENSG00000132792	ENST00000628103	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CYP17A1	ENSG00000148795	ENST00000369887	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CYP17A1	ENSG00000148795	ENST00000638190	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CYP17A1	ENSG00000148795	ENST00000638272	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CYP17A1	ENSG00000148795	ENST00000638971	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CYP17A1	ENSG00000148795	ENST00000639393	protein_coding	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0
DDR2	ENSG00000162733	ENST00000367921	protein_coding	0	0	0	5	1	0	0	0	0	4	0	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000367922	protein_coding	0	0	0	5	1	0	0	0	0	4	0	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000415555	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000446985	protein_coding	0	0	0	5	1	0	0	0	0	4	0	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000671979	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
DICER1	ENSG00000100697	ENST00000343455	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
DICER1	ENSG00000100697	ENST00000393063	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
DICER1	ENSG00000100697	ENST00000526495	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
DICER1	ENSG00000100697	ENST00000527414	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
DICER1	ENSG00000100697	ENST00000529720	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
DICER1	ENSG00000100697	ENST00000531162	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
DICER1	ENSG00000100697	ENST00000532939	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
DICER1	ENSG00000100697	ENST00000541352	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
DICER1	ENSG00000100697	ENST00000674628	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
DIS3L2	ENSG00000144535	ENST00000273009	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
DIS3L2	ENSG00000144535	ENST00000325385	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
DIS3L2	ENSG00000144535	ENST00000409401	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
DIS3L2	ENSG00000144535	ENST00000441279	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
DNAH1	ENSG00000114841	ENST00000420323	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
DNAH8	ENSG00000124721	ENST00000327475	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
DNAH8	ENSG00000124721	ENST00000359357	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
DNAH8	ENSG00000124721	ENST00000449981	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
DPYD	ENSG00000188641	ENST00000370192	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000275493	protein_coding	0	2	0	5	0	0	0	0	0	7	0	2	0	0	0	0
EGFR	ENSG00000146648	ENST00000342916	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000344576	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000420316	protein_coding	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000450046	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000454757	protein_coding	0	2	0	5	0	0	0	0	0	7	0	2	0	0	0	0
EGFR	ENSG00000146648	ENST00000455089	protein_coding	0	1	0	6	0	0	0	1	0	6	0	1	0	0	0	0
EMSY	ENSG00000158636	ENST00000334736	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
EMSY	ENSG00000158636	ENST00000524451	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
EMSY	ENSG00000158636	ENST00000524490	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
EMSY	ENSG00000158636	ENST00000524767	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
EMSY	ENSG00000158636	ENST00000525038	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
EMSY	ENSG00000158636	ENST00000525919	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
EMSY	ENSG00000158636	ENST00000529032	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
EMSY	ENSG00000158636	ENST00000533248	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000282218	ENSG00000282218	ENST00000467125	protein_coding	0	0	0	5	0	0	0	1	0	4	0	0	0	0	0	0
ENSG00000282278	ENSG00000282278	ENST00000507166	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000283782	ENSG00000283782	ENST00000638452	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000283782	ENSG00000283782	ENST00000638568	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000283782	ENSG00000283782	ENST00000640655	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000286131	ENSG00000286131	ENST00000652575	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1
EPCAM	ENSG00000119888	ENST00000263735	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
EPCAM	ENSG00000119888	ENST00000405271	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
EPCAM	ENSG00000119888	ENST00000419334	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ERBB2	ENSG00000141736	ENST00000269571	protein_coding	0	2	0	2	0	0	0	0	0	1	0	0	0	0	2	1
ERBB2	ENSG00000141736	ENST00000406381	protein_coding	0	2	0	2	0	0	0	0	0	2	0	0	0	0	2	0
ERBB2	ENSG00000141736	ENST00000445658	protein_coding	0	2	0	2	0	0	0	0	0	1	0	0	0	0	2	1
ERBB2	ENSG00000141736	ENST00000541774	protein_coding	0	2	0	2	0	0	0	0	0	1	0	0	0	0	2	1
ERBB2	ENSG00000141736	ENST00000578199	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
ERBB2	ENSG00000141736	ENST00000578709	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
ERBB2	ENSG00000141736	ENST00000580074	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0
ERBB2	ENSG00000141736	ENST00000582818	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
ERBB2	ENSG00000141736	ENST00000584450	protein_coding	0	1	0	3	1	0	0	0	0	1	0	0	0	0	1	1
ERBB2	ENSG00000141736	ENST00000584601	protein_coding	0	2	0	2	0	0	0	0	0	2	0	0	0	0	2	0
ERBB4	ENSG00000178568	ENST00000260943	protein_coding	0	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0
ERBB4	ENSG00000178568	ENST00000342788	protein_coding	0	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0
ERBB4	ENSG00000178568	ENST00000402597	protein_coding	0	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0
ERBB4	ENSG00000178568	ENST00000436443	protein_coding	0	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0
ERCC3	ENSG00000163161	ENST00000285398	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
ERCC3	ENSG00000163161	ENST00000456257	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ERCC3	ENSG00000163161	ENST00000647169	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
ERCC3	ENSG00000163161	ENST00000647496	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ERCC4	ENSG00000175595	ENST00000311895	protein_coding	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0
ERCC4	ENSG00000175595	ENST00000575156	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
