# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_donor_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
RNF43	ENSG00000108375	ENST00000583753	protein_coding	0	0	0	1	0	1	0	0	0	0
RNF43	ENSG00000108375	ENST00000584437	protein_coding	0	0	0	1	0	1	0	0	0	0
ROS1	ENSG00000047936	ENST00000368507	protein_coding	0	0	0	3	0	3	0	0	0	0
ROS1	ENSG00000047936	ENST00000368508	protein_coding	0	0	0	3	0	3	0	0	0	0
ROS1	ENSG00000047936	ENST00000403284	protein_coding	0	0	0	3	3	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000332149	protein_coding	0	0	0	1	0	1	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000398585	protein_coding	0	0	0	1	0	1	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000424093	protein_coding	0	0	0	1	0	1	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000454499	protein_coding	0	0	0	1	0	1	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000455813	protein_coding	0	0	0	1	0	1	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000458356	protein_coding	0	0	0	1	0	1	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000676973	protein_coding	0	0	0	1	0	1	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000678171	protein_coding	0	0	0	1	0	1	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000678348	protein_coding	0	0	0	1	0	1	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000678743	protein_coding	0	0	0	1	0	1	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000679016	protein_coding	0	0	0	1	0	1	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000679054	protein_coding	0	0	0	1	0	1	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000679263	protein_coding	0	0	0	1	0	1	0	0	0	0
TP53	ENSG00000141510	ENST00000269305	protein_coding	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000359597	protein_coding	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000413465	protein_coding	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000420246	protein_coding	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000445888	protein_coding	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000455263	protein_coding	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000503591	protein_coding	0	0	0	1	1	0	0	0	0	0
TP53	ENSG00000141510	ENST00000504290	protein_coding	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000504937	protein_coding	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000508793	protein_coding	0	0	0	1	1	0	0	0	0	0
TP53	ENSG00000141510	ENST00000509690	protein_coding	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000510385	protein_coding	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000514944	protein_coding	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000576024	protein_coding	0	0	0	1	0	0	0	0	0	1
TP53	ENSG00000141510	ENST00000604348	protein_coding	0	0	0	1	1	0	0	0	0	0
TP53	ENSG00000141510	ENST00000610292	protein_coding	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000610538	protein_coding	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000610623	protein_coding	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000618944	protein_coding	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000619186	protein_coding	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000619485	protein_coding	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000620739	protein_coding	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000622645	protein_coding	1	0	0	0	0	1	0	1	0	0
