# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
BRAF	ENSG00000157764	ENST00000646891	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000352993	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000354071	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
BRCA1	ENSG00000012048	ENST00000357654	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0
BRCA1	ENSG00000012048	ENST00000461574	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	1
BRCA1	ENSG00000012048	ENST00000468300	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000470026	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000471181	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0
BRCA1	ENSG00000012048	ENST00000473961	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000476777	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000477152	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000478531	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000484087	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000487825	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000491747	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000493795	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0
BRCA1	ENSG00000012048	ENST00000493919	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000494123	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000497488	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000586385	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000591534	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000591849	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000634433	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
BRCA1	ENSG00000012048	ENST00000644379	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	1
BRCA1	ENSG00000012048	ENST00000652672	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
BRIP1	ENSG00000136492	ENST00000259008	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
BRIP1	ENSG00000136492	ENST00000577598	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
BRIP1	ENSG00000136492	ENST00000682453	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
BRIP1	ENSG00000136492	ENST00000682755	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
BRIP1	ENSG00000136492	ENST00000682989	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
BRIP1	ENSG00000136492	ENST00000683039	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
BRIP1	ENSG00000136492	ENST00000684584	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CDH1	ENSG00000039068	ENST00000261769	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
CDH1	ENSG00000039068	ENST00000422392	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
CDK12	ENSG00000167258	ENST00000430627	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0
CDK12	ENSG00000167258	ENST00000447079	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0
CDK12	ENSG00000167258	ENST00000584632	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000304494	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000479692	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CDKN2A	ENSG00000147889	ENST00000494262	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000497750	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CDKN2A	ENSG00000147889	ENST00000498124	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000498628	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000530628	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000578845	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CDKN2A	ENSG00000147889	ENST00000579122	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000579755	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000348295	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000382580	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000402731	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000403642	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000404276	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000405598	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000425190	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000434810	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CHEK2	ENSG00000183765	ENST00000439200	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000456369	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CHEK2	ENSG00000183765	ENST00000464581	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000649563	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000650281	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000275493	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000454757	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000455089	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ERBB2	ENSG00000141736	ENST00000269571	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	1	0
ERBB2	ENSG00000141736	ENST00000406381	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	1	0
ERBB2	ENSG00000141736	ENST00000445658	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	1	0
ERBB2	ENSG00000141736	ENST00000541774	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	1	0
ERBB2	ENSG00000141736	ENST00000578199	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ERBB2	ENSG00000141736	ENST00000578709	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ERBB2	ENSG00000141736	ENST00000580074	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ERBB2	ENSG00000141736	ENST00000582818	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
ERBB2	ENSG00000141736	ENST00000584450	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	1	0
ERBB2	ENSG00000141736	ENST00000584601	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	1	0
ERBB4	ENSG00000178568	ENST00000260943	protein_coding	0	1	0	0	0	0	0	0	1	0	1	0	0	0
ERBB4	ENSG00000178568	ENST00000342788	protein_coding	0	1	0	0	0	0	0	0	1	0	1	0	0	0
ERBB4	ENSG00000178568	ENST00000402597	protein_coding	0	1	0	0	0	0	0	0	1	0	1	0	0	0
ERBB4	ENSG00000178568	ENST00000436443	protein_coding	0	1	0	0	0	0	0	0	1	0	1	0	0	0
ERCC4	ENSG00000175595	ENST00000311895	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
ERCC4	ENSG00000175595	ENST00000682617	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
ERCC6	ENSG00000225830	ENST00000355832	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ERCC6	ENSG00000225830	ENST00000447839	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
ERCC6	ENSG00000225830	ENST00000515869	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
ERCC6	ENSG00000225830	ENST00000680107	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ERCC6	ENSG00000225830	ENST00000681659	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ESR1	ENSG00000091831	ENST00000206249	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0
ESR1	ENSG00000091831	ENST00000338799	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0
ESR1	ENSG00000091831	ENST00000404742	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ESR1	ENSG00000091831	ENST00000406599	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0
ESR1	ENSG00000091831	ENST00000415488	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0
ESR1	ENSG00000091831	ENST00000427531	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0
ESR1	ENSG00000091831	ENST00000440973	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0
ESR1	ENSG00000091831	ENST00000443427	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0
ESR1	ENSG00000091831	ENST00000456483	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0
FANCB	ENSG00000181544	ENST00000324138	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
FANCB	ENSG00000181544	ENST00000398334	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
FANCB	ENSG00000181544	ENST00000452869	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
FANCB	ENSG00000181544	ENST00000650831	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
FANCC	ENSG00000158169	ENST00000289081	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
FANCC	ENSG00000158169	ENST00000375305	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
FANCC	ENSG00000158169	ENST00000490972	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
FANCD2	ENSG00000144554	ENST00000287647	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0
FANCD2	ENSG00000144554	ENST00000419585	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0
FANCD2	ENSG00000144554	ENST00000431693	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
FANCD2	ENSG00000144554	ENST00000675286	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0
FANCD2	ENSG00000144554	ENST00000676013	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0
FANCE	ENSG00000112039	ENST00000229769	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
FGFR4	ENSG00000160867	ENST00000292408	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
FGFR4	ENSG00000160867	ENST00000393637	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
FGFR4	ENSG00000160867	ENST00000393648	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
FGFR4	ENSG00000160867	ENST00000502906	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
FGFR4	ENSG00000160867	ENST00000503708	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
FGFR4	ENSG00000160867	ENST00000510911	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
FGFR4	ENSG00000160867	ENST00000511076	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
FGFR4	ENSG00000160867	ENST00000513166	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
FGFR4	ENSG00000160867	ENST00000514472	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
FLCN	ENSG00000154803	ENST00000285071	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
FLCN	ENSG00000154803	ENST00000389169	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
FLCN	ENSG00000154803	ENST00000417064	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
FLCN	ENSG00000154803	ENST00000461699	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
GNAS	ENSG00000087460	ENST00000306090	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
GNAS	ENSG00000087460	ENST00000313949	protein_coding	0	1	1	0	0	0	0	0	0	1	0	0	1	0
GNAS	ENSG00000087460	ENST00000371075	protein_coding	0	1	1	0	0	0	0	0	0	1	0	0	1	0
GNAS	ENSG00000087460	ENST00000371098	protein_coding	0	1	1	0	0	0	0	0	0	1	0	0	1	0
GNAS	ENSG00000087460	ENST00000419558	protein_coding	0	1	1	0	0	0	0	0	0	1	0	0	1	0
GNAS	ENSG00000087460	ENST00000453292	protein_coding	0	1	1	0	0	0	0	0	0	1	0	0	1	0
GNAS	ENSG00000087460	ENST00000462499	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
GNAS	ENSG00000087460	ENST00000467227	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
GNAS	ENSG00000087460	ENST00000472183	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
GNAS	ENSG00000087460	ENST00000482112	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
GNAS	ENSG00000087460	ENST00000491348	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
GNAS	ENSG00000087460	ENST00000493744	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
GNAS	ENSG00000087460	ENST00000657090	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0
GNAS	ENSG00000087460	ENST00000663479	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
KDR	ENSG00000128052	ENST00000263923	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
MAP2K1	ENSG00000169032	ENST00000307102	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
MAP2K1	ENSG00000169032	ENST00000566326	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
MAP2K1	ENSG00000169032	ENST00000685172	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
MAP2K1	ENSG00000169032	ENST00000685763	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
MAP2K1	ENSG00000169032	ENST00000686347	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
MAP2K1	ENSG00000169032	ENST00000689951	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
MAP2K1	ENSG00000169032	ENST00000691576	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
MAP2K1	ENSG00000169032	ENST00000691937	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
MAP2K1	ENSG00000169032	ENST00000692683	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
MAP2K1	ENSG00000169032	ENST00000693150	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
MIEN1	ENSG00000141741	ENST00000394231	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
MIEN1	ENSG00000141741	ENST00000577810	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
MTOR	ENSG00000198793	ENST00000361445	protein_coding	0	1	0	3	0	0	0	0	3	0	0	0	1	0
MTOR	ENSG00000198793	ENST00000376838	protein_coding	0	1	0	2	0	0	0	0	2	0	0	0	1	0
MTOR	ENSG00000198793	ENST00000455339	protein_coding	0	0	0	2	0	0	1	0	1	0	0	0	0	0
NF1	ENSG00000196712	ENST00000356175	protein_coding	0	1	0	0	0	0	0	0	1	0	1	0	0	0
NF1	ENSG00000196712	ENST00000358273	protein_coding	0	1	0	0	0	0	0	0	1	0	1	0	0	0
NF1	ENSG00000196712	ENST00000456735	protein_coding	0	1	0	0	0	0	0	0	1	0	1	0	0	0
NF1	ENSG00000196712	ENST00000691014	protein_coding	0	1	0	0	0	0	0	0	1	0	1	0	0	0
NOTCH3	ENSG00000074181	ENST00000263388	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NOTCH3	ENSG00000074181	ENST00000601011	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000287842	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000356819	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000405005	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000518206	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000519301	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000520407	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000520502	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000521670	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000522569	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000523041	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000523079	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000523534	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000650819	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000650866	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000650919	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000650967	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000650980	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000651149	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000651333	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000651335	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000652588	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000652592	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000652698	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NTRK1	ENSG00000198400	ENST00000358660	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NTRK1	ENSG00000198400	ENST00000368196	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NTRK1	ENSG00000198400	ENST00000392302	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NTRK1	ENSG00000198400	ENST00000524377	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NTRK1	ENSG00000198400	ENST00000674537	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NTRK1	ENSG00000198400	ENST00000675461	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000317501	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000355254	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000357724	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000360948	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000394480	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000540489	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000542733	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000557856	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000558676	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000626019	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000629765	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0
PGAP3	ENSG00000161395	ENST00000584856	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
POLE	ENSG00000177084	ENST00000320574	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
POLE	ENSG00000177084	ENST00000535270	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
SUFU	ENSG00000107882	ENST00000369899	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
SUFU	ENSG00000107882	ENST00000369902	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
SUFU	ENSG00000107882	ENST00000423559	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
TFEB	ENSG00000112561	ENST00000230323	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
TFEB	ENSG00000112561	ENST00000343317	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
TFEB	ENSG00000112561	ENST00000358871	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
TFEB	ENSG00000112561	ENST00000373033	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
TFEB	ENSG00000112561	ENST00000394283	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
TFEB	ENSG00000112561	ENST00000403298	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
TFEB	ENSG00000112561	ENST00000406563	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
TFEB	ENSG00000112561	ENST00000416140	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
TFEB	ENSG00000112561	ENST00000419396	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
TFEB	ENSG00000112561	ENST00000419574	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
TFEB	ENSG00000112561	ENST00000420312	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
TFEB	ENSG00000112561	ENST00000424495	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
TFEB	ENSG00000112561	ENST00000445214	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
TFEB	ENSG00000112561	ENST00000677531	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
TFEB	ENSG00000112561	ENST00000678831	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000332149	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000398585	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000424093	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000454499	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000455813	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000458356	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000676973	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
