#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
NTRK2	PTPN11	9606.ENSP00000277120	9606.ENSP00000489597	0	0	0	0	0.042	0.215	0.500	0	0.591
PIK3R1	NTRK2	9606.ENSP00000428056	9606.ENSP00000277120	0	0	0	0	0.067	0.360	0.500	0	0.675
PIK3R1	PTPN11	9606.ENSP00000428056	9606.ENSP00000489597	0	0	0	0	0.048	0.880	0.900	0	0.987
PTPN11	NTRK2	9606.ENSP00000489597	9606.ENSP00000277120	0	0	0	0	0.042	0.215	0.500	0	0.591
PTPN11	PIK3R1	9606.ENSP00000489597	9606.ENSP00000428056	0	0	0	0	0.048	0.880	0.900	0	0.987
RB1	CDKN1B	9606.ENSP00000267163	9606.ENSP00000228872	0	0	0	0	0.049	0.096	0.500	0	0.532
RB1	ARID1A	9606.ENSP00000267163	9606.ENSP00000320485	0	0	0	0	0.044	0	0.720	0	0.720
RB1	AR	9606.ENSP00000267163	9606.ENSP00000363822	0	0	0	0	0	0.629	0.500	0	0.806
RB1	SMARCA4	9606.ENSP00000267163	9606.ENSP00000343896	0	0	0	0	0.066	0.842	0.720	0	0.955
SMARCA4	FUS	9606.ENSP00000343896	9606.ENSP00000254108	0	0	0	0	0.226	0.424	0	0	0.535
SMARCA4	RB1	9606.ENSP00000343896	9606.ENSP00000267163	0	0	0	0	0.066	0.842	0.720	0	0.955
SMARCA4	ARID1A	9606.ENSP00000343896	9606.ENSP00000320485	0	0	0	0	0.250	0.998	0.900	0	0.999
SMARCA4	AR	9606.ENSP00000343896	9606.ENSP00000363822	0	0	0	0	0	0.703	0	0	0.703
WRN	FANCM	9606.ENSP00000298139	9606.ENSP00000267430	0	0	0	0	0.179	0.967	0	0	0.971
WRN	ATRX	9606.ENSP00000298139	9606.ENSP00000362441	0.048	0	0	0	0.057	0.399	0	0	0.413
WRN	BRCA2	9606.ENSP00000298139	9606.ENSP00000369497	0	0	0	0	0.142	0	0.500	0	0.552
WRN	ATR	9606.ENSP00000298139	9606.ENSP00000343741	0	0	0	0	0.227	0.796	0.500	0	0.914
